No. of features, selected_features, transformer, sim_func, fix_len_func, k stock, window_len, next_t, model, target_col, sim_col, mean_accuracy, std_accuracy, mean_f1, std_f1, mean_rmse, std_rmse, folds_result, mean_orders_count_per_hours, mean_sharpe_ratio, mean_profit_%, mean_profit, mean_L_orders_count_per_hours, mean_L_sharpe_ratio, mean_L_profit_%, mean_L_profit
1, ['Close_norm'], None, euclidean, padding, 10, 5, 1, XGBClassifier, Close_norm, Close_norm, 0.5056, 0.0394, 0.4598, 0.0789, NaN, NaN, D++-+, 0.228, 0.337, 6.529, 37.112, 0.018, 0.594, 6.806, 39.318
 1, ['Close_norm'], SAX, euclidean, padding, 10, 5, 1, XGBClassifier, Close_norm, Close_norm, 0.5481, 0.0364, 0.4532, 0.0965, NaN, NaN, U+-+U, 0.146, 0.063, -0.298, -0.044, 0.018, 0.541, 3.392, 20.74
 1, ['Close_norm'], None, euclidean, padding, 10, 10, 1, XGBClassifier, Close_norm, Close_norm, 0.4961, 0.0587, 0.4197, 0.1011, NaN, NaN, D---U, 0.188, -0.478, -5.155, -35.66, 0.02, 0.253, 0.159, -3.782
 1, ['Close_norm'], SAX, euclidean, padding, 10, 10, 1, XGBClassifier, Close_norm, Close_norm, 0.5275, 0.059, 0.4501, 0.1206, NaN, NaN, D+--U, 0.176, -0.508, -0.248, -6.284, 0.02, 0.11, 2.612, 10.906
 1, ['Close_norm'], None, euclidean, padding, 10, 15, 1, XGBClassifier, Close_norm, Close_norm, 0.4977, 0.0277, 0.4144, 0.0623, NaN, NaN, -+--D, 0.169, 0.09, -1.663, -4.096, 0.022, 0.519, 1.963, 11.392
 1, ['Close_norm'], SAX, euclidean, padding, 10, 15, 1, XGBClassifier, Close_norm, Close_norm, 0.498, 0.0259, 0.428, 0.0873, NaN, NaN, D+--U, 0.217, -0.96, -3.302, -25.112, 0.022, 0.098, 1.143, 0.884
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, euclidean, padding, 10, 5, 1, XGBClassifier, Close_norm, Close_norm, 0.5003, 0.0495, 0.473, 0.0592, NaN, NaN, ++---, 0.409, 0.313, -0.949, -16.56, 0.018, 0.726, 2.89, 11.006
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, euclidean, padding, 10, 5, 1, XGBClassifier, Close_norm, Close_norm, 0.54, 0.0291, 0.4627, 0.0582, NaN, NaN, ++-+-, 0.167, 0.392, -2.374, -17.848, 0.018, 0.597, 2.178, 10.362
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], SAX, euclidean, padding, 10, 5, 1, XGBClassifier, Close_norm, Close_norm, 0.5329, 0.0403, 0.4966, 0.0339, NaN, NaN, ++-++, 0.318, 0.241, 2.487, 16.296, 0.018, 0.567, 4.608, 27.434
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, euclidean, padding, 10, 10, 1, XGBClassifier, Close_norm, Close_norm, 0.5184, 0.0774, 0.4923, 0.1016, NaN, NaN, ++++-, 0.402, 0.741, 1.699, 10.284, 0.02, 0.765, 3.454, 18.266
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, euclidean, padding, 10, 10, 1, XGBClassifier, Close_norm, Close_norm, 0.474, 0.0378, 0.3871, 0.0448, NaN, NaN, +----, 0.12, -0.699, -9.212, -59.448, 0.02, -0.358, -2.001, -16.6
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], SAX, euclidean, padding, 10, 10, 1, XGBClassifier, Close_norm, Close_norm, 0.5103, 0.066, 0.4868, 0.0819, NaN, NaN, ++---, 0.374, 0.054, -2.422, -22.852, 0.02, 0.24, 1.393, 1.698
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, euclidean, padding, 10, 15, 1, XGBClassifier, Close_norm, Close_norm, 0.4781, 0.0494, 0.4695, 0.0538, NaN, NaN, -+--+, 0.376, 0.311, -3.084, -15.622, 0.022, 0.597, 1.195, 5.764
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, euclidean, padding, 10, 15, 1, XGBClassifier, Close_norm, Close_norm, 0.5529, 0.0562, 0.5106, 0.0735, NaN, NaN, -+---, 0.164, -0.371, 0.008, -2.17, 0.022, 0.199, 2.741, 12.49
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], SAX, euclidean, padding, 10, 15, 1, XGBClassifier, Close_norm, Close_norm, 0.5006, 0.0991, 0.4881, 0.1008, NaN, NaN, ++---, 0.358, -0.151, -2.078, -27.89, 0.022, 0.068, 1.698, -0.37
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, euclidean, padding, 10, 5, 1, XGBClassifier, Close_norm, Close_norm, 0.4699, 0.0283, 0.4475, 0.0161, NaN, NaN, ----+, 0.192, -0.322, -2.988, -11.36, 0.018, 0.329, 2.047, 15.082
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], SAX, euclidean, padding, 10, 5, 1, XGBClassifier, Close_norm, Close_norm, 0.541, 0.0275, 0.468, 0.0883, NaN, NaN, +++--, 0.15, 0.179, 6.998, 36.148, 0.018, 0.332, 7.041, 38.836
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, euclidean, padding, 10, 10, 1, XGBClassifier, Close_norm, Close_norm, 0.5118, 0.0404, 0.489, 0.0578, NaN, NaN, -+-++, 0.179, 0.583, -1.421, -0.644, 0.02, 0.639, 2.025, 13.726
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], SAX, euclidean, padding, 10, 10, 1, XGBClassifier, Close_norm, Close_norm, 0.5314, 0.0634, 0.4874, 0.1003, NaN, NaN, ++-+U, 0.172, 0.451, 0.381, -1.972, 0.02, 0.59, 2.926, 13.062
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, euclidean, padding, 10, 15, 1, XGBClassifier, Close_norm, Close_norm, 0.4983, 0.0932, 0.4536, 0.0958, NaN, NaN, ++---, 0.199, 0.142, -4.925, -39.456, 0.022, -0.33, 0.332, -6.288
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], SAX, euclidean, padding, 10, 15, 1, XGBClassifier, Close_norm, Close_norm, 0.4893, 0.0455, 0.4723, 0.0524, NaN, NaN, -+---, 0.238, -0.358, -4.393, -30.368, 0.022, -0.072, 0.598, -1.744
 1, ['Close_norm'], None, euclidean, padding, 25, 5, 1, XGBClassifier, Close_norm, Close_norm, 0.5199, 0.047, 0.4774, 0.0742, NaN, NaN, ++-++, 0.242, 0.955, -0.053, 6.872, 0.018, 0.972, 3.515, 24.198
 1, ['Close_norm'], SAX, euclidean, padding, 25, 5, 1, XGBClassifier, Close_norm, Close_norm, 0.5445, 0.0288, 0.4517, 0.1032, NaN, NaN, D+++U, 0.168, 0.839, 5.808, 32.192, 0.018, 0.819, 6.445, 36.858
 1, ['Close_norm'], None, euclidean, padding, 25, 10, 1, XGBClassifier, Close_norm, Close_norm, 0.5314, 0.0218, 0.4797, 0.0736, NaN, NaN, +---U, 0.2, -0.092, -5.073, -34.892, 0.02, 0.774, 0.199, -3.398
