No. of features, selected_features, transformer, sim_func, fix_len_func, k stock, window_len, next_t, model, target_col, sim_col, mean_accuracy, std_accuracy, mean_f1, std_f1, mean_rmse, std_rmse, folds_result, mean_orders_count_per_hours, mean_sharpe_ratio, mean_profit_%, mean_profit, mean_L_orders_count_per_hours, mean_L_sharpe_ratio, mean_L_profit_%, mean_L_profit
1, ['Close_norm'], None, euclidean, padding, 10, 5, 1, GradientBoostingRegressor, Close_norm, Close_norm, 0.5136, 0.025, 0.5094, 0.0259, 0.407, 0.213, +-+-+, 0.339, 0.348, 3.484, 55.639, 0.012, 0.897, 5.711, 93.349
 1, ['Close_norm'], SAX, euclidean, padding, 10, 5, 1, GradientBoostingRegressor, Close_norm, Close_norm, 0.5186, 0.0318, 0.502, 0.0326, 0.508, 0.222, +++-+, 0.277, 0.905, 2.378, 36.308, 0.012, 1.135, 5.158, 83.684
 1, ['Close_norm'], None, euclidean, padding, 10, 10, 1, GradientBoostingRegressor, Close_norm, Close_norm, 0.5319, 0.0274, 0.5262, 0.0263, 0.43, 0.221, --++-, 0.33, 0.498, 4.206, 68.383, 0.013, 0.653, 5.762, 95.626
 1, ['Close_norm'], SAX, euclidean, padding, 10, 10, 1, GradientBoostingRegressor, Close_norm, Close_norm, 0.5213, 0.0181, 0.5012, 0.0445, 0.531, 0.242, +-+--, 0.285, 1.211, 2.144, 31.219, 0.013, 1.25, 4.731, 77.044
 1, ['Close_norm'], None, euclidean, padding, 10, 15, 1, GradientBoostingRegressor, Close_norm, Close_norm, 0.5358, 0.0616, 0.5237, 0.0576, 0.433, 0.217, +-++-, 0.293, 0.965, 2.354, 28.641, 0.014, 1.297, 4.98, 78.818
 1, ['Close_norm'], SAX, euclidean, padding, 10, 15, 1, GradientBoostingRegressor, Close_norm, Close_norm, 0.5214, 0.0389, 0.5, 0.0324, 0.545, 0.243, +-+--, 0.234, 1.134, 6.007, 91.662, 0.014, 1.385, 6.806, 110.329
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, euclidean, padding, 10, 5, 1, GradientBoostingRegressor, Close_norm, Close_norm, 0.515, 0.0597, 0.5045, 0.0562, 0.426, 0.215, +--++, 0.321, 1.175, 4.576, 80.9, 0.013, 1.248, 5.721, 97.773
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, euclidean, padding, 10, 5, 1, GradientBoostingRegressor, Close_norm, Close_norm, 0.5001, 0.0477, 0.4438, 0.0853, 0.786, 0.232, ---+-, 0.121, 0.404, -0.326, -4.179, 0.013, 0.235, 3.27, 55.234
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], SAX, euclidean, padding, 10, 5, 1, GradientBoostingRegressor, Close_norm, Close_norm, 0.4947, 0.0421, 0.4762, 0.053, 0.497, 0.208, +-+-+, 0.265, 1.065, 3.544, 60.108, 0.013, 1.131, 5.205, 87.377
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, euclidean, padding, 10, 10, 1, GradientBoostingRegressor, Close_norm, Close_norm, 0.5417, 0.044, 0.5297, 0.0479, 0.448, 0.238, ++-++, 0.331, 0.907, 2.591, 47.145, 0.013, 0.911, 5.025, 85.994
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, euclidean, padding, 10, 10, 1, GradientBoostingRegressor, Close_norm, Close_norm, 0.4744, 0.0449, 0.4115, 0.0828, 0.877, 0.3, +-D+-, 0.078, 0.819, -2.756, -42.754, 0.013, 1.515, 2.351, 41.044
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], SAX, euclidean, padding, 10, 10, 1, GradientBoostingRegressor, Close_norm, Close_norm, 0.504, 0.0117, 0.4793, 0.044, 0.505, 0.227, +++++, 0.243, 0.905, 4.845, 76.319, 0.013, 0.997, 6.152, 100.581
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, euclidean, padding, 10, 15, 1, GradientBoostingRegressor, Close_norm, Close_norm, 0.5289, 0.0468, 0.5167, 0.041, 0.473, 0.245, ++---, 0.321, 0.833, 1.291, 14.48, 0.014, 1.279, 4.303, 69.522
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, euclidean, padding, 10, 15, 1, GradientBoostingRegressor, Close_norm, Close_norm, 0.4768, 0.0186, 0.4131, 0.0583, 0.921, 0.367, D---+, 0.11, 0.694, -2.058, -30.983, 0.014, 1.132, 2.628, 46.79
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], SAX, euclidean, padding, 10, 15, 1, GradientBoostingRegressor, Close_norm, Close_norm, 0.4999, 0.0222, 0.4736, 0.0436, 0.54, 0.262, +---+, 0.234, 0.719, -0.593, -10.366, 0.014, 1.173, 3.361, 57.099
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, euclidean, padding, 10, 5, 1, GradientBoostingRegressor, Close_norm, Close_norm, 0.521, 0.0584, 0.5155, 0.0562, 0.407, 0.221, +-+-+, 0.262, 0.786, 2.309, 37.14, 0.012, 1.306, 5.124, 84.1
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], SAX, euclidean, padding, 10, 5, 1, GradientBoostingRegressor, Close_norm, Close_norm, 0.5162, 0.0289, 0.4934, 0.0482, 0.49, 0.215, +-+++, 0.224, 0.886, 3.345, 52.017, 0.012, 1.261, 5.642, 91.539
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, euclidean, padding, 10, 10, 1, GradientBoostingRegressor, Close_norm, Close_norm, 0.5453, 0.0507, 0.5337, 0.0496, 0.454, 0.238, +-++-, 0.279, 1.255, 5.145, 80.139, 0.013, 1.181, 6.231, 101.504
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], SAX, euclidean, padding, 10, 10, 1, GradientBoostingRegressor, Close_norm, Close_norm, 0.4973, 0.0331, 0.4781, 0.0267, 0.517, 0.257, ++++-, 0.213, 0.977, 4.24, 63.465, 0.013, 0.895, 5.779, 93.167
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, euclidean, padding, 10, 15, 1, GradientBoostingRegressor, Close_norm, Close_norm, 0.4901, 0.0276, 0.4773, 0.0233, 0.459, 0.237, +-++-, 0.265, 0.644, 1.768, 26.281, 0.014, 1.171, 4.687, 77.638
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], SAX, euclidean, padding, 10, 15, 1, GradientBoostingRegressor, Close_norm, Close_norm, 0.5013, 0.0343, 0.4789, 0.0322, 0.527, 0.263, +-+--, 0.216, 0.638, 0.66, 6.75, 0.014, 1.038, 4.133, 67.873
 1, ['Close_norm'], None, euclidean, padding, 25, 5, 1, GradientBoostingRegressor, Close_norm, Close_norm, 0.5061, 0.0334, 0.5005, 0.0335, 0.411, 0.213, +-+-+, 0.312, 0.863, 3.622, 60.453, 0.012, 1.105, 5.78, 95.757
