No. of features, selected_features, transformer, sim_func, fix_len_func, k stock, window_len, next_t, model, target_col, sim_col, mean_accuracy, std_accuracy, mean_f1, std_f1, mean_rmse, std_rmse, folds_result, mean_orders_count_per_hours, mean_sharpe_ratio, mean_profit_%, mean_profit, mean_L_orders_count_per_hours, mean_L_sharpe_ratio, mean_L_profit_%, mean_L_profit
1, ['Close_norm'], None, euclidean, time_join, 10, 5, 1, LSTM, Close_norm, Close_norm, 0.5197, 0.04, 0.4768, 0.0582, 0.493, 0.469, ++--+, 0.16, 0.051, -0.871, 1.208, 0.018, 0.472, 3.106, 21.366
 1, ['Close_norm'], SAX, euclidean, time_join, 10, 5, 1, LSTM, Close_norm, Close_norm, 0.5055, 0.0294, 0.4378, 0.0961, 1.032, 0.714, D--+D, 0.189, -0.258, -4.417, -22.832, 0.018, 0.569, 1.333, 9.346
 1, ['Close_norm'], None, euclidean, time_join, 10, 10, 1, LSTM, Close_norm, Close_norm, 0.5118, 0.0306, 0.4355, 0.0936, 0.567, 0.531, D---+, 0.149, -0.489, -3.985, -18.128, 0.02, 0.03, 0.744, 4.984
 1, ['Close_norm'], SAX, euclidean, time_join, 10, 10, 1, LSTM, Close_norm, Close_norm, 0.4765, 0.0275, 0.4021, 0.0712, 1.011, 0.692, D---D, 0.161, -0.637, -7.094, -35.424, 0.02, -0.466, -0.811, -3.664
 1, ['Close_norm'], None, euclidean, time_join, 10, 15, 1, LSTM, Close_norm, Close_norm, 0.4846, 0.0463, 0.4118, 0.0736, 0.836, 0.685, D---D, 0.196, -0.907, -4.981, -21.492, 0.022, -0.422, 0.303, 2.694
 1, ['Close_norm'], SAX, euclidean, time_join, 10, 15, 1, LSTM, Close_norm, Close_norm, 0.5107, 0.0912, 0.4405, 0.1258, 1.122, 0.794, D+--D, 0.174, -0.05, -2.029, -5.376, 0.022, -0.221, 1.78, 10.752
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, euclidean, time_join, 10, 5, 1, LSTM, Close_norm, Close_norm, 0.5219, 0.0512, 0.4267, 0.1139, 0.857, 0.614, D+-+D, 0.164, 0.206, 0.888, 9.872, 0.018, 0.533, 3.809, 24.222
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, euclidean, time_join, 10, 5, 1, LSTM, Close_norm, Close_norm, 0.511, 0.0335, 0.4402, 0.0921, 1.201, 0.928, D+-++, 0.123, 0.207, -0.28, 2.668, 0.018, 0.68, 3.225, 20.62
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], SAX, euclidean, time_join, 10, 5, 1, LSTM, Close_norm, Close_norm, 0.5038, 0.0674, 0.4287, 0.1092, 1.236, 0.776, D-+-D, 0.127, -0.177, -1.779, -10.892, 0.018, 0.349, 2.475, 13.84
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, euclidean, time_join, 10, 10, 1, LSTM, Close_norm, Close_norm, 0.482, 0.0588, 0.412, 0.084, 1.114, 0.708, D+--D, 0.108, 0.03, -5.503, -27.244, 0.02, -0.205, -0.147, -0.498
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, euclidean, time_join, 10, 10, 1, LSTM, Close_norm, Close_norm, 0.542, 0.0567, 0.5024, 0.0973, 1.353, 1.162, ++--D, 0.112, 0.558, 0.378, 0.876, 0.02, 0.466, 2.793, 13.562
