No. of features, selected_features, transformer, sim_func, fix_len_func, k stock, window_len, next_t, model, target_col, sim_col, mean_accuracy, std_accuracy, mean_f1, std_f1, mean_rmse, std_rmse, folds_result, mean_orders_count_per_hours, mean_sharpe_ratio, mean_profit_%, mean_profit, mean_L_orders_count_per_hours, mean_L_sharpe_ratio, mean_L_profit_%, mean_L_profit
1, ['Close_norm'], None, co-integration, padding, 10, 5, 1, LSTM, Close_norm, Close_norm, 0.5311, 0.0698, 0.5169, 0.0718, 0.343, 0.229, +--++, 0.275, 0.677, 2.212, 33.92, 0.012, 1.363, 5.075, 82.49
 1, ['Close_norm'], SAX, co-integration, padding, 10, 5, 1, LSTM, Close_norm, Close_norm, 0.5112, 0.0159, 0.4852, 0.0432, 0.589, 0.288, ++-++, 0.249, 0.896, -0.339, -5.045, 0.012, 1.191, 3.8, 63.008
 1, ['Close_norm'], None, co-integration, padding, 10, 10, 1, LSTM, Close_norm, Close_norm, 0.4893, 0.0753, 0.4477, 0.0878, 0.363, 0.219, +-++-, 0.184, 0.498, 1.741, 31.675, 0.013, 1.059, 4.529, 77.272
 1, ['Close_norm'], SAX, co-integration, padding, 10, 10, 1, LSTM, Close_norm, Close_norm, 0.5053, 0.016, 0.4793, 0.0352, 0.64, 0.325, +----, 0.192, 0.968, -1.027, -18.72, 0.013, 1.308, 3.145, 52.075
 1, ['Close_norm'], None, co-integration, padding, 10, 15, 1, LSTM, Close_norm, Close_norm, 0.5155, 0.0318, 0.4886, 0.0415, 0.383, 0.215, +-+--, 0.214, 0.533, -1.283, -23.332, 0.014, 0.789, 3.161, 52.831
 1, ['Close_norm'], SAX, co-integration, padding, 10, 15, 1, LSTM, Close_norm, Close_norm, 0.5013, 0.0286, 0.476, 0.037, 0.668, 0.34, +---+, 0.191, 1.333, -0.181, -3.331, 0.014, 1.707, 3.712, 62.832
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, co-integration, padding, 10, 5, 1, LSTM, Close_norm, Close_norm, 0.4999, 0.0445, 0.4657, 0.0832, 0.477, 0.245, D--++, 0.204, 0.696, -2.411, -32.869, 0.013, 0.544, 2.227, 40.888
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, co-integration, padding, 10, 5, 1, LSTM, Close_norm, Close_norm, 0.4772, 0.0374, 0.4237, 0.0671, 0.893, 0.307, ---+-, 0.116, 0.758, -1.49, -21.24, 0.013, 1.173, 2.688, 46.703
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], SAX, co-integration, padding, 10, 5, 1, LSTM, Close_norm, Close_norm, 0.4597, 0.0145, 0.4271, 0.0243, 0.555, 0.236, +----, 0.167, 0.043, -3.987, -67.795, 0.013, 0.529, 1.439, 23.425
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, co-integration, padding, 10, 10, 1, LSTM, Close_norm, Close_norm, 0.4853, 0.0293, 0.4476, 0.0514, 0.559, 0.253, --++-, 0.226, 0.42, -0.58, -14.457, 0.013, 1.368, 3.44, 55.193
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, co-integration, padding, 10, 10, 1, LSTM, Close_norm, Close_norm, 0.4851, 0.0211, 0.418, 0.0631, 1.106, 0.307, D----, 0.078, 0.671, -2.832, -46.181, 0.013, 1.539, 2.313, 39.331
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], SAX, co-integration, padding, 10, 10, 1, LSTM, Close_norm, Close_norm, 0.5121, 0.0373, 0.4928, 0.0278, 0.568, 0.245, +--++, 0.21, -0.176, 0.369, 7.798, 0.013, 0.525, 3.914, 66.32
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, co-integration, padding, 10, 15, 1, LSTM, Close_norm, Close_norm, 0.5143, 0.0398, 0.484, 0.0619, 0.644, 0.33, ----+, 0.194, 0.872, 0.243, 9.349, 0.014, 1.464, 3.779, 66.957
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, co-integration, padding, 10, 15, 1, LSTM, Close_norm, Close_norm, 0.4739, 0.0497, 0.4134, 0.0746, 1.081, 0.342, D--+-, 0.069, 0.567, -2.982, -47.458, 0.014, 1.534, 2.166, 38.553
