No. of features, selected_features, transformer, sim_func, fix_len_func, k stock, window_len, next_t, model, target_col, sim_col, mean_accuracy, std_accuracy, mean_f1, std_f1, mean_rmse, std_rmse, mean_sharp_ratio, mean_profit
1, ['Close_proc'], SAX, sax, time_join, 50, 10, 1, GradientBoostingRegressor, Close_proc, Close_proc, 0.504, 0.0704, 0.3337, 0.0309, 0.011, 0.004, 0.016, 3.867
 1, ['Close_proc'], SAX, sax, time_join, 50, 10, 3, GradientBoostingRegressor, Close_proc, Close_proc, 0.5279, 0.0716, 0.3441, 0.03, 0.01, 0.004, 0.093, -1.893
 1, ['Close_proc'], SAX, sax, time_join, 50, 10, 7, GradientBoostingRegressor, Close_proc, Close_proc, 0.51, 0.0744, 0.3362, 0.0321, 0.011, 0.005, 0.175, -1.805
 1, ['Close_proc'], SAX, sax, pip, 50, 10, 1, GradientBoostingRegressor, Close_proc, Close_proc, 0.5232, 0.0666, 0.3423, 0.0281, 0.011, 0.004, 0.241, -1.99
 1, ['Close_proc'], SAX, sax, pip, 50, 10, 3, GradientBoostingRegressor, Close_proc, Close_proc, 0.5254, 0.0726, 0.343, 0.0305, 0.01, 0.004, 0.275, -1.64
 1, ['Close_proc'], SAX, sax, pip, 50, 10, 7, GradientBoostingRegressor, Close_proc, Close_proc, 0.5195, 0.0725, 0.3404, 0.0311, 0.011, 0.005, 0.287, -1.465
 1, ['Close_proc'], SAX, co-integration, time_join, 50, 10, 1, GradientBoostingRegressor, Close_proc, Close_proc, 0.5108, 0.0697, 0.3367, 0.0301, 0.011, 0.004, 0.194, 4.639
 1, ['Close_proc'], SAX, co-integration, time_join, 50, 10, 3, GradientBoostingRegressor, Close_proc, Close_proc, 0.5116, 0.076, 0.3368, 0.0325, 0.01, 0.004, -0.113, 4.291
 1, ['Close_proc'], SAX, co-integration, time_join, 50, 10, 7, GradientBoostingRegressor, Close_proc, Close_proc, 0.501, 0.0751, 0.3321, 0.0333, 0.011, 0.005, 0.282, -3.873
 1, ['Close_proc'], SAX, co-integration, pip, 50, 10, 1, GradientBoostingRegressor, Close_proc, Close_proc, 0.4939, 0.0703, 0.3292, 0.0312, 0.011, 0.004, -0.024, -0.591
 1, ['Close_proc'], SAX, co-integration, pip, 50, 10, 3, GradientBoostingRegressor, Close_proc, Close_proc, 0.5132, 0.0757, 0.3375, 0.0322, 0.01, 0.004, 0.087, -2.061
 1, ['Close_proc'], SAX, co-integration, pip, 50, 10, 7, GradientBoostingRegressor, Close_proc, Close_proc, 0.5112, 0.0743, 0.3367, 0.0318, 0.011, 0.005, 0.182, -1.903
 1, ['Close_proc'], SAX, sax, time_join, 50, 10, 1, GradientBoostingClassifier, Close_proc, Close_proc, 0.5194, 0.0678, 0.3406, 0.0287, NaN, NaN, 0.152, 4.262
 1, ['Close_proc'], SAX, sax, time_join, 50, 10, 3, GradientBoostingClassifier, Close_proc, Close_proc, 0.5116, 0.076, 0.3368, 0.0324, NaN, NaN, 0.044, -2.752
 1, ['Close_proc'], SAX, sax, time_join, 50, 10, 7, GradientBoostingClassifier, Close_proc, Close_proc, 0.51, 0.0744, 0.3362, 0.0321, NaN, NaN, 0.153, -2.269
 1, ['Close_proc'], SAX, sax, pip, 50, 10, 1, GradientBoostingClassifier, Close_proc, Close_proc, 0.5201, 0.0676, 0.3409, 0.0286, NaN, NaN, 0.22, 4.29
 1, ['Close_proc'], SAX, sax, pip, 50, 10, 3, GradientBoostingClassifier, Close_proc, Close_proc, 0.5148, 0.0754, 0.3382, 0.0318, NaN, NaN, 0.258, 4.995
 1, ['Close_proc'], SAX, sax, pip, 50, 10, 7, GradientBoostingClassifier, Close_proc, Close_proc, 0.5093, 0.0745, 0.3359, 0.0319, NaN, NaN, 0.28, 4.622
 1, ['Close_proc'], SAX, co-integration, time_join, 50, 10, 1, GradientBoostingClassifier, Close_proc, Close_proc, 0.5201, 0.0676, 0.3409, 0.0286, NaN, NaN, 0.33, 4.209
 1, ['Close_proc'], SAX, co-integration, time_join, 50, 10, 3, GradientBoostingClassifier, Close_proc, Close_proc, 0.5059, 0.0767, 0.3343, 0.0327, NaN, NaN, 0.032, -1.99
 1, ['Close_proc'], SAX, co-integration, time_join, 50, 10, 7, GradientBoostingClassifier, Close_proc, Close_proc, 0.4964, 0.075, 0.3301, 0.0329, NaN, NaN, 0.138, -2.691
 1, ['Close_proc'], SAX, co-integration, pip, 50, 10, 1, GradientBoostingClassifier, Close_proc, Close_proc, 0.514, 0.0691, 0.3382, 0.0294, NaN, NaN, 0.069, 3.607
 1, ['Close_proc'], SAX, co-integration, pip, 50, 10, 3, GradientBoostingClassifier, Close_proc, Close_proc, 0.5018, 0.0769, 0.3325, 0.0327, NaN, NaN, -0.026, -2.812
 1, ['Close_proc'], SAX, co-integration, pip, 50, 10, 7, GradientBoostingClassifier, Close_proc, Close_proc, 0.5056, 0.0749, 0.3342, 0.032, NaN, NaN, 0.224, -2.217
 1, ['Close_proc'], SAX, sax, time_join, 50, 10, 1, RandomForestRegressor, Close_proc, Close_proc, 0.5001, 0.0705, 0.3319, 0.0309, 0.011, 0.004, -0.009, 3.619
 1, ['Close_proc'], SAX, sax, time_join, 50, 10, 3, RandomForestRegressor, Close_proc, Close_proc, 0.5279, 0.0716, 0.3441, 0.03, 0.01, 0.004, 0.093, -1.893
 1, ['Close_proc'], SAX, sax, time_join, 50, 10, 7, RandomForestRegressor, Close_proc, Close_proc, 0.5082, 0.0747, 0.3354, 0.0321, 0.011, 0.005, 0.121, -2.253
 1, ['Close_proc'], SAX, sax, pip, 50, 10, 1, RandomForestRegressor, Close_proc, Close_proc, 0.5232, 0.0666, 0.3423, 0.0281, 0.011, 0.004, 0.241, -1.99
 1, ['Close_proc'], SAX, sax, pip, 50, 10, 3, RandomForestRegressor, Close_proc, Close_proc, 0.5254, 0.0726, 0.343, 0.0305, 0.01, 0.004, 0.275, -1.64
 1, ['Close_proc'], SAX, sax, pip, 50, 10, 7, RandomForestRegressor, Close_proc, Close_proc, 0.5195, 0.0725, 0.3404, 0.0311, 0.011, 0.005, 0.287, -1.465
 1, ['Close_proc'], SAX, co-integration, time_join, 50, 10, 1, RandomForestRegressor, Close_proc, Close_proc, 0.5108, 0.0697, 0.3367, 0.0301, 0.011, 0.004, 0.194, 4.639
 1, ['Close_proc'], SAX, co-integration, time_join, 50, 10, 3, RandomForestRegressor, Close_proc, Close_proc, 0.5116, 0.076, 0.3368, 0.0325, 0.01, 0.004, -0.113, 4.291
 1, ['Close_proc'], SAX, co-integration, time_join, 50, 10, 7, RandomForestRegressor, Close_proc, Close_proc, 0.501, 0.0751, 0.3321, 0.0333, 0.011, 0.005, 0.282, -3.873
 1, ['Close_proc'], SAX, co-integration, pip, 50, 10, 1, RandomForestRegressor, Close_proc, Close_proc, 0.4939, 0.0703, 0.3292, 0.0312, 0.011, 0.004, -0.024, -0.591
 1, ['Close_proc'], SAX, co-integration, pip, 50, 10, 3, RandomForestRegressor, Close_proc, Close_proc, 0.5042, 0.0768, 0.3335, 0.0334, 0.01, 0.004, 0.085, -5.874
 1, ['Close_proc'], SAX, co-integration, pip, 50, 10, 7, RandomForestRegressor, Close_proc, Close_proc, 0.5112, 0.0743, 0.3367, 0.0318, 0.011, 0.005, 0.182, -1.903
 1, ['Close_proc'], SAX, sax, time_join, 50, 10, 1, RandomForestClassifier, Close_proc, Close_proc, 0.5217, 0.0671, 0.3416, 0.0284, NaN, NaN, 0.169, 4.401
 1, ['Close_proc'], SAX, sax, time_join, 50, 10, 3, RandomForestClassifier, Close_proc, Close_proc, 0.5116, 0.076, 0.3368, 0.0324, NaN, NaN, 0.044, -2.752
 1, ['Close_proc'], SAX, sax, time_join, 50, 10, 7, RandomForestClassifier, Close_proc, Close_proc, 0.5029, 0.0751, 0.333, 0.0326, NaN, NaN, 0.119, -2.394
 1, ['Close_proc'], SAX, sax, pip, 50, 10, 1, RandomForestClassifier, Close_proc, Close_proc, 0.5201, 0.0676, 0.3409, 0.0286, NaN, NaN, 0.22, 4.29
 1, ['Close_proc'], SAX, sax, pip, 50, 10, 3, RandomForestClassifier, Close_proc, Close_proc, 0.5148, 0.0754, 0.3382, 0.0318, NaN, NaN, 0.258, 4.995
 1, ['Close_proc'], SAX, sax, pip, 50, 10, 7, RandomForestClassifier, Close_proc, Close_proc, 0.5093, 0.0745, 0.3359, 0.0319, NaN, NaN, 0.28, 4.622
 1, ['Close_proc'], SAX, co-integration, time_join, 50, 10, 1, RandomForestClassifier, Close_proc, Close_proc, 0.5209, 0.0674, 0.3412, 0.0285, NaN, NaN, 0.344, 4.296
