No. of features, selected_features, transformer, sim_func, fix_len_func, k stock, window_len, next_t, model, target_col, sim_col, mean_accuracy, std_accuracy, mean_f1, std_f1, mean_rmse, std_rmse,mean_orders_count_per_hours, folds_result, mean_sharpe_ratio, mean_profit_%, mean_profit
1, ['Close_norm'], None, co-integration, time_join, 0, 5, 1, LSTM, Close_norm, Close_norm, 0.4913, 0.07, 0.4265, 0.0379, 0.346, 0.213, 0.12, +-+--, 0.165, 1.77, 25.356
 1, ['Close_norm'], SAX, co-integration, time_join, 0, 5, 1, LSTM, Close_norm, Close_norm, 0.5238, 0.0426, 0.4837, 0.0738, 0.581, 0.247, 0.202, -+-+-, 0.754, 0.908, 14.881
 1, ['Close_norm'], None, co-integration, time_join, 0, 10, 1, LSTM, Close_norm, Close_norm, 0.4868, 0.0352, 0.4131, 0.0739, 0.41, 0.218, 0.136, X-+++, 0.064, 0.585, 13.093
 1, ['Close_norm'], SAX, co-integration, time_join, 0, 10, 1, LSTM, Close_norm, Close_norm, 0.4735, 0.0297, 0.4076, 0.0659, 0.669, 0.272, 0.13, +----, 0.332, -3.064, -50.892
 1, ['Close_norm'], None, co-integration, time_join, 0, 15, 1, LSTM, Close_norm, Close_norm, 0.5299, 0.0785, 0.5149, 0.0859, 0.403, 0.253, 0.196, +-+--, 0.466, 0.773, 8.522
 1, ['Close_norm'], SAX, co-integration, time_join, 0, 15, 1, LSTM, Close_norm, Close_norm, 0.507, 0.0609, 0.4556, 0.0853, 0.684, 0.357, 0.145, +X+-+, 0.094, -0.061, -0.436
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, co-integration, time_join, 0, 5, 1, LSTM, Close_norm, Close_norm, 0.5252, 0.0308, 0.4683, 0.0726, 0.597, 0.165, 0.167, X-++-, 0.217, 1.323, 20.455
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, co-integration, time_join, 0, 5, 1, LSTM, Close_norm, Close_norm, 0.5025, 0.0124, 0.4649, 0.0703, 0.684, 0.215, 0.111, X-+-+, 1.01, 1.316, 24.05
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], SAX, co-integration, time_join, 0, 5, 1, LSTM, Close_norm, Close_norm, 0.5579, 0.0567, 0.5103, 0.1049, 0.603, 0.187, 0.139, X++++, 1.017, 3.484, 64.178
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, co-integration, time_join, 0, 10, 1, LSTM, Close_norm, Close_norm, 0.4933, 0.0135, 0.4515, 0.0633, 0.657, 0.236, 0.183, X--+-, 0.789, -1.903, -29.7
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, co-integration, time_join, 0, 10, 1, LSTM, Close_norm, Close_norm, 0.5257, 0.0265, 0.4783, 0.0775, 0.846, 0.328, 0.086, X+++-, 1.208, 0.039, -1.305
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], SAX, co-integration, time_join, 0, 10, 1, LSTM, Close_norm, Close_norm, 0.5148, 0.0182, 0.4707, 0.0765, 0.643, 0.197, 0.143, X+-+-, 0.738, -1.593, -28.498
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, co-integration, time_join, 0, 15, 1, LSTM, Close_norm, Close_norm, 0.5029, 0.0181, 0.4598, 0.071, 0.693, 0.233, 0.17, X---+, -0.262, -2.585, -41.734
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, co-integration, time_join, 0, 15, 1, LSTM, Close_norm, Close_norm, 0.5172, 0.0292, 0.4719, 0.0796, 0.888, 0.299, 0.11, X-+++, 1.181, -0.271, -3.767
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], SAX, co-integration, time_join, 0, 15, 1, LSTM, Close_norm, Close_norm, 0.4827, 0.0336, 0.4362, 0.0637, 0.719, 0.29, 0.133, X-+-+, 0.194, -1.154, -19.653
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, co-integration, time_join, 0, 5, 1, LSTM, Close_norm, Close_norm, 0.5012, 0.0251, 0.4438, 0.0611, 0.508, 0.2, 0.134, X-+--, 0.185, -0.821, -16.007
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], SAX, co-integration, time_join, 0, 5, 1, LSTM, Close_norm, Close_norm, 0.5013, 0.0444, 0.4282, 0.0755, 0.607, 0.317, 0.07, X++-+, 1.018, 1.984, 30.028
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, co-integration, time_join, 0, 10, 1, LSTM, Close_norm, Close_norm, 0.4921, 0.0343, 0.4528, 0.073, 0.595, 0.237, 0.183, X--+-, 0.324, -3.678, -59.708
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], SAX, co-integration, time_join, 0, 10, 1, LSTM, Close_norm, Close_norm, 0.4921, 0.0309, 0.4222, 0.0693, 0.685, 0.299, 0.064, X++--, 0.539, 0.494, 6.405
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, co-integration, time_join, 0, 15, 1, LSTM, Close_norm, Close_norm, 0.5072, 0.0326, 0.4654, 0.0721, 0.713, 0.274, 0.134, X+---, 0.48, -3.795, -66.888
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], SAX, co-integration, time_join, 0, 15, 1, LSTM, Close_norm, Close_norm, 0.4986, 0.0466, 0.435, 0.0936, 0.929, 0.395, 0.085, X+-++, 0.974, -0.289, -1.522
 1, ['Close_norm'], None, co-integration, time_join, 0, 5, 1, LSTM, Close_proc, Close_norm, 0.4961, 0.0489, 0.4263, 0.0763, 0.008, 0.003, 0.105, +-X+-, 0.487, -3.403, -57.564
 1, ['Close_norm'], SAX, co-integration, time_join, 0, 5, 1, LSTM, Close_proc, Close_norm, 0.4811, 0.0523, 0.3819, 0.0699, 0.008, 0.003, 0.042, X-X+-, 0.271, -4.43, -73.532
 1, ['Close_norm'], None, co-integration, time_join, 0, 10, 1, LSTM, Close_proc, Close_norm, 0.5159, 0.0666, 0.4754, 0.1031, 0.009, 0.002, 0.186, X-++-, 0.566, 1.189, 18.693
 1, ['Close_norm'], SAX, co-integration, time_join, 0, 10, 1, LSTM, Close_proc, Close_norm, 0.4999, 0.0621, 0.3783, 0.0895, 0.008, 0.003, 0.05, XXX--, 0.512, -1.976, -37.661
 1, ['Close_norm'], None, co-integration, time_join, 0, 15, 1, LSTM, Close_proc, Close_norm, 0.4814, 0.0469, 0.3476, 0.0402, 0.009, 0.003, 0.043, +X-+X, -0.432, -3.412, -59.459
 1, ['Close_norm'], SAX, co-integration, time_join, 0, 15, 1, LSTM, Close_proc, Close_norm, 0.4671, 0.0337, 0.3978, 0.0792, 0.008, 0.003, 0.048, X-X--, 0.189, -4.814, -81.348
 1, ['Close_proc'], None, co-integration, time_join, 0, 5, 1, LSTM, Close_proc, Close_norm, 0.4975, 0.0438, 0.3699, 0.0442, 0.008, 0.003, 0.088, XX-X+, -0.271, 0.066, 9.277
 1, ['Close_proc'], SAX, co-integration, time_join, 0, 5, 1, LSTM, Close_proc, Close_norm, 0.5001, 0.0542, 0.3325, 0.024, 0.008, 0.003, 0.013, XXXXX, -0.17, 2.867, 46.822
 1, ['Close_proc'], None, co-integration, time_join, 0, 10, 1, LSTM, Close_proc, Close_norm, 0.5229, 0.0523, 0.3777, 0.0738, 0.008, 0.003, 0.099, XXXX-, 0.378, 1.762, 18.733
 1, ['Close_proc'], SAX, co-integration, time_join, 0, 10, 1, LSTM, Close_proc, Close_norm, 0.5149, 0.0551, 0.339, 0.0242, 0.008, 0.003, 0.013, XXXXX, 0.444, 3.177, 56.326
 1, ['Close_proc'], None, co-integration, time_join, 0, 15, 1, LSTM, Close_proc, Close_norm, 0.5145, 0.0476, 0.37, 0.0593, 0.008, 0.003, 0.061, +X+XX, 0.512, 5.497, 90.476
 1, ['Close_proc'], SAX, co-integration, time_join, 0, 15, 1, LSTM, Close_proc, Close_norm, 0.4594, 0.0365, 0.3144, 0.017, 0.008, 0.003, 0.014, XXXXX, -0.251, -3.634, -52.111
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, co-integration, time_join, 0, 5, 1, LSTM, Close_proc, Close_norm, 0.5, 0.0446, 0.4759, 0.0399, 0.011, 0.006, 0.268, -+++-, 0.255, -1.345, -22.96
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, co-integration, time_join, 0, 5, 1, LSTM, Close_proc, Close_norm, 0.4722, 0.0438, 0.412, 0.0624, 0.008, 0.003, 0.056, +--++, 0.315, -1.782, -26.443
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], SAX, co-integration, time_join, 0, 5, 1, LSTM, Close_proc, Close_norm, 0.4976, 0.0553, 0.3313, 0.0245, 0.008, 0.003, 0.018, -XXXX, 0.071, 2.106, 39.326
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, co-integration, time_join, 0, 10, 1, LSTM, Close_proc, Close_norm, 0.5552, 0.0373, 0.5404, 0.0405, 0.01, 0.004, 0.35, ++++-, 1.025, 6.664, 103.956
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, co-integration, time_join, 0, 10, 1, LSTM, Close_proc, Close_norm, 0.4906, 0.0351, 0.4033, 0.0846, 0.009, 0.004, 0.035, --X+X, 0.642, -0.313, 2.04
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], SAX, co-integration, time_join, 0, 10, 1, LSTM, Close_proc, Close_norm, 0.4905, 0.0422, 0.4094, 0.0675, 0.009, 0.003, 0.068, +-+-X, -0.114, -2.38, -47.303
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, co-integration, time_join, 0, 15, 1, LSTM, Close_proc, Close_norm, 0.5174, 0.0537, 0.4931, 0.0584, 0.011, 0.005, 0.249, +--+-, -0.059, 1.115, 16.261
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, co-integration, time_join, 0, 15, 1, LSTM, Close_proc, Close_norm, 0.4855, 0.0569, 0.4101, 0.0854, 0.008, 0.003, 0.04, XX+++, 0.526, 2.999, 58.819
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], SAX, co-integration, time_join, 0, 15, 1, LSTM, Close_proc, Close_norm, 0.4797, 0.0445, 0.3576, 0.0824, 0.008, 0.004, 0.052, XXX+X, -0.223, -5.243, -89.56
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, co-integration, time_join, 0, 5, 1, LSTM, Close_proc, Close_norm, 0.4862, 0.025, 0.3855, 0.0447, 0.011, 0.004, 0.09, X---X, 0.39, -4.385, -74.733
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], SAX, co-integration, time_join, 0, 5, 1, LSTM, Close_proc, Close_norm, 0.5237, 0.054, 0.4745, 0.1049, 0.008, 0.003, 0.132, +X-++, 0.41, 2.109, 41.985
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, co-integration, time_join, 0, 10, 1, LSTM, Close_proc, Close_norm, 0.5053, 0.0225, 0.43, 0.0662, 0.009, 0.003, 0.122, X-+++, 0.891, 7.017, 120.601
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], SAX, co-integration, time_join, 0, 10, 1, LSTM, Close_proc, Close_norm, 0.5108, 0.0664, 0.3539, 0.0418, 0.008, 0.003, 0.04, +XXX+, 0.305, 2.779, 47.447
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, co-integration, time_join, 0, 15, 1, LSTM, Close_proc, Close_norm, 0.5356, 0.0469, 0.5024, 0.0217, 0.011, 0.009, 0.131, +-+++, 1.103, 6.075, 102.624
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], SAX, co-integration, time_join, 0, 15, 1, LSTM, Close_proc, Close_norm, 0.5043, 0.0502, 0.3694, 0.0757, 0.009, 0.003, 0.034, XXX-X, 0.073, -2.42, -47.331
 
