No. of features, selected_features, transformer, sim_func, fix_len_func, k stock, window_len, next_t, model, target_col, sim_col, mean_accuracy, std_accuracy, mean_f1, std_f1, mean_rmse, std_rmse,mean_orders_count_per_hours, folds_result, mean_sharpe_ratio, mean_profit_%, mean_profit
1, ['Close_norm'], None, co-integration, time_join, 0, 5, 1, LSTM, Close_norm, Close_norm, 0.4886, 0.0617, 0.4449, 0.0778, 0.325, 0.176, 0.155, +---+, 0.179, -4.021, -65.269
 1, ['Close_norm'], SAX, co-integration, time_join, 0, 5, 1, LSTM, Close_norm, Close_norm, 0.5311, 0.0242, 0.4798, 0.0784, 0.538, 0.228, 0.177, ++++-, 0.914, 3.925, 63.282
 1, ['Close_norm'], None, co-integration, time_join, 0, 10, 1, LSTM, Close_norm, Close_norm, 0.5318, 0.0509, 0.4723, 0.0818, 0.409, 0.207, 0.133, X++--, 0.45, 2.054, 30.685
 1, ['Close_norm'], SAX, co-integration, time_join, 0, 10, 1, LSTM, Close_norm, Close_norm, 0.484, 0.0331, 0.4406, 0.0646, 0.647, 0.241, 0.184, X----, 0.573, -3.036, -51.137
 1, ['Close_norm'], None, co-integration, time_join, 0, 15, 1, LSTM, Close_norm, Close_norm, 0.5243, 0.0331, 0.473, 0.0745, 0.437, 0.292, 0.159, X+++-, 0.974, 0.48, 5.869
 1, ['Close_norm'], SAX, co-integration, time_join, 0, 15, 1, LSTM, Close_norm, Close_norm, 0.5043, 0.0189, 0.4695, 0.0705, 0.694, 0.285, 0.182, X+---, 0.157, -2.116, -36.952
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, co-integration, time_join, 0, 5, 1, LSTM, Close_norm, Close_norm, 0.5125, 0.0298, 0.4651, 0.0715, 0.593, 0.193, 0.176, X--+-, 1.05, -2.379, -39.638
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, co-integration, time_join, 0, 5, 1, LSTM, Close_norm, Close_norm, 0.5227, 0.0281, 0.4851, 0.0815, 0.657, 0.217, 0.136, X++++, 1.195, 3.71, 61.303
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], SAX, co-integration, time_join, 0, 5, 1, LSTM, Close_norm, Close_norm, 0.5127, 0.0371, 0.4647, 0.0746, 0.589, 0.194, 0.156, X+++-, 0.575, 2.557, 39.927
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, co-integration, time_join, 0, 10, 1, LSTM, Close_norm, Close_norm, 0.5093, 0.0399, 0.4704, 0.0776, 0.655, 0.236, 0.21, X--++, 0.269, -1.894, -25.394
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, co-integration, time_join, 0, 10, 1, LSTM, Close_norm, Close_norm, 0.531, 0.0371, 0.4909, 0.0849, 0.85, 0.327, 0.091, X+-++, 1.101, -0.274, -2.818
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], SAX, co-integration, time_join, 0, 10, 1, LSTM, Close_norm, Close_norm, 0.5095, 0.04, 0.4842, 0.0544, 0.631, 0.226, 0.194, ++++-, 0.676, 1.547, 20.887
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, co-integration, time_join, 0, 15, 1, LSTM, Close_norm, Close_norm, 0.4884, 0.0281, 0.4488, 0.0672, 0.719, 0.246, 0.124, X---+, 0.064, -3.08, -49.297
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, co-integration, time_join, 0, 15, 1, LSTM, Close_norm, Close_norm, 0.5202, 0.0355, 0.47, 0.0843, 0.998, 0.392, 0.092, X+-++, 1.026, -0.695, -8.382
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], SAX, co-integration, time_join, 0, 15, 1, LSTM, Close_norm, Close_norm, 0.4626, 0.0322, 0.4111, 0.0692, 0.694, 0.253, 0.098, X----, -0.14, -4.924, -85.494
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, co-integration, time_join, 0, 5, 1, LSTM, Close_norm, Close_norm, 0.5039, 0.0319, 0.4349, 0.0692, 0.463, 0.241, 0.1, X++-+, 0.781, 1.949, 30.473
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], SAX, co-integration, time_join, 0, 5, 1, LSTM, Close_norm, Close_norm, 0.5437, 0.0326, 0.4857, 0.0844, 0.591, 0.242, 0.137, X+++-, 1.075, 3.21, 47.66
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, co-integration, time_join, 0, 10, 1, LSTM, Close_norm, Close_norm, 0.5266, 0.0273, 0.4752, 0.0788, 0.616, 0.254, 0.13, X+-+-, 0.705, 0.781, 11.192
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], SAX, co-integration, time_join, 0, 10, 1, LSTM, Close_norm, Close_norm, 0.4947, 0.0199, 0.4523, 0.0674, 0.659, 0.315, 0.106, X++-+, 1.042, 1.357, 23.735
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, co-integration, time_join, 0, 15, 1, LSTM, Close_norm, Close_norm, 0.4757, 0.027, 0.4358, 0.0558, 0.677, 0.25, 0.148, X----, 0.41, -4.8, -77.321
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], SAX, co-integration, time_join, 0, 15, 1, LSTM, Close_norm, Close_norm, 0.5272, 0.0503, 0.4642, 0.0966, 0.738, 0.298, 0.105, X-+++, 1.07, 3.408, 58.748
 1, ['Close_norm'], None, co-integration, time_join, 0, 5, 1, LSTM, Close_proc, Close_norm, 0.5162, 0.0248, 0.4663, 0.0659, 0.008, 0.003, 0.152, +-++X, 0.877, 1.995, 25.384
 1, ['Close_norm'], SAX, co-integration, time_join, 0, 5, 1, LSTM, Close_proc, Close_norm, 0.4837, 0.0496, 0.3253, 0.0223, 0.008, 0.003, 0.022, XXXX-, 0.024, -4.008, -72.942
 1, ['Close_norm'], None, co-integration, time_join, 0, 10, 1, LSTM, Close_proc, Close_norm, 0.4815, 0.0656, 0.4193, 0.0487, 0.008, 0.002, 0.114, --+--, -0.05, -1.516, -28.692
 1, ['Close_norm'], SAX, co-integration, time_join, 0, 10, 1, LSTM, Close_proc, Close_norm, 0.4733, 0.0408, 0.3537, 0.0756, 0.009, 0.004, 0.043, XXX-X, -0.372, -6.094, -101.71
 1, ['Close_norm'], None, co-integration, time_join, 0, 15, 1, LSTM, Close_proc, Close_norm, 0.4958, 0.0522, 0.4362, 0.0834, 0.009, 0.003, 0.128, X-+++, 0.116, 2.344, 42.77
 1, ['Close_norm'], SAX, co-integration, time_join, 0, 15, 1, LSTM, Close_proc, Close_norm, 0.4986, 0.0504, 0.3473, 0.0357, 0.009, 0.003, 0.034, XXX-X, -0.021, -3.38, -64.851
 1, ['Close_proc'], None, co-integration, time_join, 0, 5, 1, LSTM, Close_proc, Close_norm, 0.5077, 0.0537, 0.3359, 0.0239, 0.008, 0.003, 0.013, XXXXX, 0.174, 2.74, 48.402
 1, ['Close_proc'], SAX, co-integration, time_join, 0, 5, 1, LSTM, Close_proc, Close_norm, 0.4722, 0.0466, 0.3201, 0.0209, 0.008, 0.003, 0.013, XXXXX, -0.242, -1.258, -19.422
 1, ['Close_proc'], None, co-integration, time_join, 0, 10, 1, LSTM, Close_proc, Close_norm, 0.5553, 0.0212, 0.4162, 0.066, 0.008, 0.003, 0.145, +XX++, 0.753, 6.016, 96.924
 1, ['Close_proc'], SAX, co-integration, time_join, 0, 10, 1, LSTM, Close_proc, Close_norm, 0.5095, 0.0563, 0.3366, 0.0247, 0.008, 0.003, 0.013, XXXXX, 0.448, 2.882, 52.09
 1, ['Close_proc'], None, co-integration, time_join, 0, 15, 1, LSTM, Close_proc, Close_norm, 0.5406, 0.0631, 0.485, 0.0899, 0.008, 0.003, 0.341, +X+-+, 0.645, 7.116, 115.216
 1, ['Close_proc'], SAX, co-integration, time_join, 0, 15, 1, LSTM, Close_proc, Close_norm, 0.5406, 0.0365, 0.3505, 0.0155, 0.009, 0.003, 0.014, XXXXX, 0.607, 6.989, 119.9
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, co-integration, time_join, 0, 5, 1, LSTM, Close_proc, Close_norm, 0.5125, 0.0319, 0.4713, 0.0133, 0.012, 0.007, 0.23, --++-, 0.328, 0.812, 11.668
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, co-integration, time_join, 0, 5, 1, LSTM, Close_proc, Close_norm, 0.4999, 0.0415, 0.4389, 0.0758, 0.008, 0.003, 0.078, +X-++, 0.451, -2.154, -30.609
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], SAX, co-integration, time_join, 0, 5, 1, LSTM, Close_proc, Close_norm, 0.4748, 0.0431, 0.3582, 0.0878, 0.008, 0.003, 0.061, X+XXX, 0.16, -1.788, -27.636
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, co-integration, time_join, 0, 10, 1, LSTM, Close_proc, Close_norm, 0.5121, 0.0457, 0.466, 0.0468, 0.011, 0.005, 0.246, +-++-, 0.14, 0.131, -3.148
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, co-integration, time_join, 0, 10, 1, LSTM, Close_proc, Close_norm, 0.4986, 0.0495, 0.4054, 0.0781, 0.009, 0.004, 0.046, +-X+-, 0.303, -1.747, -32.016
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], SAX, co-integration, time_join, 0, 10, 1, LSTM, Close_proc, Close_norm, 0.4905, 0.0563, 0.3281, 0.0255, 0.009, 0.003, 0.013, XXXXX, -0.448, -2.882, -52.09
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, co-integration, time_join, 0, 15, 1, LSTM, Close_proc, Close_norm, 0.5115, 0.0347, 0.4855, 0.0427, 0.01, 0.004, 0.306, --++-, -0.131, 0.223, 5.237
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, co-integration, time_join, 0, 15, 1, LSTM, Close_proc, Close_norm, 0.4971, 0.0557, 0.4338, 0.0624, 0.008, 0.003, 0.046, +X+--, 0.875, 2.542, 33.705
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], SAX, co-integration, time_join, 0, 15, 1, LSTM, Close_proc, Close_norm, 0.4768, 0.0431, 0.3398, 0.0506, 0.009, 0.003, 0.061, XXX+X, -0.117, -1.763, -18.61
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, co-integration, time_join, 0, 5, 1, LSTM, Close_proc, Close_norm, 0.4711, 0.0434, 0.4042, 0.0572, 0.01, 0.004, 0.124, ----+, -0.019, -5.59, -85.368
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], SAX, co-integration, time_join, 0, 5, 1, LSTM, Close_proc, Close_norm, 0.4863, 0.0384, 0.3787, 0.0428, 0.008, 0.003, 0.092, +-+-X, -0.006, 0.899, 18.914
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, co-integration, time_join, 0, 10, 1, LSTM, Close_proc, Close_norm, 0.5052, 0.0494, 0.4532, 0.0837, 0.009, 0.004, 0.146, X++-+, 0.526, 1.766, 25.145
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], SAX, co-integration, time_join, 0, 10, 1, LSTM, Close_proc, Close_norm, 0.4922, 0.0552, 0.4228, 0.0828, 0.008, 0.003, 0.114, -XX+-, -0.344, 0.128, 0.036
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, co-integration, time_join, 0, 15, 1, LSTM, Close_proc, Close_norm, 0.5555, 0.0427, 0.4942, 0.0429, 0.011, 0.008, 0.154, ++-++, 1.141, 3.809, 70.521
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], SAX, co-integration, time_join, 0, 15, 1, LSTM, Close_proc, Close_norm, 0.5529, 0.0381, 0.3884, 0.0457, 0.008, 0.003, 0.034, +XXX+, 0.764, 7.154, 114.467
 
