No. of features, selected_features, sim_func, fix_len_func, k stock, window_len, next_t, model, mean_accuracy, std_accuracy, mean_f1, std_f1, mean_rmse, std_rmse, mean_sharp_ratio, mean_profit, std_profit
1, ['Close_proc'], euclidean, time_join, 10, 0, 1, RandomForestRegressor, 0.5028, 0.0458, 0.5007, 0.046, 0.014, 0.003, -0.059, 13.893, 50.597
1, ['Close_proc'], euclidean, time_join, 10, 0, 1, RandomForestClassifier, 0.4899, 0.0449, 0.4868, 0.0448, NaN, NaN, 0.123, 7.931, 63.412
1, ['Close_proc'], euclidean, time_join, 10, 0, 1, GradientBoostingRegressor, 0.4933, 0.0376, 0.4836, 0.0424, 0.011, 0.003, 0.268, 9.174, 37.577
1, ['Close_proc'], euclidean, time_join, 10, 0, 1, GradientBoostingClassifier, 0.5117, 0.0428, 0.454, 0.0512, NaN, NaN, 0.242, 6.102, 37.694
1, ['Close_proc'], euclidean, time_join, 10, 0, 3, RandomForestRegressor, 0.5068, 0.0326, 0.5051, 0.0327, 0.014, 0.003, -0.146, 6.591, 58.249
1, ['Close_proc'], euclidean, time_join, 10, 0, 3, RandomForestClassifier, 0.4963, 0.0474, 0.4923, 0.0477, NaN, NaN, 0.276, 8.737, 45.108
1, ['Close_proc'], euclidean, time_join, 10, 0, 3, GradientBoostingRegressor, 0.5078, 0.0455, 0.4979, 0.0476, 0.011, 0.003, -0.017, -4.366, 34.577
1, ['Close_proc'], euclidean, time_join, 10, 0, 3, GradientBoostingClassifier, 0.5208, 0.0428, 0.4459, 0.0553, NaN, NaN, -0.019, 2.451, 30.434
1, ['Close_proc'], euclidean, time_join, 10, 0, 7, RandomForestRegressor, 0.4958, 0.0568, 0.4944, 0.057, 0.014, 0.003, 0.004, 17.95, 57.183
1, ['Close_proc'], euclidean, time_join, 10, 0, 7, RandomForestClassifier, 0.5086, 0.0413, 0.5042, 0.0407, NaN, NaN, 0.358, 10.247, 50.331
1, ['Close_proc'], euclidean, time_join, 10, 0, 7, GradientBoostingRegressor, 0.497, 0.0458, 0.487, 0.0496, 0.011, 0.003, 0.133, 2.004, 58.84
1, ['Close_proc'], euclidean, time_join, 10, 0, 7, GradientBoostingClassifier, 0.518, 0.0414, 0.408, 0.0531, NaN, NaN, 0.096, 8.656, 30.864
1, ['Close_proc'], euclidean, pip, 10, 0, 1, RandomForestRegressor, 0.5039, 0.0478, 0.5018, 0.0483, 0.014, 0.003, -0.357, 2.892, 27.721
1, ['Close_proc'], euclidean, pip, 10, 0, 1, RandomForestClassifier, 0.4951, 0.046, 0.4927, 0.0468, NaN, NaN, 0.122, 14.331, 65.771
1, ['Close_proc'], euclidean, pip, 10, 0, 1, GradientBoostingRegressor, 0.5027, 0.0411, 0.4908, 0.0416, 0.011, 0.003, 0.146, 3.283, 33.87
1, ['Close_proc'], euclidean, pip, 10, 0, 1, GradientBoostingClassifier, 0.5096, 0.0399, 0.4569, 0.0446, NaN, NaN, 0.272, 8.775, 45.758
1, ['Close_proc'], euclidean, pip, 10, 0, 3, RandomForestRegressor, 0.4977, 0.0437, 0.4965, 0.0439, 0.014, 0.003, -0.163, 8.649, 54.039
1, ['Close_proc'], euclidean, pip, 10, 0, 3, RandomForestClassifier, 0.4999, 0.0418, 0.4959, 0.0407, NaN, NaN, 0.225, 8.309, 41.131
1, ['Close_proc'], euclidean, pip, 10, 0, 3, GradientBoostingRegressor, 0.4992, 0.0467, 0.4907, 0.0475, 0.011, 0.003, 0.239, 0.051, 36.904
1, ['Close_proc'], euclidean, pip, 10, 0, 3, GradientBoostingClassifier, 0.5069, 0.04, 0.4282, 0.0487, NaN, NaN, 0.208, 4.367, 29.349
1, ['Close_proc'], euclidean, pip, 10, 0, 7, RandomForestRegressor, 0.5073, 0.0386, 0.5062, 0.0386, 0.014, 0.003, -0.073, 18.061, 58.29
1, ['Close_proc'], euclidean, pip, 10, 0, 7, RandomForestClassifier, 0.5113, 0.0424, 0.5073, 0.0417, NaN, NaN, 0.415, 9.901, 62.715
1, ['Close_proc'], euclidean, pip, 10, 0, 7, GradientBoostingRegressor, 0.5033, 0.0453, 0.4912, 0.0488, 0.011, 0.003, -0.081, 3.618, 31.576
