No. of features, selected_features, sim_func, fix_len_func, k stock, window_len, next_t, model, mean_accuracy, std_accuracy, mean_f1, std_f1, mean_rmse, std_rmse, mean_sharp_ratio, mean_profit, std_profit
7, ['Close_norm'; 'Close_proc'; 'Volume_norm'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'], sax, time_join, 50, 0, 1, GradientBoostingRegressor, 0.5037, 0.0409, 0.4998, 0.0416, 0.011, 0.003, 0.296, 7.476, 36.959
7, ['Close_norm'; 'Close_proc'; 'Volume_norm'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'], sax, time_join, 50, 0, 3, GradientBoostingRegressor, 0.4925, 0.043, 0.4859, 0.0444, 0.012, 0.003, 0.216, 10.864, 44.741
7, ['Close_norm'; 'Close_proc'; 'Volume_norm'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'], sax, time_join, 50, 0, 7, GradientBoostingRegressor, 0.5057, 0.0451, 0.4994, 0.0449, 0.011, 0.003, 0.198, 10.829, 57.076
7, ['Close_norm'; 'Close_proc'; 'Volume_norm'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'], co-integration, time_join, 50, 0, 1, GradientBoostingRegressor, 0.504, 0.0417, 0.4962, 0.0418, 0.011, 0.003, 0.505, 6.452, 36.692
7, ['Close_norm'; 'Close_proc'; 'Volume_norm'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'], co-integration, time_join, 50, 0, 3, GradientBoostingRegressor, 0.493, 0.0377, 0.4869, 0.0368, 0.012, 0.003, 0.36, 11.331, 45.449
7, ['Close_norm'; 'Close_proc'; 'Volume_norm'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'], co-integration, time_join, 50, 0, 7, GradientBoostingRegressor, 0.4986, 0.0448, 0.4923, 0.0462, 0.011, 0.003, 0.272, 8.634, 55.051
7, ['Close_norm'; 'Close_proc'; 'Volume_norm'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'], sax, time_join, 100, 0, 1, GradientBoostingRegressor, 0.506, 0.0395, 0.5014, 0.0398, 0.011, 0.003, 0.62, 15.007, 37.965
7, ['Close_norm'; 'Close_proc'; 'Volume_norm'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'], sax, time_join, 100, 0, 3, GradientBoostingRegressor, 0.4927, 0.0551, 0.4861, 0.0557, 0.012, 0.003, -0.005, 6.623, 53.007
7, ['Close_norm'; 'Close_proc'; 'Volume_norm'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'], sax, time_join, 100, 0, 7, GradientBoostingRegressor, 0.4951, 0.0449, 0.4891, 0.0458, 0.011, 0.003, 0.372, 12.669, 55.504
7, ['Close_norm'; 'Close_proc'; 'Volume_norm'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'], co-integration, time_join, 100, 0, 1, GradientBoostingRegressor, 0.4988, 0.0436, 0.4931, 0.0434, 0.012, 0.003, 0.227, 2.547, 29.47
7, ['Close_norm'; 'Close_proc'; 'Volume_norm'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'], co-integration, time_join, 100, 0, 3, GradientBoostingRegressor, 0.5028, 0.0331, 0.4972, 0.034, 0.011, 0.003, -0.027, 4.539, 48.189
7, ['Close_norm'; 'Close_proc'; 'Volume_norm'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'], co-integration, time_join, 100, 0, 7, GradientBoostingRegressor, 0.4963, 0.0365, 0.4856, 0.0417, 0.011, 0.003, 0.073, 18.414, 67.978
