No. of features, selected_features, sim_func, fix_len_func, k stock, window_len, next_t, model, mean_accuracy, std_accuracy, mean_f1, std_f1, mean_rmse, std_rmse, mean_sharp_ratio, mean_profit, std_profit
7, ['Close_norm'; 'Close_proc'; 'Volume_norm'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'], euclidean, time_join, 10, 0, 1, RandomForestRegressor, 0.5053, 0.0331, 0.5041, 0.0331, 0.012, 0.003, -0.143, 4.331, 32.625
7, ['Close_norm'; 'Close_proc'; 'Volume_norm'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'], euclidean, time_join, 10, 0, 1, RandomForestClassifier, 0.5062, 0.0455, 0.4947, 0.0475, NaN, NaN, 0.063, 10.047, 28.336
7, ['Close_norm'; 'Close_proc'; 'Volume_norm'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'], euclidean, time_join, 10, 0, 1, GradientBoostingRegressor, 0.5065, 0.0338, 0.5002, 0.0352, 0.012, 0.003, 0.013, 0.55, 21.182
7, ['Close_norm'; 'Close_proc'; 'Volume_norm'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'], euclidean, time_join, 10, 0, 1, GradientBoostingClassifier, 0.5177, 0.0401, 0.485, 0.0488, NaN, NaN, 0.097, 19.197, 88.375
7, ['Close_norm'; 'Close_proc'; 'Volume_norm'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'], euclidean, time_join, 10, 0, 3, RandomForestRegressor, 0.4984, 0.0481, 0.4972, 0.0483, 0.012, 0.003, 0.384, 15.725, 40.662
7, ['Close_norm'; 'Close_proc'; 'Volume_norm'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'], euclidean, time_join, 10, 0, 3, RandomForestClassifier, 0.5109, 0.028, 0.4976, 0.0387, NaN, NaN, 0.429, 6.352, 56.375
7, ['Close_norm'; 'Close_proc'; 'Volume_norm'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'], euclidean, time_join, 10, 0, 3, GradientBoostingRegressor, 0.5044, 0.0496, 0.4964, 0.0503, 0.012, 0.003, 0.398, 12.646, 49.064
7, ['Close_norm'; 'Close_proc'; 'Volume_norm'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'], euclidean, time_join, 10, 0, 3, GradientBoostingClassifier, 0.5264, 0.0344, 0.4687, 0.0627, NaN, NaN, 0.226, 8.702, 72.222
7, ['Close_norm'; 'Close_proc'; 'Volume_norm'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'], euclidean, time_join, 10, 0, 7, RandomForestRegressor, 0.4838, 0.0381, 0.4826, 0.0381, 0.012, 0.003, 0.309, -0.428, 54.418
7, ['Close_norm'; 'Close_proc'; 'Volume_norm'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'], euclidean, time_join, 10, 0, 7, RandomForestClassifier, 0.5045, 0.0513, 0.491, 0.0494, NaN, NaN, 0.44, 16.653, 53.034
7, ['Close_norm'; 'Close_proc'; 'Volume_norm'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'], euclidean, time_join, 10, 0, 7, GradientBoostingRegressor, 0.5033, 0.0377, 0.499, 0.0375, 0.011, 0.003, -0.401, 4.355, 48.766
7, ['Close_norm'; 'Close_proc'; 'Volume_norm'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'], euclidean, time_join, 10, 0, 7, GradientBoostingClassifier, 0.5134, 0.0492, 0.4375, 0.0579, NaN, NaN, -0.176, 9.439, 60.492
7, ['Close_norm'; 'Close_proc'; 'Volume_norm'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'], euclidean, pip, 10, 0, 1, RandomForestRegressor, 0.4938, 0.035, 0.4926, 0.0349, 0.012, 0.003, -0.085, -3.741, 27.331
7, ['Close_norm'; 'Close_proc'; 'Volume_norm'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'], euclidean, pip, 10, 0, 1, RandomForestClassifier, 0.5064, 0.0326, 0.4938, 0.0334, NaN, NaN, 0.311, 14.437, 48.533
7, ['Close_norm'; 'Close_proc'; 'Volume_norm'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'], euclidean, pip, 10, 0, 1, GradientBoostingRegressor, 0.5182, 0.0429, 0.5112, 0.0452, 0.012, 0.003, 0.284, 5.086, 18.568
7, ['Close_norm'; 'Close_proc'; 'Volume_norm'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'], euclidean, pip, 10, 0, 1, GradientBoostingClassifier, 0.518, 0.0379, 0.4829, 0.0485, NaN, NaN, 0.283, 15.59, 66.826
7, ['Close_norm'; 'Close_proc'; 'Volume_norm'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'], euclidean, pip, 10, 0, 3, RandomForestRegressor, 0.4915, 0.0429, 0.4903, 0.0434, 0.012, 0.003, 0.285, 16.166, 44.693
7, ['Close_norm'; 'Close_proc'; 'Volume_norm'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'], euclidean, pip, 10, 0, 3, RandomForestClassifier, 0.5029, 0.0335, 0.4907, 0.0412, NaN, NaN, 0.471, 0.127, 30.448
7, ['Close_norm'; 'Close_proc'; 'Volume_norm'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'], euclidean, pip, 10, 0, 3, GradientBoostingRegressor, 0.4946, 0.0458, 0.4854, 0.0457, 0.012, 0.003, 0.387, 8.29, 48.741
7, ['Close_norm'; 'Close_proc'; 'Volume_norm'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'], euclidean, pip, 10, 0, 3, GradientBoostingClassifier, 0.516, 0.0349, 0.461, 0.0558, NaN, NaN, 0.154, 9.592, 68.306
7, ['Close_norm'; 'Close_proc'; 'Volume_norm'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'], euclidean, pip, 10, 0, 7, RandomForestRegressor, 0.493, 0.0318, 0.4919, 0.0319, 0.012, 0.003, 0.013, -6.623, 43.806
7, ['Close_norm'; 'Close_proc'; 'Volume_norm'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'], euclidean, pip, 10, 0, 7, RandomForestClassifier, 0.5123, 0.0469, 0.4993, 0.0429, NaN, NaN, 0.438, 15.212, 52.909
7, ['Close_norm'; 'Close_proc'; 'Volume_norm'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'], euclidean, pip, 10, 0, 7, GradientBoostingRegressor, 0.5041, 0.0509, 0.4954, 0.053, 0.012, 0.003, -0.238, 9.888, 49.069
7, ['Close_norm'; 'Close_proc'; 'Volume_norm'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'], euclidean, pip, 10, 0, 7, GradientBoostingClassifier, 0.5184, 0.0345, 0.4517, 0.0621, NaN, NaN, -0.123, 5.525, 61.382
