No. of features, selected_features, transformer, sim_func, fix_len_func, k stock, window_len, next_t, model, target_col, sim_col, mean_accuracy, std_accuracy, mean_f1, std_f1, mean_rmse, std_rmse, folds_result, mean_orders_count_per_hours, mean_sharpe_ratio, mean_profit_%, mean_profit, mean_L_orders_count_per_hours, mean_L_sharpe_ratio, mean_L_profit_%, mean_L_profit
1, ['Close_norm'], None, euclidean, time_join, 10, 5, 1, LSTM, Close_norm, Close_norm, 0.5186, 0.0766, 0.5068, 0.0811, 0.315, 0.183, +--++, 0.269, 0.855, 0.445, 6.302, 0.012, 1.649, 4.192, 68.681
 1, ['Close_norm'], SAX, euclidean, time_join, 10, 5, 1, LSTM, Close_norm, Close_norm, 0.4961, 0.0438, 0.4631, 0.0559, 0.579, 0.273, +---+, 0.192, 0.479, -2.04, -32.209, 0.012, 1.127, 2.949, 49.426
 1, ['Close_norm'], None, euclidean, time_join, 10, 10, 1, LSTM, Close_norm, Close_norm, 0.5211, 0.0463, 0.4944, 0.0641, 0.352, 0.226, --+-+, 0.25, 0.715, 0.764, 13.735, 0.013, 0.919, 4.041, 68.302
 1, ['Close_norm'], SAX, euclidean, time_join, 10, 10, 1, LSTM, Close_norm, Close_norm, 0.5079, 0.0358, 0.4701, 0.0747, 0.645, 0.281, -+--+, 0.186, 1.1, -1.286, -20.587, 0.013, 1.346, 3.016, 51.141
 1, ['Close_norm'], None, euclidean, time_join, 10, 15, 1, LSTM, Close_norm, Close_norm, 0.4843, 0.0308, 0.4387, 0.034, 0.411, 0.239, +--+-, 0.177, 0.158, -3.357, -54.119, 0.014, 0.679, 2.124, 37.438
 1, ['Close_norm'], SAX, euclidean, time_join, 10, 15, 1, LSTM, Close_norm, Close_norm, 0.5099, 0.031, 0.4784, 0.0509, 0.684, 0.331, +---+, 0.245, 0.868, -1.725, -27.219, 0.014, 1.605, 2.94, 50.888
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, euclidean, time_join, 10, 5, 1, LSTM, Close_norm, Close_norm, 0.5174, 0.0579, 0.4819, 0.0981, 0.505, 0.209, D--++, 0.22, 0.813, -0.243, 3.749, 0.013, 1.181, 3.312, 59.197
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, euclidean, time_join, 10, 5, 1, LSTM, Close_norm, Close_norm, 0.5101, 0.0509, 0.4725, 0.0891, 0.634, 0.106, D-++-, 0.154, 0.77, 2.904, 49.126, 0.013, 0.875, 4.885, 81.886
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], SAX, euclidean, time_join, 10, 5, 1, LSTM, Close_norm, Close_norm, 0.5378, 0.0112, 0.529, 0.0146, 0.513, 0.232, +++-+, 0.243, 1.493, 2.141, 32.154, 0.013, 1.319, 4.503, 73.4
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, euclidean, time_join, 10, 10, 1, LSTM, Close_norm, Close_norm, 0.4853, 0.0559, 0.4456, 0.0839, 0.619, 0.277, D-+--, 0.232, 0.114, -1.751, -28.843, 0.013, 1.115, 2.854, 48.0
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, euclidean, time_join, 10, 10, 1, LSTM, Close_norm, Close_norm, 0.4933, 0.0336, 0.4518, 0.0609, 0.948, 0.234, ---+-, 0.092, 0.767, -2.374, -41.746, 0.013, 1.328, 2.542, 41.548
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], SAX, euclidean, time_join, 10, 10, 1, LSTM, Close_norm, Close_norm, 0.4799, 0.0361, 0.4625, 0.0308, 0.567, 0.261, +----, 0.205, 0.212, -3.581, -64.156, 0.013, 0.735, 1.939, 30.343
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, euclidean, time_join, 10, 15, 1, LSTM, Close_norm, Close_norm, 0.4596, 0.0287, 0.4227, 0.0345, 0.617, 0.291, +----, 0.211, -0.238, -5.255, -89.941, 0.014, 0.32, 1.03, 17.312
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, euclidean, time_join, 10, 15, 1, LSTM, Close_norm, Close_norm, 0.4826, 0.0329, 0.444, 0.0601, 0.908, 0.339, ---+-, 0.098, 0.463, -2.602, -40.331, 0.014, 1.023, 2.356, 42.117
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], SAX, euclidean, time_join, 10, 15, 1, LSTM, Close_norm, Close_norm, 0.5029, 0.0309, 0.4753, 0.0232, 0.602, 0.242, +-+--, 0.197, 0.414, -0.624, -12.452, 0.014, 1.067, 3.345, 56.056
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, euclidean, time_join, 10, 5, 1, LSTM, Close_norm, Close_norm, 0.5063, 0.0311, 0.4889, 0.0252, 0.397, 0.208, ++++-, 0.214, 1.307, 1.868, 23.174, 0.012, 1.388, 4.903, 77.117
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], SAX, euclidean, time_join, 10, 5, 1, LSTM, Close_norm, Close_norm, 0.5013, 0.01, 0.4719, 0.0512, 0.579, 0.257, +----, 0.18, 1.038, -1.273, -21.796, 0.012, 1.392, 3.333, 54.632
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, euclidean, time_join, 10, 10, 1, LSTM, Close_norm, Close_norm, 0.4972, 0.0415, 0.4831, 0.0343, 0.483, 0.255, ++---, 0.244, 0.471, -1.713, -34.025, 0.013, 0.985, 2.802, 44.422
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], SAX, euclidean, time_join, 10, 10, 1, LSTM, Close_norm, Close_norm, 0.5133, 0.0146, 0.4886, 0.0526, 0.643, 0.295, ++---, 0.16, 0.824, -0.466, -9.584, 0.013, 0.759, 3.426, 56.642
