No. of features, selected_features, transformer, sim_func, fix_len_func, k stock, window_len, next_t, model, target_col, sim_col, mean_accuracy, std_accuracy, mean_f1, std_f1, mean_rmse, std_rmse, folds_result, mean_orders_count_per_hours, mean_sharpe_ratio, mean_profit_%, mean_profit, mean_L_orders_count_per_hours, mean_L_sharpe_ratio, mean_L_profit_%, mean_L_profit
1, ['Close_norm'], None, euclidean, padding, 10, 5, 1, XGBRegressor, Close_norm, Close_norm, 0.536, 0.056, 0.5301, 0.0544, 0.437, 0.222, +-+++, 0.389, 0.569, 6.332, 105.3, 0.012, 0.922, 7.135, 118.18
 1, ['Close_norm'], SAX, euclidean, padding, 10, 5, 1, XGBRegressor, Close_norm, Close_norm, 0.511, 0.0468, 0.4914, 0.0548, 0.51, 0.223, +-+++, 0.257, 0.412, 2.546, 43.764, 0.012, 0.889, 5.242, 87.412
 1, ['Close_norm'], None, euclidean, padding, 10, 10, 1, XGBRegressor, Close_norm, Close_norm, 0.5477, 0.0563, 0.5427, 0.057, 0.441, 0.232, +++++, 0.346, 1.209, 6.957, 113.409, 0.013, 1.12, 7.137, 118.139
 1, ['Close_norm'], SAX, euclidean, padding, 10, 10, 1, XGBRegressor, Close_norm, Close_norm, 0.5317, 0.0503, 0.5174, 0.0581, 0.53, 0.248, +-+-+, 0.274, 0.94, 1.846, 29.899, 0.013, 1.183, 4.582, 76.384
 1, ['Close_norm'], None, euclidean, padding, 10, 15, 1, XGBRegressor, Close_norm, Close_norm, 0.51, 0.0398, 0.4897, 0.026, 0.485, 0.237, +-+--, 0.265, 0.6, 0.63, 2.417, 0.014, 1.045, 4.118, 65.706
 1, ['Close_norm'], SAX, euclidean, padding, 10, 15, 1, XGBRegressor, Close_norm, Close_norm, 0.5072, 0.0361, 0.4868, 0.0396, 0.541, 0.232, +-+--, 0.245, 0.408, 3.388, 50.478, 0.014, 1.214, 5.497, 89.736
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, euclidean, padding, 10, 5, 1, XGBRegressor, Close_norm, Close_norm, 0.5302, 0.0585, 0.5147, 0.0635, 0.452, 0.205, +-+++, 0.268, 1.109, 3.923, 67.023, 0.013, 1.231, 5.395, 90.834
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, euclidean, padding, 10, 5, 1, XGBRegressor, Close_norm, Close_norm, 0.5075, 0.0633, 0.4535, 0.1099, 0.847, 0.248, ---++, 0.134, 0.835, 1.206, 28.177, 0.013, 0.45, 4.036, 71.412
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], SAX, euclidean, padding, 10, 5, 1, XGBRegressor, Close_norm, Close_norm, 0.5074, 0.0464, 0.4929, 0.049, 0.52, 0.215, +-+++, 0.278, 1.189, 6.384, 107.019, 0.013, 1.175, 6.625, 110.832
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, euclidean, padding, 10, 10, 1, XGBRegressor, Close_norm, Close_norm, 0.4877, 0.0557, 0.4599, 0.071, 0.477, 0.227, -----, 0.277, 0.785, -5.589, -91.757, 0.013, 0.864, 0.935, 16.542
