No. of features, selected_features, transformer, sim_func, fix_len_func, k stock, window_len, next_t, model, target_col, sim_col, mean_accuracy, std_accuracy, mean_f1, std_f1, mean_rmse, std_rmse, folds_result, mean_orders_count_per_hours, mean_sharpe_ratio, mean_profit_%, mean_profit, mean_L_orders_count_per_hours, mean_L_sharpe_ratio, mean_L_profit_%, mean_L_profit
1, ['Close_norm'], None, euclidean, padding, 10, 5, 1, XGBClassifier, Close_norm, Close_norm, 0.5136, 0.03, 0.4946, 0.0411, NaN, NaN, +-+++, 0.219, 0.359, 0.308, 8.697, 0.012, 0.634, 4.123, 69.879
 1, ['Close_norm'], SAX, euclidean, padding, 10, 5, 1, XGBClassifier, Close_norm, Close_norm, 0.5062, 0.0642, 0.4591, 0.0789, NaN, NaN, +--+-, 0.195, 0.727, -0.508, -6.762, 0.012, 1.125, 3.715, 62.149
 1, ['Close_norm'], None, euclidean, padding, 10, 10, 1, XGBClassifier, Close_norm, Close_norm, 0.5532, 0.026, 0.5305, 0.0067, NaN, NaN, +-+++, 0.242, 1.499, 2.893, 46.372, 0.013, 1.338, 5.105, 84.621
 1, ['Close_norm'], SAX, euclidean, padding, 10, 10, 1, XGBClassifier, Close_norm, Close_norm, 0.5159, 0.0175, 0.4835, 0.0469, NaN, NaN, +-++-, 0.231, 1.023, 2.464, 39.264, 0.013, 1.043, 4.891, 81.066
 1, ['Close_norm'], None, euclidean, padding, 10, 15, 1, XGBClassifier, Close_norm, Close_norm, 0.5014, 0.0483, 0.4846, 0.0425, NaN, NaN, +--++, 0.254, 0.621, -2.926, -41.487, 0.014, 0.63, 2.34, 43.754
 1, ['Close_norm'], SAX, euclidean, padding, 10, 15, 1, XGBClassifier, Close_norm, Close_norm, 0.4643, 0.0378, 0.4279, 0.0354, NaN, NaN, -----, 0.177, 0.043, -4.681, -75.161, 0.014, 1.035, 1.462, 26.917
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, euclidean, padding, 10, 5, 1, XGBClassifier, Close_norm, Close_norm, 0.5532, 0.0503, 0.5427, 0.0506, NaN, NaN, ++-++, 0.328, 1.061, 4.521, 73.612, 0.013, 0.934, 5.693, 94.129
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, euclidean, padding, 10, 5, 1, XGBClassifier, Close_norm, Close_norm, 0.4926, 0.0611, 0.4741, 0.0708, NaN, NaN, ++-+-, 0.167, 0.261, -3.248, -62.108, 0.013, 0.039, 1.809, 26.269
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], SAX, euclidean, padding, 10, 5, 1, XGBClassifier, Close_norm, Close_norm, 0.5128, 0.053, 0.5058, 0.0539, NaN, NaN, +--+-, 0.275, 0.452, 0.338, 1.358, 0.013, 0.34, 3.602, 58.002
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, euclidean, padding, 10, 10, 1, XGBClassifier, Close_norm, Close_norm, 0.5095, 0.0644, 0.5048, 0.0631, NaN, NaN, +-+-+, 0.442, 0.175, 3.06, 48.302, 0.013, 0.997, 5.26, 86.572
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, euclidean, padding, 10, 10, 1, XGBClassifier, Close_norm, Close_norm, 0.4797, 0.0377, 0.4401, 0.0428, NaN, NaN, -++++, 0.178, 0.511, 3.148, 52.642, 0.013, 0.594, 5.304, 88.742
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], SAX, euclidean, padding, 10, 10, 1, XGBClassifier, Close_norm, Close_norm, 0.5445, 0.0336, 0.5356, 0.0327, NaN, NaN, +-+++, 0.334, 0.717, 5.164, 87.562, 0.013, 1.062, 6.312, 106.202
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, euclidean, padding, 10, 15, 1, XGBClassifier, Close_norm, Close_norm, 0.5029, 0.0156, 0.4961, 0.0171, NaN, NaN, --+--, 0.422, -0.983, -0.474, -9.182, 0.014, -0.146, 3.42, 57.691
