No. of features, selected_features, transformer, sim_func, fix_len_func, k stock, window_len, next_t, model, target_col, sim_col, mean_accuracy, std_accuracy, mean_f1, std_f1, mean_rmse, std_rmse, folds_result, mean_orders_count_per_hours, mean_sharpe_ratio, mean_profit_%, mean_profit, mean_L_orders_count_per_hours, mean_L_sharpe_ratio, mean_L_profit_%, mean_L_profit
1, ['Close_norm'], None, co-integration, time_join, 0, 5, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5136, 0.0439, 0.5002, 0.0367, 0.442, 0.201, +-+-+, 0.299, 0.997, 5.808, 94.404, 0.012, 1.205, 6.873, 112.732
 1, ['Close_norm'], SAX, co-integration, time_join, 0, 5, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5334, 0.0724, 0.5165, 0.0816, 0.513, 0.227, +++-+, 0.277, 1.046, 4.654, 78.622, 0.012, 1.199, 6.296, 104.841
 1, ['Close_norm'], None, co-integration, time_join, 0, 5, 1, GradientBoostingRegressor, Close_norm, Close_norm, 0.4911, 0.0389, 0.4285, 0.0782, 0.534, 0.214, D----, 0.112, 0.99, -1.392, -23.087, 0.012, 1.309, 3.273, 53.987
 1, ['Close_norm'], SAX, co-integration, time_join, 0, 5, 1, GradientBoostingRegressor, Close_norm, Close_norm, 0.5111, 0.0428, 0.4638, 0.0768, 0.593, 0.222, +--++, 0.187, 0.986, -0.117, -0.746, 0.012, 1.259, 3.91, 65.157
 1, ['Close_norm'], None, co-integration, time_join, 0, 5, 1, XGBRegressor, Close_norm, Close_norm, 0.4962, 0.0512, 0.4808, 0.0351, 0.5, 0.22, +-+-+, 0.319, -0.239, 1.503, 22.093, 0.012, 0.554, 4.721, 76.577
 1, ['Close_norm'], SAX, co-integration, time_join, 0, 5, 1, XGBRegressor, Close_norm, Close_norm, 0.5309, 0.0758, 0.5114, 0.0891, 0.519, 0.234, +-+++, 0.272, 1.063, 4.837, 83.314, 0.012, 1.266, 6.388, 107.187
 1, ['Close_norm'], None, co-integration, time_join, 0, 5, 1, LSTM, Close_norm, Close_norm, 0.5211, 0.0502, 0.4846, 0.0691, 0.377, 0.184, +--++, 0.18, 1.011, 1.514, 23.862, 0.012, 1.886, 4.726, 77.461
 1, ['Close_norm'], SAX, co-integration, time_join, 0, 5, 1, LSTM, Close_norm, Close_norm, 0.5013, 0.0317, 0.4595, 0.0559, 0.651, 0.313, +-++-, 0.199, 0.646, 1.17, 14.298, 0.012, 1.331, 4.554, 72.679
 1, ['Close_norm'], None, co-integration, time_join, 0, 5, 1, XGBClassifier, Close_norm, Close_norm, 0.4911, 0.04, 0.48, 0.0382, NaN, NaN, +++-+, 0.262, 0.846, 1.912, 33.022, 0.012, 1.064, 4.925, 82.041
 1, ['Close_norm'], SAX, co-integration, time_join, 0, 5, 1, XGBClassifier, Close_norm, Close_norm, 0.4637, 0.0411, 0.4088, 0.0513, NaN, NaN, --+--, 0.157, 0.764, -1.858, -31.121, 0.012, 1.027, 3.04, 49.97
 1, ['Close_norm'], None, co-integration, time_join, 0, 5, 1, GradientBoostingClassifier, Close_norm, Close_norm, 0.4862, 0.0518, 0.4776, 0.0579, NaN, NaN, +---+, 0.244, 0.44, -3.746, -54.205, 0.012, 0.592, 2.096, 38.428
 1, ['Close_norm'], SAX, co-integration, time_join, 0, 5, 1, GradientBoostingClassifier, Close_norm, Close_norm, 0.4638, 0.0404, 0.4067, 0.0439, NaN, NaN, -----, 0.167, -0.138, -2.733, -41.731, 0.012, 0.727, 2.603, 44.664
 1, ['Close_norm'], None, co-integration, time_join, 0, 5, 1, RandomForestClassifier, Close_norm, Close_norm, 0.4837, 0.0566, 0.4723, 0.0536, NaN, NaN, +-+-+, 0.262, 0.328, 1.433, 20.999, 0.012, 0.78, 4.686, 76.03
 1, ['Close_norm'], SAX, co-integration, time_join, 0, 5, 1, RandomForestClassifier, Close_norm, Close_norm, 0.4987, 0.0525, 0.4618, 0.0681, NaN, NaN, +-++-, 0.237, 0.717, 1.81, 25.363, 0.012, 1.094, 4.874, 78.212
 1, ['Close_norm'], None, co-integration, time_join, 0, 10, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5159, 0.0487, 0.5003, 0.0563, 0.459, 0.181, +++++, 0.269, 1.374, 4.626, 73.258, 0.013, 1.248, 5.972, 98.063
 1, ['Close_norm'], SAX, co-integration, time_join, 0, 10, 1, RandomForestRegressor, Close_norm, Close_norm, 0.492, 0.0148, 0.4746, 0.0162, 0.537, 0.235, +-+--, 0.192, 0.504, 3.073, 47.23, 0.013, 0.819, 5.195, 85.05
 1, ['Close_norm'], None, co-integration, time_join, 0, 10, 1, GradientBoostingRegressor, Close_norm, Close_norm, 0.4919, 0.0279, 0.4302, 0.0727, 0.549, 0.218, D-++-, 0.098, 1.084, 0.681, 11.402, 0.013, 1.324, 3.999, 67.135
 1, ['Close_norm'], SAX, co-integration, time_join, 0, 10, 1, GradientBoostingRegressor, Close_norm, Close_norm, 0.5052, 0.0367, 0.4578, 0.0799, 0.609, 0.228, +--++, 0.167, 1.053, -0.468, -6.013, 0.013, 1.388, 3.425, 58.428
 1, ['Close_norm'], None, co-integration, time_join, 0, 10, 1, XGBRegressor, Close_norm, Close_norm, 0.5531, 0.0319, 0.537, 0.0429, 0.498, 0.2, +++++, 0.293, 1.258, 6.94, 111.13, 0.013, 1.147, 7.129, 116.999
 1, ['Close_norm'], SAX, co-integration, time_join, 0, 10, 1, XGBRegressor, Close_norm, Close_norm, 0.5053, 0.017, 0.4895, 0.0355, 0.532, 0.231, --+--, 0.197, 1.075, 3.84, 60.839, 0.013, 1.112, 5.579, 91.854
 1, ['Close_norm'], None, co-integration, time_join, 0, 10, 1, LSTM, Close_norm, Close_norm, 0.5081, 0.0481, 0.4597, 0.0739, 0.418, 0.203, +-+--, 0.184, 0.701, 0.061, -3.311, 0.013, 1.981, 3.689, 59.779
 1, ['Close_norm'], SAX, co-integration, time_join, 0, 10, 1, LSTM, Close_norm, Close_norm, 0.4948, 0.0458, 0.4538, 0.0617, 0.707, 0.329, +----, 0.175, 0.474, -2.082, -37.482, 0.013, 1.555, 2.618, 42.694
