No. of features, selected_features, transformer, sim_func, fix_len_func, k stock, window_len, next_t, model, target_col, sim_col, mean_accuracy, std_accuracy, mean_f1, std_f1, mean_rmse, std_rmse, folds_result, mean_orders_count_per_hours, mean_sharpe_ratio, mean_profit_%, mean_profit, mean_L_orders_count_per_hours, mean_L_sharpe_ratio, mean_L_profit_%, mean_L_profit
1, ['Close_norm'], None, euclidean, padding, 10, 5, 1, GradientBoostingRegressor, Close_norm, Close_norm, 0.5163, 0.0585, 0.4348, 0.1213, 0.754, 0.565, D+---, 0.121, 0.066, -0.86, -7.644, 0.018, 0.64, 3.111, 16.94
 1, ['Close_norm'], SAX, euclidean, padding, 10, 5, 1, GradientBoostingRegressor, Close_norm, Close_norm, 0.4912, 0.0347, 0.4135, 0.0869, 1.002, 0.64, D---D, 0.157, -0.169, -5.587, -29.984, 0.018, 0.376, 0.748, 5.77
 1, ['Close_norm'], None, euclidean, padding, 10, 10, 1, GradientBoostingRegressor, Close_norm, Close_norm, 0.4922, 0.028, 0.4017, 0.0703, 0.794, 0.606, D+--D, 0.129, 0.045, -3.547, -18.336, 0.02, 0.504, 0.963, 4.88
 1, ['Close_norm'], SAX, euclidean, padding, 10, 10, 1, GradientBoostingRegressor, Close_norm, Close_norm, 0.4961, 0.0192, 0.414, 0.078, 1.019, 0.671, D--+D, 0.157, 0.065, -1.982, -3.864, 0.02, 0.484, 1.745, 12.116
 1, ['Close_norm'], None, euclidean, padding, 10, 15, 1, GradientBoostingRegressor, Close_norm, Close_norm, 0.5064, 0.0453, 0.4126, 0.0798, 0.795, 0.668, D+--D, 0.161, -0.068, -2.118, -7.284, 0.022, 0.894, 1.735, 9.798
 1, ['Close_norm'], SAX, euclidean, padding, 10, 15, 1, GradientBoostingRegressor, Close_norm, Close_norm, 0.5107, 0.0388, 0.4206, 0.0839, 1.041, 0.69, D--+D, 0.143, -0.262, -3.661, -11.36, 0.022, 0.011, 0.964, 7.76
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, euclidean, padding, 10, 5, 1, GradientBoostingRegressor, Close_norm, Close_norm, 0.4965, 0.045, 0.4073, 0.0874, 0.815, 0.604, D+--D, 0.124, -0.14, -2.971, -17.424, 0.018, 0.674, 1.88, 10.574
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, euclidean, padding, 10, 5, 1, GradientBoostingRegressor, Close_norm, Close_norm, 0.4929, 0.0164, 0.4056, 0.0768, 1.443, 0.859, D---D, 0.116, -0.556, -4.719, -25.804, 0.018, 0.257, 1.005, 6.384
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], SAX, euclidean, padding, 10, 5, 1, GradientBoostingRegressor, Close_norm, Close_norm, 0.4965, 0.0289, 0.4154, 0.0808, 1.163, 0.772, D---D, 0.124, -0.566, -5.734, -33.008, 0.018, 0.05, 0.498, 2.782
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, euclidean, padding, 10, 10, 1, GradientBoostingRegressor, Close_norm, Close_norm, 0.526, 0.0307, 0.4366, 0.103, 0.851, 0.659, D+--D, 0.148, 0.217, -1.405, -5.412, 0.02, 0.582, 1.902, 10.418
