No. of features, selected_features, transformer, sim_func, fix_len_func, k stock, window_len, next_t, model, target_col, sim_col, mean_accuracy, std_accuracy, mean_f1, std_f1, mean_rmse, std_rmse, folds_result, mean_orders_count_per_hours, mean_sharpe_ratio, mean_profit_%, mean_profit, mean_L_orders_count_per_hours, mean_L_sharpe_ratio, mean_L_profit_%, mean_L_profit
1, ['Close_norm'], None, euclidean, padding, 10, 5, 1, RandomForestClassifier, Close_norm, Close_norm, 0.4949, 0.0538, 0.4477, 0.0759, NaN, NaN, D-+-+, 0.196, -0.26, 3.014, 18.724, 0.018, 0.253, 5.049, 30.124
 1, ['Close_norm'], SAX, euclidean, padding, 10, 5, 1, RandomForestClassifier, Close_norm, Close_norm, 0.5338, 0.0384, 0.4521, 0.0926, NaN, NaN, D-++U, 0.257, -0.003, 5.478, 29.012, 0.018, 0.316, 6.281, 35.268
 1, ['Close_norm'], None, euclidean, padding, 10, 10, 1, RandomForestClassifier, Close_norm, Close_norm, 0.4843, 0.0593, 0.4099, 0.0948, NaN, NaN, D---U, 0.18, -0.601, -8.299, -53.16, 0.02, -0.011, -1.414, -12.532
 1, ['Close_norm'], SAX, euclidean, padding, 10, 10, 1, RandomForestClassifier, Close_norm, Close_norm, 0.4961, 0.0314, 0.4123, 0.0854, NaN, NaN, D--+U, 0.243, -0.465, -6.247, -38.5, 0.02, 0.104, -0.387, -5.202
 1, ['Close_norm'], None, euclidean, padding, 10, 15, 1, RandomForestClassifier, Close_norm, Close_norm, 0.5019, 0.0412, 0.4193, 0.0523, NaN, NaN, ++--+, 0.187, 0.591, -3.455, -14.064, 0.022, 0.477, 1.067, 6.408
 1, ['Close_norm'], SAX, euclidean, padding, 10, 15, 1, RandomForestClassifier, Close_norm, Close_norm, 0.4675, 0.0401, 0.3946, 0.0692, NaN, NaN, D+--U, 0.187, -0.93, -4.96, -34.932, 0.022, -0.061, 0.314, -4.026
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, euclidean, padding, 10, 5, 1, RandomForestClassifier, Close_norm, Close_norm, 0.5292, 0.0482, 0.4709, 0.0651, NaN, NaN, ++-++, 0.261, 0.527, 1.49, 12.396, 0.018, 0.644, 4.11, 25.484
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, euclidean, padding, 10, 5, 1, RandomForestClassifier, Close_norm, Close_norm, 0.5146, 0.0404, 0.456, 0.0624, NaN, NaN, ++---, 0.196, 0.389, -4.775, -38.676, 0.018, 0.647, 0.977, -0.052
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], SAX, euclidean, padding, 10, 5, 1, RandomForestClassifier, Close_norm, Close_norm, 0.5106, 0.0721, 0.4677, 0.0748, NaN, NaN, ++--+, 0.214, 0.475, -4.276, -24.948, 0.018, 0.676, 1.227, 6.812
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, euclidean, padding, 10, 10, 1, RandomForestClassifier, Close_norm, Close_norm, 0.526, 0.0216, 0.5048, 0.0357, NaN, NaN, ++--+, 0.351, 0.5, -0.671, 0.376, 0.02, 0.742, 2.269, 13.312
