No. of features, selected_features, transformer, sim_func, fix_len_func, k stock, window_len, next_t, model, target_col, sim_col, mean_accuracy, std_accuracy, mean_f1, std_f1, mean_rmse, std_rmse, folds_result, mean_orders_count_per_hours, mean_sharpe_ratio, mean_profit_%, mean_profit, mean_L_orders_count_per_hours, mean_L_sharpe_ratio, mean_L_profit_%, mean_L_profit
1, ['Close_norm'], None, euclidean, padding, 10, 5, 1, RandomForestRegressor, Close_norm, Close_norm, 0.4912, 0.0471, 0.4832, 0.0527, 0.571, 0.516, +---+, 0.289, -0.252, -2.494, -9.928, 0.018, 0.322, 2.295, 15.798
 1, ['Close_norm'], None, euclidean, padding, 10, 5, 1, RandomForestRegressor, Close_norm, Close_norm, 0.4912, 0.0471, 0.4832, 0.0527, 0.571, 0.516, +---+, 0.289, -0.252, -2.494, -9.928, 0.018, 0.322, 2.295, 15.798
 1, ['Close_norm'], SAX, euclidean, padding, 10, 5, 1, RandomForestRegressor, Close_norm, Close_norm, 0.509, 0.0357, 0.4484, 0.0843, 0.865, 0.574, D---+, 0.26, -0.64, -5.111, -28.24, 0.018, 0.065, 0.986, 6.642
 1, ['Close_norm'], None, euclidean, padding, 10, 10, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5077, 0.0582, 0.4837, 0.0593, 0.617, 0.574, ++--+, 0.254, 0.207, -3.523, -16.544, 0.02, 0.804, 0.975, 5.776
 1, ['Close_norm'], SAX, euclidean, padding, 10, 10, 1, RandomForestRegressor, Close_norm, Close_norm, 0.496, 0.0301, 0.4345, 0.0689, 0.887, 0.605, D--++, 0.184, -0.455, -5.818, -24.216, 0.02, -0.167, -0.173, 1.94
 1, ['Close_norm'], None, euclidean, padding, 10, 15, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5323, 0.062, 0.5087, 0.0628, 0.625, 0.634, +---+, 0.26, 0.28, 1.077, 10.044, 0.022, 0.914, 3.333, 18.462
 1, ['Close_norm'], SAX, euclidean, padding, 10, 15, 1, RandomForestRegressor, Close_norm, Close_norm, 0.528, 0.0269, 0.4533, 0.0801, 0.915, 0.656, D--++, 0.191, -0.087, -3.738, -10.828, 0.022, 0.481, 0.925, 8.026
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, euclidean, padding, 10, 5, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5219, 0.0404, 0.477, 0.0668, 0.683, 0.552, +---+, 0.203, 0.538, -3.726, -21.488, 0.018, 1.139, 1.502, 8.542
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, euclidean, padding, 10, 5, 1, RandomForestRegressor, Close_norm, Close_norm, 0.4783, 0.0379, 0.4099, 0.0755, 1.324, 0.786, D+--D, 0.124, -0.303, -4.493, -26.064, 0.018, -0.051, 1.118, 6.254
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], SAX, euclidean, padding, 10, 5, 1, RandomForestRegressor, Close_norm, Close_norm, 0.511, 0.0315, 0.4398, 0.0962, 1.037, 0.649, D+--D, 0.174, 0.007, -0.694, -2.124, 0.018, 0.517, 3.018, 18.224
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, euclidean, padding, 10, 10, 1, RandomForestRegressor, Close_norm, Close_norm, 0.546, 0.0355, 0.5072, 0.0918, 0.728, 0.604, ++--+, 0.26, 0.62, 2.013, 11.62, 0.02, 0.572, 3.611, 18.934
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, euclidean, padding, 10, 10, 1, RandomForestRegressor, Close_norm, Close_norm, 0.526, 0.052, 0.4431, 0.0965, 1.375, 0.883, D+--D, 0.104, 0.262, -0.396, 0.2, 0.02, 0.445, 2.406, 13.224
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], SAX, euclidean, padding, 10, 10, 1, RandomForestRegressor, Close_norm, Close_norm, 0.514, 0.0408, 0.4476, 0.1019, 1.074, 0.702, D+--D, 0.16, -0.054, -4.111, -19.936, 0.02, 0.077, 0.549, 3.156
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, euclidean, padding, 10, 15, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5531, 0.0718, 0.4976, 0.0962, 0.747, 0.643, +---+, 0.24, 0.443, -0.218, 5.042, 0.022, 1.336, 2.628, 16.096
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, euclidean, padding, 10, 15, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5086, 0.0408, 0.4402, 0.0581, 1.388, 0.983, D+--+, 0.128, -0.486, -3.44, -16.882, 0.022, 0.291, 1.017, 5.134
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], SAX, euclidean, padding, 10, 15, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5088, 0.0518, 0.4369, 0.0959, 1.041, 0.663, D--+D, 0.151, -0.316, -5.09, -21.45, 0.022, -0.06, 0.192, 2.85
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, euclidean, padding, 10, 5, 1, RandomForestRegressor, Close_norm, Close_norm, 0.509, 0.0382, 0.4707, 0.0667, 0.706, 0.574, ++--+, 0.228, 0.955, 1.596, 10.5, 0.018, 1.297, 4.339, 26.012
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], SAX, euclidean, padding, 10, 5, 1, RandomForestRegressor, Close_norm, Close_norm, 0.4984, 0.0252, 0.4254, 0.0873, 1.113, 0.745, D---D, 0.186, -0.069, -4.031, -21.968, 0.018, 0.368, 1.526, 9.778
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, euclidean, padding, 10, 10, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5195, 0.0362, 0.4851, 0.0554, 0.691, 0.574, ++--+, 0.239, 0.458, -2.778, -12.012, 0.02, 0.976, 1.347, 8.042
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], SAX, euclidean, padding, 10, 10, 1, RandomForestRegressor, Close_norm, Close_norm, 0.4569, 0.04, 0.3896, 0.0599, 1.114, 0.754, D---D, 0.153, -0.382, -6.602, -32.376, 0.02, -0.527, -0.565, -2.14
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, euclidean, padding, 10, 15, 1, RandomForestRegressor, Close_norm, Close_norm, 0.528, 0.0473, 0.4999, 0.06, 0.684, 0.659, ++--+, 0.256, 0.592, 1.699, 9.74, 0.022, 0.684, 3.644, 18.31
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], SAX, euclidean, padding, 10, 15, 1, RandomForestRegressor, Close_norm, Close_norm, 0.4803, 0.0615, 0.4075, 0.0804, 1.046, 0.692, D+--D, 0.152, -0.046, -4.998, -22.096, 0.022, -0.178, 0.295, 2.392
 1, ['Close_norm'], None, euclidean, padding, 25, 5, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5162, 0.0399, 0.5061, 0.05, 0.512, 0.444, ++-++, 0.285, 0.317, 2.219, 17.332, 0.018, 0.923, 4.651, 29.428
 1, ['Close_norm'], SAX, euclidean, padding, 25, 5, 1, RandomForestRegressor, Close_norm, Close_norm, 0.4912, 0.0286, 0.4254, 0.0874, 0.902, 0.605, D---D, 0.232, -0.686, -5.958, -36.056, 0.018, 0.058, 0.563, 2.734
 1, ['Close_norm'], None, euclidean, padding, 25, 10, 1, RandomForestRegressor, Close_norm, Close_norm, 0.543, 0.0587, 0.53, 0.0534, 0.519, 0.536, +++-+, 0.29, 0.429, 7.389, 43.92, 0.02, 0.48, 6.43, 36.008
 1, ['Close_norm'], SAX, euclidean, padding, 25, 10, 1, RandomForestRegressor, Close_norm, Close_norm, 0.496, 0.0244, 0.4294, 0.0699, 0.859, 0.59, D---+, 0.208, -0.401, -5.521, -24.992, 0.02, 0.319, -0.024, 1.552
 1, ['Close_norm'], None, euclidean, padding, 25, 15, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5151, 0.0333, 0.4853, 0.0407, 0.6, 0.576, +--++, 0.247, 0.331, 0.345, 8.056, 0.022, 0.599, 2.967, 17.468
 1, ['Close_norm'], SAX, euclidean, padding, 25, 15, 1, RandomForestRegressor, Close_norm, Close_norm, 0.515, 0.025, 0.4424, 0.0723, 0.903, 0.665, D---+, 0.191, -0.509, -5.316, -20.644, 0.022, 0.061, 0.136, 3.118
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, euclidean, padding, 25, 5, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5329, 0.0615, 0.4822, 0.0995, 0.632, 0.571, ++--+, 0.236, -0.05, 2.159, 10.36, 0.018, 0.305, 4.445, 24.466
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, euclidean, padding, 25, 5, 1, RandomForestRegressor, Close_norm, Close_norm, 0.4819, 0.0575, 0.3936, 0.0791, 1.289, 0.69, D+--D, 0.12, -0.603, -4.264, -25.692, 0.018, 0.335, 1.233, 6.44
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], SAX, euclidean, padding, 25, 5, 1, RandomForestRegressor, Close_norm, Close_norm, 0.4965, 0.021, 0.416, 0.0823, 1.043, 0.681, D+-+D, 0.16, -0.03, -1.672, -6.632, 0.018, 0.405, 2.529, 15.97
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, euclidean, padding, 25, 10, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5341, 0.0416, 0.5013, 0.0946, 0.673, 0.574, ++--+, 0.272, 0.443, 0.777, 3.76, 0.02, 0.482, 2.993, 15.004
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, euclidean, padding, 25, 10, 1, RandomForestRegressor, Close_norm, Close_norm, 0.522, 0.0412, 0.452, 0.1054, 1.243, 0.794, D---D, 0.112, -0.022, -2.55, -9.392, 0.02, 0.188, 1.329, 8.428
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], SAX, euclidean, padding, 25, 10, 1, RandomForestRegressor, Close_norm, Close_norm, 0.522, 0.0349, 0.4542, 0.1039, 1.045, 0.68, D+-+D, 0.18, 0.273, -0.201, 4.704, 0.02, 0.317, 2.504, 15.476
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, euclidean, padding, 25, 15, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5443, 0.0872, 0.5205, 0.0951, 0.658, 0.627, +-+-+, 0.217, 0.637, 0.292, 4.606, 0.022, 1.031, 2.883, 15.878
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, euclidean, padding, 25, 15, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5308, 0.0487, 0.453, 0.0785, 1.451, 0.96, D---+, 0.093, -0.623, -3.75, -19.09, 0.022, 0.14, 0.862, 4.03
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], SAX, euclidean, padding, 25, 15, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5221, 0.0535, 0.4509, 0.1058, 0.967, 0.637, D--+D, 0.169, -0.241, -2.316, -4.714, 0.022, -0.001, 1.579, 11.218
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, euclidean, padding, 25, 5, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5127, 0.0584, 0.4786, 0.1004, 0.65, 0.551, ++--D, 0.25, 0.061, 0.825, 3.168, 0.018, 0.499, 3.954, 22.346
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], SAX, euclidean, padding, 25, 5, 1, RandomForestRegressor, Close_norm, Close_norm, 0.4984, 0.0782, 0.4307, 0.1183, 1.093, 0.756, D+--D, 0.207, 0.023, -1.2, -7.46, 0.018, 0.559, 2.942, 17.032
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, euclidean, padding, 25, 10, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5234, 0.0524, 0.5092, 0.051, 0.55, 0.545, ++--+, 0.266, 0.482, -0.715, 0.864, 0.02, 0.828, 2.378, 14.48
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], SAX, euclidean, padding, 25, 10, 1, RandomForestRegressor, Close_norm, Close_norm, 0.4882, 0.0157, 0.4228, 0.0799, 1.088, 0.725, D+--D, 0.176, 0.092, -3.185, -13.304, 0.02, 0.253, 1.144, 7.396
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, euclidean, padding, 25, 15, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5325, 0.0292, 0.4885, 0.0768, 0.694, 0.605, ++--D, 0.196, 0.694, 0.218, 0.832, 0.022, 0.771, 2.903, 13.856
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], SAX, euclidean, padding, 25, 15, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5064, 0.0726, 0.4363, 0.109, 1.028, 0.682, D---D, 0.169, -0.414, -6.264, -31.312, 0.022, -0.21, -0.338, -2.216
 1, ['Close_norm'], None, euclidean, padding, 50, 5, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5411, 0.0528, 0.531, 0.0505, 0.508, 0.443, ++-++, 0.292, 0.62, 5.375, 37.632, 0.018, 1.001, 6.229, 39.578
 1, ['Close_norm'], SAX, euclidean, padding, 50, 5, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5091, 0.0435, 0.4428, 0.1042, 0.914, 0.624, D+--D, 0.225, -0.287, -3.817, -24.4, 0.018, 0.231, 1.633, 8.562
 1, ['Close_norm'], None, euclidean, padding, 50, 10, 1, RandomForestRegressor, Close_norm, Close_norm, 0.543, 0.026, 0.5263, 0.025, 0.521, 0.537, ++--+, 0.27, 0.487, 2.09, 14.46, 0.02, 0.811, 3.781, 21.278
 1, ['Close_norm'], SAX, euclidean, padding, 50, 10, 1, RandomForestRegressor, Close_norm, Close_norm, 0.4882, 0.025, 0.4248, 0.0671, 0.87, 0.6, D---+, 0.223, -0.608, -5.946, -28.696, 0.02, 0.01, -0.237, -0.3
 1, ['Close_norm'], None, euclidean, padding, 50, 15, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5063, 0.0462, 0.482, 0.0455, 0.605, 0.601, +---+, 0.256, 0.303, -0.742, -0.032, 0.022, 0.756, 2.423, 13.424
 1, ['Close_norm'], SAX, euclidean, padding, 50, 15, 1, RandomForestRegressor, Close_norm, Close_norm, 0.502, 0.0293, 0.4246, 0.0805, 0.951, 0.686, D---D, 0.2, -0.488, -5.28, -23.988, 0.022, 0.085, 0.154, 1.446
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, euclidean, padding, 50, 5, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5365, 0.0451, 0.4808, 0.0778, 0.624, 0.572, ++-++, 0.214, 0.23, 2.07, 12.856, 0.018, 0.411, 4.4, 25.714
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, euclidean, padding, 50, 5, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5147, 0.0427, 0.4386, 0.1007, 1.274, 0.644, D+-+D, 0.127, -0.149, -1.356, -3.016, 0.018, 0.39, 2.687, 17.778
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], SAX, euclidean, padding, 50, 5, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5001, 0.0268, 0.416, 0.0798, 1.087, 0.741, D+-+D, 0.167, 0.343, -0.094, 2.604, 0.018, 0.667, 3.318, 20.588
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, euclidean, padding, 50, 10, 1, RandomForestRegressor, Close_norm, Close_norm, 0.542, 0.0402, 0.5223, 0.063, 0.658, 0.591, ++--+, 0.252, 0.239, 0.99, 9.0, 0.02, 0.436, 3.099, 17.624
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, euclidean, padding, 50, 10, 1, RandomForestRegressor, Close_norm, Close_norm, 0.498, 0.016, 0.4283, 0.0808, 1.282, 0.813, D---D, 0.08, -0.55, -5.74, -31.672, 0.02, -0.441, -0.266, -2.712
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], SAX, euclidean, padding, 50, 10, 1, RandomForestRegressor, Close_norm, Close_norm, 0.514, 0.0367, 0.4454, 0.0983, 1.035, 0.68, D+--D, 0.144, 0.099, -2.355, -7.588, 0.02, 0.106, 1.427, 9.33
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, euclidean, padding, 50, 15, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5529, 0.0659, 0.5245, 0.0762, 0.631, 0.631, ++--+, 0.239, 0.502, 1.307, 14.81, 0.022, 1.186, 3.391, 20.98
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, euclidean, padding, 50, 15, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5086, 0.0408, 0.4157, 0.0754, 1.486, 0.873, DD--+, 0.053, -0.596, -5.205, -28.49, 0.022, -0.099, 0.134, -0.67
