No. of features, selected_features, transformer, sim_func, fix_len_func, k stock, window_len, next_t, model, target_col, sim_col, mean_accuracy, std_accuracy, mean_f1, std_f1, mean_rmse, std_rmse, folds_result, mean_orders_count_per_hours, mean_sharpe_ratio, mean_profit_%, mean_profit, mean_L_orders_count_per_hours, mean_L_sharpe_ratio, mean_L_profit_%, mean_L_profit
1, ['Close_norm'], None, euclidean, padding, 10, 5, 1, XGBClassifier, Close_norm, Close_norm, 0.4841, 0.0263, 0.4381, 0.0596, NaN, NaN, D++-+, 0.203, 0.228, 5.163, 30.88, 0.018, 0.543, 6.123, 36.202
 1, ['Close_norm'], SAX, euclidean, padding, 10, 5, 1, XGBClassifier, Close_norm, Close_norm, 0.5231, 0.0222, 0.4397, 0.085, NaN, NaN, U++-U, 0.136, 0.105, 2.017, 8.336, 0.018, 0.366, 4.55, 24.93
 1, ['Close_norm'], None, euclidean, padding, 10, 10, 1, XGBClassifier, Close_norm, Close_norm, 0.5157, 0.0326, 0.4364, 0.0946, NaN, NaN, D+--U, 0.169, -0.116, -2.294, -17.136, 0.02, 0.375, 1.589, 5.48
 1, ['Close_norm'], SAX, euclidean, padding, 10, 10, 1, XGBClassifier, Close_norm, Close_norm, 0.5353, 0.0532, 0.4627, 0.1204, NaN, NaN, D+--U, 0.176, -0.138, 1.096, 2.22, 0.02, 0.341, 3.284, 15.158
 1, ['Close_norm'], None, euclidean, padding, 10, 15, 1, XGBClassifier, Close_norm, Close_norm, 0.5064, 0.027, 0.4305, 0.0736, NaN, NaN, -+--D, 0.187, 0.068, -0.553, 1.444, 0.022, 0.449, 2.518, 14.162
 1, ['Close_norm'], SAX, euclidean, padding, 10, 15, 1, XGBClassifier, Close_norm, Close_norm, 0.4849, 0.0304, 0.4147, 0.0782, NaN, NaN, D---U, 0.191, -1.009, -5.685, -37.4, 0.022, 0.028, -0.048, -5.26
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, euclidean, padding, 10, 5, 1, XGBClassifier, Close_norm, Close_norm, 0.5148, 0.0593, 0.493, 0.0692, NaN, NaN, +++--, 0.406, 0.772, 7.64, 32.92, 0.018, 0.809, 7.185, 35.746
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, euclidean, padding, 10, 5, 1, XGBClassifier, Close_norm, Close_norm, 0.5147, 0.0341, 0.4451, 0.0456, NaN, NaN, +--+-, 0.167, -0.215, -3.934, -27.612, 0.018, 0.336, 1.398, 5.48
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], SAX, euclidean, padding, 10, 5, 1, XGBClassifier, Close_norm, Close_norm, 0.4964, 0.0379, 0.4707, 0.0448, NaN, NaN, -+---, 0.33, 0.367, -3.768, -23.132, 0.018, 0.668, 1.481, 7.72
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, euclidean, padding, 10, 10, 1, XGBClassifier, Close_norm, Close_norm, 0.4943, 0.0575, 0.4599, 0.0987, NaN, NaN, -+---, 0.382, 0.055, -3.181, -23.752, 0.02, 0.326, 1.014, 1.248
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, euclidean, padding, 10, 10, 1, XGBClassifier, Close_norm, Close_norm, 0.494, 0.0215, 0.4075, 0.0523, NaN, NaN, +----, 0.128, -0.335, -4.736, -28.352, 0.02, 0.076, 0.237, -1.052
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], SAX, euclidean, padding, 10, 10, 1, XGBClassifier, Close_norm, Close_norm, 0.5221, 0.0573, 0.5054, 0.0596, NaN, NaN, ++-++, 0.402, 0.746, 1.35, 8.524, 0.02, 0.662, 3.279, 17.386
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, euclidean, padding, 10, 15, 1, XGBClassifier, Close_norm, Close_norm, 0.5091, 0.0397, 0.5005, 0.0443, NaN, NaN, ++--+, 0.407, 0.267, -2.134, -11.854, 0.022, 0.732, 1.67, 7.648
