No. of features, selected_features, transformer, sim_func, fix_len_func, k stock, window_len, next_t, model, target_col, sim_col, mean_accuracy, std_accuracy, mean_f1, std_f1, mean_rmse, std_rmse, folds_result, mean_orders_count_per_hours, mean_sharpe_ratio, mean_profit_%, mean_profit, mean_L_orders_count_per_hours, mean_L_sharpe_ratio, mean_L_profit_%, mean_L_profit
1, ['Close_norm'], None, euclidean, padding, 10, 5, 1, XGBRegressor, Close_norm, Close_norm, 0.5019, 0.0265, 0.4172, 0.0782, 1.045, 0.656, D+--D, 0.086, 0.387, -0.742, -3.864, 0.018, 0.933, 3.171, 18.83
 1, ['Close_norm'], SAX, euclidean, padding, 10, 5, 1, XGBRegressor, Close_norm, Close_norm, 0.5019, 0.0383, 0.417, 0.0808, 1.166, 0.723, D+-+D, 0.071, 0.029, -1.788, -8.268, 0.018, 1.158, 2.648, 16.628
 1, ['Close_norm'], None, euclidean, padding, 10, 10, 1, XGBRegressor, Close_norm, Close_norm, 0.4922, 0.0218, 0.3989, 0.0619, 1.073, 0.706, D+--D, 0.059, 0.123, -1.808, -5.732, 0.02, 0.506, 1.832, 11.182
 1, ['Close_norm'], SAX, euclidean, padding, 10, 10, 1, XGBRegressor, Close_norm, Close_norm, 0.5039, 0.0437, 0.4158, 0.0867, 1.187, 0.75, D+-+D, 0.074, -0.189, -2.181, -6.148, 0.02, 0.149, 1.646, 10.974
 1, ['Close_norm'], None, euclidean, padding, 10, 15, 1, XGBRegressor, Close_norm, Close_norm, 0.502, 0.022, 0.405, 0.0616, 1.095, 0.705, D+--D, 0.052, -0.136, -2.242, -6.864, 0.022, 0.776, 1.673, 10.008
 1, ['Close_norm'], SAX, euclidean, padding, 10, 15, 1, XGBRegressor, Close_norm, Close_norm, 0.5064, 0.0453, 0.4123, 0.0706, 1.229, 0.771, D+--D, 0.078, -0.381, -3.536, -13.552, 0.022, 0.718, 1.026, 6.664
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, euclidean, padding, 10, 5, 1, XGBRegressor, Close_norm, Close_norm, 0.5147, 0.0561, 0.4319, 0.1047, 1.102, 0.733, D+-+D, 0.098, 0.491, -0.767, -0.936, 0.018, 0.898, 2.982, 18.818
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, euclidean, padding, 10, 5, 1, XGBRegressor, Close_norm, Close_norm, 0.4929, 0.0305, 0.4153, 0.0782, 1.425, 0.851, D+-+D, 0.105, 0.199, -1.24, -4.312, 0.018, 0.441, 2.745, 17.13
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], SAX, euclidean, padding, 10, 5, 1, XGBRegressor, Close_norm, Close_norm, 0.511, 0.0293, 0.4366, 0.093, 1.313, 0.839, D+--D, 0.109, 0.328, -1.203, -7.156, 0.018, 0.923, 2.763, 15.708
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, euclidean, padding, 10, 10, 1, XGBRegressor, Close_norm, Close_norm, 0.514, 0.0196, 0.4233, 0.0792, 1.083, 0.71, D+--D, 0.068, 0.404, -0.763, 1.288, 0.02, 0.641, 2.223, 13.768
