No. of features, selected_features, transformer, sim_func, fix_len_func, k stock, window_len, next_t, model, target_col, sim_col, mean_accuracy, std_accuracy, mean_f1, std_f1, mean_rmse, std_rmse, folds_result, mean_orders_count_per_hours, mean_sharpe_ratio, mean_profit_%, mean_profit, mean_L_orders_count_per_hours, mean_L_sharpe_ratio, mean_L_profit_%, mean_L_profit
1, ['Close_norm'], None, euclidean, padding, 10, 5, 1, GradientBoostingClassifier, Close_norm, Close_norm, 0.4912, 0.0263, 0.4095, 0.0748, NaN, NaN, -+++-, 0.182, -0.111, 2.893, 7.52, 0.018, -0.015, 4.988, 24.522
 1, ['Close_norm'], SAX, euclidean, padding, 10, 5, 1, GradientBoostingClassifier, Close_norm, Close_norm, 0.5266, 0.0319, 0.4268, 0.0742, NaN, NaN, U+++U, 0.121, 0.227, 4.053, 23.852, 0.018, 0.422, 5.568, 32.688
 1, ['Close_norm'], None, euclidean, padding, 10, 10, 1, GradientBoostingClassifier, Close_norm, Close_norm, 0.5471, 0.0306, 0.4583, 0.0894, NaN, NaN, ++-+U, 0.145, 0.422, -2.685, -17.488, 0.02, 0.484, 1.393, 5.304
 1, ['Close_norm'], SAX, euclidean, padding, 10, 10, 1, GradientBoostingClassifier, Close_norm, Close_norm, 0.5392, 0.0548, 0.4545, 0.118, NaN, NaN, D+--U, 0.176, -0.066, 0.134, -3.324, 0.02, 0.4, 2.803, 12.386
 1, ['Close_norm'], None, euclidean, padding, 10, 15, 1, GradientBoostingClassifier, Close_norm, Close_norm, 0.5025, 0.0889, 0.446, 0.1005, NaN, NaN, -+-+-, 0.217, -0.464, -4.668, -38.424, 0.022, 0.195, 0.46, -5.772
 1, ['Close_norm'], SAX, euclidean, padding, 10, 15, 1, GradientBoostingClassifier, Close_norm, Close_norm, 0.5197, 0.0308, 0.44, 0.0959, NaN, NaN, U+--U, 0.191, 0.195, -0.299, -9.9, 0.022, 0.541, 2.645, 8.49
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, euclidean, padding, 10, 5, 1, GradientBoostingClassifier, Close_norm, Close_norm, 0.5075, 0.0591, 0.4575, 0.0685, NaN, NaN, ++-+-, 0.326, 0.375, -3.784, -27.076, 0.018, 0.369, 1.473, 5.748
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, euclidean, padding, 10, 5, 1, GradientBoostingClassifier, Close_norm, Close_norm, 0.4681, 0.0922, 0.3892, 0.0724, NaN, NaN, D+---, 0.101, -0.23, -6.406, -48.56, 0.018, 0.167, 0.162, -4.994
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], SAX, euclidean, padding, 10, 5, 1, GradientBoostingClassifier, Close_norm, Close_norm, 0.5217, 0.055, 0.4725, 0.0643, NaN, NaN, -+--+, 0.29, -0.439, -3.572, -16.54, 0.018, -0.215, 1.579, 11.016
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, euclidean, padding, 10, 10, 1, GradientBoostingClassifier, Close_norm, Close_norm, 0.4827, 0.0788, 0.4501, 0.0805, NaN, NaN, ++---, 0.342, -0.457, -3.661, -34.768, 0.02, 0.041, 0.774, -4.26
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, euclidean, padding, 10, 10, 1, GradientBoostingClassifier, Close_norm, Close_norm, 0.4978, 0.0481, 0.421, 0.0719, NaN, NaN, U+-++, 0.151, 0.517, 0.074, 1.508, 0.02, 0.449, 2.641, 13.878
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], SAX, euclidean, padding, 10, 10, 1, GradientBoostingClassifier, Close_norm, Close_norm, 0.5537, 0.0578, 0.5162, 0.0953, NaN, NaN, ++-+-, 0.299, 0.128, 0.573, -3.04, 0.02, 0.366, 2.891, 11.604
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, euclidean, padding, 10, 15, 1, GradientBoostingClassifier, Close_norm, Close_norm, 0.5223, 0.0587, 0.5118, 0.0571, NaN, NaN, ++---, 0.376, 0.203, 0.508, -1.73, 0.022, 0.651, 2.991, 12.71
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, euclidean, padding, 10, 15, 1, GradientBoostingClassifier, Close_norm, Close_norm, 0.5573, 0.0523, 0.4955, 0.0969, NaN, NaN, U+-+-, 0.151, -0.272, -0.425, -4.394, 0.022, 0.126, 2.524, 11.378
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], SAX, euclidean, padding, 10, 15, 1, GradientBoostingClassifier, Close_norm, Close_norm, 0.531, 0.0468, 0.5006, 0.0599, NaN, NaN, ++-+-, 0.327, -0.57, -1.898, -17.534, 0.022, 0.184, 1.788, 4.808
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, euclidean, padding, 10, 5, 1, GradientBoostingClassifier, Close_norm, Close_norm, 0.523, 0.0325, 0.4928, 0.0385, NaN, NaN, -+---, 0.182, -0.051, -4.651, -30.796, 0.018, 0.164, 1.216, 5.364
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], SAX, euclidean, padding, 10, 5, 1, GradientBoostingClassifier, Close_norm, Close_norm, 0.5445, 0.0179, 0.4673, 0.0767, NaN, NaN, +++-U, 0.1, 0.428, 6.597, 33.66, 0.018, 0.492, 6.84, 37.592
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, euclidean, padding, 10, 10, 1, GradientBoostingClassifier, Close_norm, Close_norm, 0.5156, 0.0502, 0.4665, 0.0818, NaN, NaN, D+-+-, 0.133, -0.009, -2.389, -10.464, 0.02, 0.063, 1.542, 8.816
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], SAX, euclidean, padding, 10, 10, 1, GradientBoostingClassifier, Close_norm, Close_norm, 0.5078, 0.0374, 0.4705, 0.0787, NaN, NaN, -+-+U, 0.165, 0.03, -3.898, -25.036, 0.02, 0.137, 0.787, 1.53
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, euclidean, padding, 10, 15, 1, GradientBoostingClassifier, Close_norm, Close_norm, 0.4851, 0.0356, 0.4057, 0.0709, NaN, NaN, U+---, 0.161, -0.062, -5.902, -47.02, 0.022, 0.353, -0.157, -10.07
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], SAX, euclidean, padding, 10, 15, 1, GradientBoostingClassifier, Close_norm, Close_norm, 0.5066, 0.0812, 0.4693, 0.0858, NaN, NaN, ++---, 0.195, -0.18, -1.469, -20.816, 0.022, 0.092, 2.06, 3.032
 1, ['Close_norm'], None, euclidean, padding, 25, 5, 1, GradientBoostingClassifier, Close_norm, Close_norm, 0.5055, 0.0637, 0.4304, 0.0691, NaN, NaN, -+++-, 0.2, 0.535, 4.482, 24.124, 0.018, 0.433, 5.783, 32.824
 1, ['Close_norm'], SAX, euclidean, padding, 25, 5, 1, GradientBoostingClassifier, Close_norm, Close_norm, 0.5623, 0.0466, 0.4661, 0.1169, NaN, NaN, D+-+U, 0.114, 0.842, 2.992, 17.048, 0.018, 0.936, 5.038, 29.286
 1, ['Close_norm'], None, euclidean, padding, 25, 10, 1, GradientBoostingClassifier, Close_norm, Close_norm, 0.4922, 0.033, 0.4014, 0.0677, NaN, NaN, D---U, 0.172, -0.969, -7.524, -46.98, 0.02, -0.155, -1.026, -9.442
 1, ['Close_norm'], SAX, euclidean, padding, 25, 10, 1, GradientBoostingClassifier, Close_norm, Close_norm, 0.5078, 0.018, 0.4113, 0.0676, NaN, NaN, U+--U, 0.157, -0.169, -4.636, -32.82, 0.02, 0.31, 0.418, -2.362
 1, ['Close_norm'], None, euclidean, padding, 25, 15, 1, GradientBoostingClassifier, Close_norm, Close_norm, 0.5198, 0.0522, 0.4563, 0.0832, NaN, NaN, U+---, 0.182, 0.141, -5.603, -48.004, 0.022, 0.456, -0.007, -10.562
 1, ['Close_norm'], SAX, euclidean, padding, 25, 15, 1, GradientBoostingClassifier, Close_norm, Close_norm, 0.4936, 0.0233, 0.4088, 0.0651, NaN, NaN, U++-U, 0.135, 0.289, 6.714, 28.976, 0.022, 0.394, 6.151, 27.928
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, euclidean, padding, 25, 5, 1, GradientBoostingClassifier, Close_norm, Close_norm, 0.5253, 0.0564, 0.4616, 0.0857, NaN, NaN, U+-+-, 0.257, 0.229, -2.295, -14.696, 0.018, 0.264, 2.217, 11.938
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, euclidean, padding, 25, 5, 1, GradientBoostingClassifier, Close_norm, Close_norm, 0.5108, 0.0217, 0.3821, 0.0272, NaN, NaN, U--+-, 0.098, 0.268, -1.294, -3.848, 0.018, 0.821, 2.718, 17.362
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], SAX, euclidean, padding, 25, 5, 1, GradientBoostingClassifier, Close_norm, Close_norm, 0.5002, 0.0322, 0.4427, 0.0384, NaN, NaN, -+-+-, 0.2, 0.089, -5.643, -42.228, 0.018, 0.264, 0.543, -1.828
