No. of features, selected_features, transformer, sim_func, fix_len_func, k stock, window_len, next_t, model, target_col, sim_col, mean_accuracy, std_accuracy, mean_f1, std_f1, mean_rmse, std_rmse, folds_result, mean_orders_count_per_hours, mean_sharpe_ratio, mean_profit_%, mean_profit, mean_L_orders_count_per_hours, mean_L_sharpe_ratio, mean_L_profit_%, mean_L_profit
1, ['Close_norm'], None, euclidean, padding, 10, 5, 1, GradientBoostingRegressor, Close_norm, Close_norm, 0.4948, 0.047, 0.4834, 0.0505, 0.588, 0.533, +---+, 0.303, -0.357, -0.384, 0.984, 0.018, 0.331, 3.349, 21.254
 1, ['Close_norm'], SAX, euclidean, padding, 10, 5, 1, GradientBoostingRegressor, Close_norm, Close_norm, 0.5233, 0.0336, 0.4581, 0.0976, 0.868, 0.575, D---+, 0.189, -0.413, -2.645, -13.628, 0.018, 0.464, 2.219, 13.948
 1, ['Close_norm'], None, euclidean, padding, 10, 10, 1, GradientBoostingRegressor, Close_norm, Close_norm, 0.4999, 0.0496, 0.4851, 0.0491, 0.644, 0.61, +---+, 0.25, -0.046, -4.797, -22.824, 0.02, 0.056, 0.338, 2.636
 1, ['Close_norm'], SAX, euclidean, padding, 10, 10, 1, GradientBoostingRegressor, Close_norm, Close_norm, 0.5116, 0.0264, 0.4489, 0.0747, 0.881, 0.619, D---+, 0.231, -0.247, -2.747, -5.708, 0.02, 0.588, 1.363, 11.194
 1, ['Close_norm'], None, euclidean, padding, 10, 15, 1, GradientBoostingRegressor, Close_norm, Close_norm, 0.528, 0.0385, 0.5068, 0.0391, 0.652, 0.664, ++--+, 0.303, 0.585, 0.715, 7.26, 0.022, 1.117, 3.152, 17.07
 1, ['Close_norm'], SAX, euclidean, padding, 10, 15, 1, GradientBoostingRegressor, Close_norm, Close_norm, 0.4889, 0.0453, 0.4205, 0.0673, 0.919, 0.641, D---+, 0.182, -0.276, -6.273, -26.192, 0.022, 0.059, -0.342, 0.344
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, euclidean, padding, 10, 5, 1, GradientBoostingRegressor, Close_norm, Close_norm, 0.5001, 0.0334, 0.4675, 0.0632, 0.668, 0.572, ++-++, 0.276, 0.011, -0.259, 2.384, 0.018, 0.468, 3.235, 20.478
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, euclidean, padding, 10, 5, 1, GradientBoostingRegressor, Close_norm, Close_norm, 0.5038, 0.0612, 0.4326, 0.1028, 1.456, 0.875, D+-+D, 0.182, 0.128, -0.225, 2.984, 0.018, 0.217, 3.253, 20.778
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], SAX, euclidean, padding, 10, 5, 1, GradientBoostingRegressor, Close_norm, Close_norm, 0.4783, 0.0361, 0.4038, 0.0712, 1.097, 0.742, D---D, 0.174, -0.629, -3.323, -17.996, 0.018, 0.236, 1.704, 10.288
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, euclidean, padding, 10, 10, 1, GradientBoostingRegressor, Close_norm, Close_norm, 0.53, 0.0283, 0.4893, 0.08, 0.729, 0.64, ++--D, 0.256, 0.39, 0.766, 6.62, 0.02, 0.493, 2.987, 16.434
