No. of features, selected_features, transformer, sim_func, fix_len_func, k stock, window_len, next_t, model, target_col, sim_col, mean_accuracy, std_accuracy, mean_f1, std_f1, mean_rmse, std_rmse, folds_result, mean_orders_count_per_hours, mean_sharpe_ratio, mean_profit_%, mean_profit, mean_L_orders_count_per_hours, mean_L_sharpe_ratio, mean_L_profit_%, mean_L_profit
1, ['Close_norm'], None, euclidean, padding, 10, 5, 1, XGBRegressor, Close_norm, Close_norm, 0.4948, 0.0284, 0.4808, 0.035, 0.615, 0.551, +---+, 0.289, -0.489, -1.0, -3.128, 0.018, 0.347, 3.041, 19.198
 1, ['Close_norm'], SAX, euclidean, padding, 10, 5, 1, XGBRegressor, Close_norm, Close_norm, 0.5055, 0.0428, 0.4409, 0.0938, 0.876, 0.572, D---+, 0.225, -0.557, -4.251, -24.52, 0.018, 0.254, 1.416, 8.502
 1, ['Close_norm'], None, euclidean, padding, 10, 10, 1, XGBRegressor, Close_norm, Close_norm, 0.5274, 0.0331, 0.506, 0.0328, 0.674, 0.643, ++--+, 0.294, 0.321, -1.68, -5.316, 0.02, 0.815, 1.896, 11.39
 1, ['Close_norm'], SAX, euclidean, padding, 10, 10, 1, XGBRegressor, Close_norm, Close_norm, 0.492, 0.0392, 0.4327, 0.0671, 0.897, 0.628, D---+, 0.2, -0.378, -3.387, -10.592, 0.02, 0.295, 1.042, 8.752
 1, ['Close_norm'], None, euclidean, padding, 10, 15, 1, XGBRegressor, Close_norm, Close_norm, 0.5065, 0.0503, 0.4835, 0.0582, 0.694, 0.675, +---+, 0.247, 0.325, -0.674, -3.612, 0.022, 0.591, 2.457, 11.634
 1, ['Close_norm'], SAX, euclidean, padding, 10, 15, 1, XGBRegressor, Close_norm, Close_norm, 0.5193, 0.0276, 0.4481, 0.0764, 0.934, 0.668, D---+, 0.204, -0.315, -4.528, -16.624, 0.022, 0.444, 0.53, 5.128
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, euclidean, padding, 10, 5, 1, XGBRegressor, Close_norm, Close_norm, 0.4638, 0.0335, 0.4205, 0.0707, 0.754, 0.63, ++--D, 0.273, -0.709, -4.439, -25.62, 0.018, -0.136, 1.146, 6.476
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, euclidean, padding, 10, 5, 1, XGBRegressor, Close_norm, Close_norm, 0.5074, 0.0282, 0.4403, 0.0958, 1.354, 0.802, D+-+D, 0.167, 0.114, -1.608, -6.756, 0.018, 0.575, 2.561, 15.908
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], SAX, euclidean, padding, 10, 5, 1, XGBRegressor, Close_norm, Close_norm, 0.5219, 0.0471, 0.4464, 0.1113, 1.088, 0.676, D+--D, 0.189, 0.308, -1.328, -5.576, 0.018, 0.75, 2.701, 16.498
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, euclidean, padding, 10, 10, 1, XGBRegressor, Close_norm, Close_norm, 0.498, 0.0223, 0.4642, 0.0708, 0.735, 0.654, ++--+, 0.224, 0.131, -2.236, -11.796, 0.02, 0.139, 1.486, 7.226
