No. of features, selected_features, transformer, sim_func, fix_len_func, k stock, window_len, next_t, model, target_col, sim_col, mean_accuracy, std_accuracy, mean_f1, std_f1, mean_rmse, std_rmse, folds_result, mean_orders_count_per_hours, mean_sharpe_ratio, mean_profit_%, mean_profit, mean_L_orders_count_per_hours, mean_L_sharpe_ratio, mean_L_profit_%, mean_L_profit
1, ['Close_norm'], None, co-integration, time_join, 0, 5, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5446, 0.0473, 0.5304, 0.0399, 0.64, 0.591, ++-++, 0.274, 0.844, 3.457, 29.792, 0.018, 1.697, 5.27, 35.658
 1, ['Close_norm'], SAX, co-integration, time_join, 0, 5, 1, RandomForestRegressor, Close_norm, Close_norm, 0.4949, 0.0403, 0.4523, 0.0726, 0.811, 0.576, D---+, 0.235, -0.799, -6.325, -34.752, 0.018, 0.059, 0.379, 3.386
 1, ['Close_norm'], None, co-integration, time_join, 0, 5, 1, GradientBoostingRegressor, Close_norm, Close_norm, 0.5162, 0.032, 0.442, 0.09, 0.788, 0.592, D+--+, 0.128, 0.241, -0.534, -0.704, 0.018, 0.961, 3.275, 20.41
 1, ['Close_norm'], SAX, co-integration, time_join, 0, 5, 1, GradientBoostingRegressor, Close_norm, Close_norm, 0.4841, 0.0227, 0.4179, 0.0655, 0.951, 0.612, D---+, 0.171, -0.212, -5.689, -30.02, 0.018, 0.465, 0.697, 5.752
 1, ['Close_norm'], None, co-integration, time_join, 0, 5, 1, XGBRegressor, Close_norm, Close_norm, 0.5411, 0.0648, 0.5266, 0.0598, 0.66, 0.571, +--++, 0.267, 0.696, -1.535, 0.228, 0.018, 0.993, 2.774, 20.876
 1, ['Close_norm'], SAX, co-integration, time_join, 0, 5, 1, XGBRegressor, Close_norm, Close_norm, 0.4806, 0.039, 0.4329, 0.0595, 0.828, 0.576, D---+, 0.185, -0.576, -7.212, -39.024, 0.018, 0.1, -0.065, 1.25
 1, ['Close_norm'], None, co-integration, time_join, 0, 5, 1, LSTM, Close_norm, Close_norm, 0.5161, 0.0331, 0.4376, 0.0782, 0.628, 0.553, D---+, 0.132, -0.384, -1.273, -3.58, 0.018, 0.317, 2.905, 18.972
 1, ['Close_norm'], SAX, co-integration, time_join, 0, 5, 1, LSTM, Close_norm, Close_norm, 0.4662, 0.0242, 0.3835, 0.0543, 1.027, 0.668, D---D, 0.161, -0.491, -6.343, -34.984, 0.018, -0.176, 0.37, 3.27
 1, ['Close_norm'], None, co-integration, time_join, 0, 5, 1, XGBClassifier, Close_norm, Close_norm, 0.5127, 0.0584, 0.4397, 0.1049, NaN, NaN, D--+D, 0.214, 0.315, -1.515, -6.6, 0.018, 0.814, 2.784, 17.462
 1, ['Close_norm'], SAX, co-integration, time_join, 0, 5, 1, XGBClassifier, Close_norm, Close_norm, 0.5195, 0.0416, 0.4387, 0.0875, NaN, NaN, D+--U, 0.182, 0.219, -2.917, -20.3, 0.018, 0.333, 2.083, 10.612
 1, ['Close_norm'], None, co-integration, time_join, 0, 5, 1, GradientBoostingClassifier, Close_norm, Close_norm, 0.5125, 0.0586, 0.4794, 0.0613, NaN, NaN, -++++, 0.232, -0.012, 7.165, 52.528, 0.018, 0.393, 7.124, 47.026
 1, ['Close_norm'], SAX, co-integration, time_join, 0, 5, 1, GradientBoostingClassifier, Close_norm, Close_norm, 0.5302, 0.0274, 0.4379, 0.0863, NaN, NaN, D++-U, 0.154, 0.806, 6.527, 34.028, 0.018, 0.839, 6.805, 37.776
 1, ['Close_norm'], None, co-integration, time_join, 0, 5, 1, RandomForestClassifier, Close_norm, Close_norm, 0.5196, 0.056, 0.4842, 0.0841, NaN, NaN, -++-+, 0.274, -0.177, 5.907, 41.072, 0.018, 0.292, 6.495, 41.298
 1, ['Close_norm'], SAX, co-integration, time_join, 0, 5, 1, RandomForestClassifier, Close_norm, Close_norm, 0.5516, 0.0301, 0.4744, 0.1089, NaN, NaN, D+--U, 0.229, 0.446, -1.199, -8.672, 0.018, 0.774, 2.942, 16.426
 1, ['Close_norm'], None, co-integration, time_join, 0, 10, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5548, 0.0302, 0.5406, 0.0269, 0.66, 0.613, +--++, 0.274, 0.42, 1.783, 21.78, 0.02, 0.976, 3.628, 24.938
 1, ['Close_norm'], SAX, co-integration, time_join, 0, 10, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5273, 0.0318, 0.4881, 0.086, 0.89, 0.679, D+-++, 0.223, -0.03, -0.561, 10.512, 0.02, 0.288, 2.456, 19.304
 1, ['Close_norm'], None, co-integration, time_join, 0, 10, 1, GradientBoostingRegressor, Close_norm, Close_norm, 0.5118, 0.0413, 0.4361, 0.0941, 0.815, 0.636, D+--+, 0.125, 0.152, -2.225, -7.496, 0.02, 0.632, 1.623, 10.3
 1, ['Close_norm'], SAX, co-integration, time_join, 0, 10, 1, GradientBoostingRegressor, Close_norm, Close_norm, 0.5118, 0.0505, 0.4451, 0.0976, 0.979, 0.684, D--++, 0.172, 0.05, -1.747, 0.776, 0.02, 0.448, 1.862, 14.436
 1, ['Close_norm'], None, co-integration, time_join, 0, 10, 1, XGBRegressor, Close_norm, Close_norm, 0.5391, 0.0504, 0.5257, 0.048, 0.713, 0.63, +---+, 0.231, 0.261, -0.2, 10.124, 0.02, 0.714, 2.636, 19.11
 1, ['Close_norm'], SAX, co-integration, time_join, 0, 10, 1, XGBRegressor, Close_norm, Close_norm, 0.5077, 0.0249, 0.4716, 0.0773, 0.898, 0.666, D--++, 0.215, -0.258, -3.169, -4.528, 0.02, 0.138, 1.151, 11.784
 1, ['Close_norm'], None, co-integration, time_join, 0, 10, 1, LSTM, Close_norm, Close_norm, 0.5353, 0.0532, 0.4359, 0.1146, 0.872, 0.634, D+-+D, 0.094, 0.171, 1.222, 15.4, 0.02, 0.517, 3.347, 21.748
 1, ['Close_norm'], SAX, co-integration, time_join, 0, 10, 1, LSTM, Close_norm, Close_norm, 0.4882, 0.0457, 0.3783, 0.0581, 1.288, 0.875, D+--D, 0.11, -0.292, -4.473, -20.468, 0.02, -0.013, 0.5, 3.814
 1, ['Close_norm'], None, co-integration, time_join, 0, 10, 1, XGBClassifier, Close_norm, Close_norm, 0.4882, 0.044, 0.4156, 0.0886, NaN, NaN, D---U, 0.18, -0.852, -8.107, -54.428, 0.02, -0.135, -1.317, -13.166
