No. of features, selected_features, transformer, sim_func, fix_len_func, k stock, window_len, next_t, model, target_col, sim_col, mean_accuracy, std_accuracy, mean_f1, std_f1, mean_rmse, std_rmse, folds_result, mean_orders_count_per_hours, mean_sharpe_ratio, mean_profit_%, mean_profit, mean_L_orders_count_per_hours, mean_L_sharpe_ratio, mean_L_profit_%, mean_L_profit
1, ['Close_norm'], None, euclidean, padding, 10, 5, 1, GradientBoostingRegressor, Close_norm, Close_norm, 0.4836, 0.055, 0.4127, 0.0951, 0.513, 0.221, D----, 0.102, 0.664, -3.374, -52.639, 0.012, 1.513, 2.282, 39.211
 1, ['Close_norm'], SAX, euclidean, padding, 10, 5, 1, GradientBoostingRegressor, Close_norm, Close_norm, 0.516, 0.061, 0.4675, 0.0928, 0.595, 0.228, +--++, 0.182, 0.906, -0.303, -1.803, 0.012, 1.319, 3.818, 64.629
 1, ['Close_norm'], None, euclidean, padding, 10, 10, 1, GradientBoostingRegressor, Close_norm, Close_norm, 0.4839, 0.0374, 0.4222, 0.0788, 0.535, 0.22, D----, 0.098, 0.659, -2.849, -45.926, 0.013, 1.511, 2.234, 38.471
 1, ['Close_norm'], SAX, euclidean, padding, 10, 10, 1, GradientBoostingRegressor, Close_norm, Close_norm, 0.5025, 0.0451, 0.4485, 0.0829, 0.614, 0.241, +--++, 0.157, 0.707, -2.033, -30.08, 0.013, 1.003, 2.642, 46.395
 1, ['Close_norm'], None, euclidean, padding, 10, 15, 1, GradientBoostingRegressor, Close_norm, Close_norm, 0.487, 0.0403, 0.4217, 0.0825, 0.541, 0.215, D----, 0.128, 0.254, -4.344, -70.85, 0.014, 1.338, 1.631, 29.072
 1, ['Close_norm'], SAX, euclidean, padding, 10, 15, 1, GradientBoostingRegressor, Close_norm, Close_norm, 0.4871, 0.0384, 0.4361, 0.067, 0.629, 0.241, +---+, 0.157, 0.667, -1.909, -30.298, 0.014, 1.423, 2.848, 49.348
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, euclidean, padding, 10, 5, 1, GradientBoostingRegressor, Close_norm, Close_norm, 0.4822, 0.0476, 0.4217, 0.0775, 0.525, 0.214, D--++, 0.114, 0.94, -2.209, -33.702, 0.013, 0.855, 2.328, 40.472
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, euclidean, padding, 10, 5, 1, GradientBoostingRegressor, Close_norm, Close_norm, 0.4797, 0.0326, 0.4187, 0.0639, 0.834, 0.241, D--++, 0.073, 0.839, -0.348, 0.084, 0.013, 0.946, 3.259, 57.365
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], SAX, euclidean, padding, 10, 5, 1, GradientBoostingRegressor, Close_norm, Close_norm, 0.4846, 0.0706, 0.433, 0.0882, 0.577, 0.216, +---+, 0.151, 0.521, -2.997, -42.451, 0.013, 0.875, 1.935, 36.097
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, euclidean, padding, 10, 10, 1, GradientBoostingRegressor, Close_norm, Close_norm, 0.4849, 0.0506, 0.4239, 0.0875, 0.55, 0.229, D----, 0.121, 0.705, -2.859, -45.507, 0.013, 1.336, 2.3, 39.667
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, euclidean, padding, 10, 10, 1, GradientBoostingRegressor, Close_norm, Close_norm, 0.4771, 0.0395, 0.4105, 0.0724, 0.926, 0.315, D--++, 0.102, 0.526, -1.992, -29.484, 0.013, 1.672, 2.733, 47.679
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], SAX, euclidean, padding, 10, 10, 1, GradientBoostingRegressor, Close_norm, Close_norm, 0.5066, 0.0497, 0.4545, 0.0903, 0.598, 0.226, D--++, 0.159, 1.232, -0.758, -9.971, 0.013, 1.434, 3.35, 57.436
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, euclidean, padding, 10, 15, 1, GradientBoostingRegressor, Close_norm, Close_norm, 0.4883, 0.0321, 0.4158, 0.0822, 0.575, 0.236, D----, 0.118, 0.54, -2.911, -46.9, 0.014, 1.351, 2.202, 38.832
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, euclidean, padding, 10, 15, 1, GradientBoostingRegressor, Close_norm, Close_norm, 0.4623, 0.044, 0.3962, 0.0645, 0.964, 0.352, D---+, 0.075, 0.336, -3.004, -45.606, 0.014, 1.36, 2.156, 39.479
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], SAX, euclidean, padding, 10, 15, 1, GradientBoostingRegressor, Close_norm, Close_norm, 0.4941, 0.042, 0.4441, 0.0752, 0.642, 0.252, +--++, 0.162, 0.603, -1.8, -27.293, 0.014, 1.06, 2.757, 48.636
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, euclidean, padding, 10, 5, 1, GradientBoostingRegressor, Close_norm, Close_norm, 0.4836, 0.0521, 0.4251, 0.0838, 0.511, 0.217, D---+, 0.107, 0.439, -4.242, -65.51, 0.012, 1.309, 1.848, 32.775
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], SAX, euclidean, padding, 10, 5, 1, GradientBoostingRegressor, Close_norm, Close_norm, 0.4985, 0.069, 0.4544, 0.0866, 0.577, 0.214, +--++, 0.159, 1.313, -0.556, -4.799, 0.012, 1.802, 3.691, 63.13
