No. of features, selected_features, transformer, sim_func, fix_len_func, k stock, window_len, next_t, model, target_col, sim_col, mean_accuracy, std_accuracy, mean_f1, std_f1, mean_rmse, std_rmse,mean_orders_count_per_hours, folds_result, mean_sharpe_ratio, mean_profit_%, mean_profit
7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, euclidean, padding, 10, 5, 1, GradientBoostingClassifier, Close_norm, Close_norm, 0.5027, 0.036, 0.4914, 0.0414, NaN, NaN, 0.293, ++-+-, 0.909, 0.226, -4.443
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], SAX, euclidean, padding, 10, 5, 1, GradientBoostingClassifier, Close_norm, Close_norm, 0.5051, 0.0663, 0.486, 0.0545, NaN, NaN, 0.222, +--+-, 0.555, -0.972, -16.514
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, euclidean, time_join, 10, 5, 1, GradientBoostingClassifier, Close_norm, Close_norm, 0.5052, 0.0374, 0.4937, 0.0431, NaN, NaN, 0.316, ++-+-, 0.659, 0.546, 4.425
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], SAX, euclidean, time_join, 10, 5, 1, GradientBoostingClassifier, Close_norm, Close_norm, 0.5051, 0.0663, 0.4869, 0.0548, NaN, NaN, 0.227, +--++, 0.695, -0.683, -10.72
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, euclidean, delay_time_join, 10, 5, 1, GradientBoostingClassifier, Close_norm, Close_norm, 0.5253, 0.0648, 0.5123, 0.0764, NaN, NaN, 0.306, ++-++, 1.349, 1.427, 24.514
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], SAX, euclidean, delay_time_join, 10, 5, 1, GradientBoostingClassifier, Close_norm, Close_norm, 0.5378, 0.0506, 0.517, 0.0426, NaN, NaN, 0.247, +--++, 1.342, 3.633, 66.122
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, euclidean, pip, 10, 5, 1, GradientBoostingClassifier, Close_norm, Close_norm, 0.5102, 0.0323, 0.4986, 0.0394, NaN, NaN, 0.265, ++-+-, 1.04, 2.97, 46.355
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], SAX, euclidean, pip, 10, 5, 1, GradientBoostingClassifier, Close_norm, Close_norm, 0.4973, 0.0743, 0.482, 0.0642, NaN, NaN, 0.245, +--++, 1.041, -1.321, -19.328
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, pearson, padding, 10, 5, 1, GradientBoostingClassifier, Close_norm, Close_norm, 0.4875, 0.064, 0.4755, 0.0669, NaN, NaN, 0.308, +--+-, 0.731, 0.317, 1.418
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], SAX, pearson, padding, 10, 5, 1, GradientBoostingClassifier, Close_norm, Close_norm, 0.5052, 0.0693, 0.4842, 0.0652, NaN, NaN, 0.247, +--++, 0.844, -0.046, -0.405
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, pearson, time_join, 10, 5, 1, GradientBoostingClassifier, Close_norm, Close_norm, 0.4923, 0.054, 0.4794, 0.0519, NaN, NaN, 0.275, +--++, 1.096, 2.721, 51.052
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], SAX, pearson, time_join, 10, 5, 1, GradientBoostingClassifier, Close_norm, Close_norm, 0.5051, 0.062, 0.4833, 0.0549, NaN, NaN, 0.232, +--++, 0.873, 0.137, 3.273
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, pearson, delay_time_join, 10, 5, 1, GradientBoostingClassifier, Close_norm, Close_norm, 0.5228, 0.0582, 0.5058, 0.0577, NaN, NaN, 0.326, +--++, 1.058, 0.484, 10.002
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], SAX, pearson, delay_time_join, 10, 5, 1, GradientBoostingClassifier, Close_norm, Close_norm, 0.5152, 0.0489, 0.4894, 0.0474, NaN, NaN, 0.237, +--++, 0.765, 0.515, 9.901
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, pearson, pip, 10, 5, 1, GradientBoostingClassifier, Close_norm, Close_norm, 0.5203, 0.0344, 0.5088, 0.0476, NaN, NaN, 0.263, ++-++, 0.888, 2.501, 42.143
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], SAX, pearson, pip, 10, 5, 1, GradientBoostingClassifier, Close_norm, Close_norm, 0.5075, 0.0537, 0.4878, 0.0499, NaN, NaN, 0.263, +-+++, 1.006, 3.585, 65.497
