No. of features, selected_features, transformer, sim_func, fix_len_func, k stock, window_len, next_t, model, target_col, sim_col, mean_accuracy, std_accuracy, mean_f1, std_f1, mean_rmse, std_rmse,mean_orders_count_per_hours, folds_result, mean_sharpe_ratio, mean_profit_%, mean_profit
7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, euclidean, padding, 25, 5, 1, GradientBoostingClassifier, Close_norm, Close_norm, 0.4824, 0.063, 0.4727, 0.0673, NaN, NaN, 0.283, +--++, 1.013, -0.899, -13.796
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], SAX, euclidean, padding, 25, 5, 1, GradientBoostingClassifier, Close_norm, Close_norm, 0.4876, 0.0638, 0.4605, 0.0632, NaN, NaN, 0.273, ++-+-, 0.646, 0.979, 9.523
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, euclidean, time_join, 25, 5, 1, GradientBoostingClassifier, Close_norm, Close_norm, 0.4874, 0.0566, 0.4745, 0.0607, NaN, NaN, 0.281, +--+-, 0.82, -2.407, -40.776
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], SAX, euclidean, time_join, 25, 5, 1, GradientBoostingClassifier, Close_norm, Close_norm, 0.5176, 0.043, 0.4958, 0.0386, NaN, NaN, 0.26, ++-++, 1.583, 2.357, 43.826
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, euclidean, delay_time_join, 25, 5, 1, GradientBoostingClassifier, Close_norm, Close_norm, 0.51, 0.0281, 0.502, 0.0264, NaN, NaN, 0.293, ++-++, 0.947, -0.364, 0.536
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], SAX, euclidean, delay_time_join, 25, 5, 1, GradientBoostingClassifier, Close_norm, Close_norm, 0.5226, 0.0485, 0.4964, 0.045, NaN, NaN, 0.243, +--++, 1.378, 2.864, 55.379
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, euclidean, pip, 25, 5, 1, GradientBoostingClassifier, Close_norm, Close_norm, 0.4875, 0.0466, 0.4742, 0.0506, NaN, NaN, 0.308, +---+, 0.14, -1.408, -21.006
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], SAX, euclidean, pip, 25, 5, 1, GradientBoostingClassifier, Close_norm, Close_norm, 0.5024, 0.0613, 0.4848, 0.0499, NaN, NaN, 0.227, +--++, 0.834, -1.819, -22.225
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, pearson, padding, 25, 5, 1, GradientBoostingClassifier, Close_norm, Close_norm, 0.495, 0.0541, 0.484, 0.0565, NaN, NaN, 0.288, ++-++, 1.087, -2.413, -38.317
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], SAX, pearson, padding, 25, 5, 1, GradientBoostingClassifier, Close_norm, Close_norm, 0.5001, 0.0577, 0.4798, 0.0424, NaN, NaN, 0.257, +--+-, 0.737, -1.068, -19.342
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, pearson, time_join, 25, 5, 1, GradientBoostingClassifier, Close_norm, Close_norm, 0.505, 0.0563, 0.4989, 0.0553, NaN, NaN, 0.295, ++-++, 1.093, -2.285, -35.716
