No. of features, selected_features, transformer, sim_func, fix_len_func, k stock, window_len, next_t, model, target_col, sim_col, mean_accuracy, std_accuracy, mean_f1, std_f1, mean_rmse, std_rmse,mean_orders_count_per_hours, folds_result, mean_sharpe_ratio, mean_profit_%, mean_profit
7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, euclidean, padding, 50, 5, 1, GradientBoostingClassifier, Close_norm, Close_norm, 0.4925, 0.0179, 0.478, 0.0329, NaN, NaN, 0.281, ++--+, 0.848, -0.629, -11.131
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], SAX, euclidean, padding, 50, 5, 1, GradientBoostingClassifier, Close_norm, Close_norm, 0.5176, 0.043, 0.501, 0.048, NaN, NaN, 0.283, ---++, 1.115, -0.116, 5.624
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, euclidean, time_join, 50, 5, 1, GradientBoostingClassifier, Close_norm, Close_norm, 0.5001, 0.0125, 0.4849, 0.0311, NaN, NaN, 0.26, ++-+-, 0.987, -0.464, -10.66
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], SAX, euclidean, time_join, 50, 5, 1, GradientBoostingClassifier, Close_norm, Close_norm, 0.5202, 0.051, 0.5014, 0.0518, NaN, NaN, 0.291, ---++, 1.104, 0.284, 13.816
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, euclidean, delay_time_join, 50, 5, 1, GradientBoostingClassifier, Close_norm, Close_norm, 0.5229, 0.0409, 0.5059, 0.0582, NaN, NaN, 0.296, +-++-, 0.74, 3.325, 47.464
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], SAX, euclidean, delay_time_join, 50, 5, 1, GradientBoostingClassifier, Close_norm, Close_norm, 0.5102, 0.0518, 0.4954, 0.0409, NaN, NaN, 0.296, +-+-+, 1.004, 0.525, 10.342
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, euclidean, pip, 50, 5, 1, GradientBoostingClassifier, Close_norm, Close_norm, 0.4874, 0.0277, 0.478, 0.0317, NaN, NaN, 0.346, ++-+-, 0.746, -2.433, -41.702
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], SAX, euclidean, pip, 50, 5, 1, GradientBoostingClassifier, Close_norm, Close_norm, 0.515, 0.0544, 0.5002, 0.0455, NaN, NaN, 0.311, +---+, 0.872, -0.786, -6.285
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, pearson, padding, 50, 5, 1, GradientBoostingClassifier, Close_norm, Close_norm, 0.4949, 0.0254, 0.479, 0.0302, NaN, NaN, 0.286, +--++, 0.8, 1.803, 31.962
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], SAX, pearson, padding, 50, 5, 1, GradientBoostingClassifier, Close_norm, Close_norm, 0.4898, 0.0489, 0.4796, 0.0421, NaN, NaN, 0.323, ----+, 0.9, -0.634, -6.341
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, pearson, time_join, 50, 5, 1, GradientBoostingClassifier, Close_norm, Close_norm, 0.5, 0.0265, 0.4845, 0.0344, NaN, NaN, 0.309, +--+-, 0.477, -0.059, -5.544
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], SAX, pearson, time_join, 50, 5, 1, GradientBoostingClassifier, Close_norm, Close_norm, 0.4823, 0.0417, 0.4684, 0.0296, NaN, NaN, 0.323, ----+, 0.539, -1.266, -16.92
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, pearson, delay_time_join, 50, 5, 1, GradientBoostingClassifier, Close_norm, Close_norm, 0.4799, 0.0253, 0.4687, 0.0377, NaN, NaN, 0.336, +-++-, 0.496, 1.82, 22.593
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], SAX, pearson, delay_time_join, 50, 5, 1, GradientBoostingClassifier, Close_norm, Close_norm, 0.4799, 0.0438, 0.4656, 0.0336, NaN, NaN, 0.336, +---+, 0.741, -0.542, -6.401
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, pearson, pip, 50, 5, 1, GradientBoostingClassifier, Close_norm, Close_norm, 0.5024, 0.0291, 0.4866, 0.0117, NaN, NaN, 0.326, ++-++, 0.583, 0.405, 8.317
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], SAX, pearson, pip, 50, 5, 1, GradientBoostingClassifier, Close_norm, Close_norm, 0.4899, 0.0729, 0.4727, 0.0629, NaN, NaN, 0.341, +---+, 0.441, -1.739, -24.894
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, co-integration, padding, 50, 5, 1, GradientBoostingClassifier, Close_norm, Close_norm, 0.5027, 0.0369, 0.4838, 0.0337, NaN, NaN, 0.303, +--+-, 0.426, 0.743, 6.859
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], SAX, co-integration, padding, 50, 5, 1, GradientBoostingClassifier, Close_norm, Close_norm, 0.5077, 0.0372, 0.4984, 0.0389, NaN, NaN, 0.227, +-++-, 1.315, 3.597, 55.601
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, co-integration, time_join, 50, 5, 1, GradientBoostingClassifier, Close_norm, Close_norm, 0.5051, 0.0326, 0.4805, 0.0309, NaN, NaN, 0.278, +-++-, 0.568, 2.965, 41.67
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], SAX, co-integration, time_join, 50, 5, 1, GradientBoostingClassifier, Close_norm, Close_norm, 0.505, 0.0248, 0.4937, 0.0287, NaN, NaN, 0.22, +-+++, 1.543, 3.581, 58.113
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, co-integration, delay_time_join, 50, 5, 1, GradientBoostingClassifier, Close_norm, Close_norm, 0.4924, 0.0401, 0.4871, 0.0406, NaN, NaN, 0.364, +--++, 0.55, 0.8, 14.719
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], SAX, co-integration, delay_time_join, 50, 5, 1, GradientBoostingClassifier, Close_norm, Close_norm, 0.4772, 0.0386, 0.4671, 0.0431, NaN, NaN, 0.298, --+-+, 1.25, -0.182, 2.528
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, co-integration, pip, 50, 5, 1, GradientBoostingClassifier, Close_norm, Close_norm, 0.5, 0.0362, 0.4822, 0.0374, NaN, NaN, 0.366, +--++, 0.543, 2.504, 43.429
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], SAX, co-integration, pip, 50, 5, 1, GradientBoostingClassifier, Close_norm, Close_norm, 0.5104, 0.0845, 0.494, 0.0917, NaN, NaN, 0.331, ++++-, 0.52, 5.426, 83.267
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, sax, padding, 50, 5, 1, GradientBoostingClassifier, Close_norm, Close_norm, 0.5176, 0.0578, 0.5023, 0.0561, NaN, NaN, 0.26, ++-++, 0.785, 2.115, 37.428
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], SAX, sax, padding, 50, 5, 1, GradientBoostingClassifier, Close_norm, Close_norm, 0.5051, 0.0397, 0.4824, 0.0381, NaN, NaN, 0.253, +-+-+, 0.737, 0.971, 16.222
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, sax, time_join, 50, 5, 1, GradientBoostingClassifier, Close_norm, Close_norm, 0.4874, 0.0446, 0.4706, 0.0512, NaN, NaN, 0.23, ++-++, 0.716, -0.256, -6.816
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], SAX, sax, time_join, 50, 5, 1, GradientBoostingClassifier, Close_norm, Close_norm, 0.5051, 0.0409, 0.4895, 0.0329, NaN, NaN, 0.26, +-+-+, 1.246, 0.412, 5.294
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, sax, delay_time_join, 50, 5, 1, GradientBoostingClassifier, Close_norm, Close_norm, 0.4849, 0.0619, 0.4662, 0.0703, NaN, NaN, 0.286, +--+-, 0.165, -1.599, -28.506
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], SAX, sax, delay_time_join, 50, 5, 1, GradientBoostingClassifier, Close_norm, Close_norm, 0.4774, 0.0638, 0.456, 0.0541, NaN, NaN, 0.263, +----, -0.118, -2.112, -36.579
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, sax, pip, 50, 5, 1, GradientBoostingClassifier, Close_norm, Close_norm, 0.5278, 0.0186, 0.5148, 0.0212, NaN, NaN, 0.273, ++-++, 0.929, 1.522, 29.035
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], SAX, sax, pip, 50, 5, 1, GradientBoostingClassifier, Close_norm, Close_norm, 0.4975, 0.0441, 0.486, 0.0453, NaN, NaN, 0.242, +-+++, 0.818, 2.138, 39.196
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, dtw, padding, 50, 5, 1, GradientBoostingClassifier, Close_norm, Close_norm, 0.5001, 0.0463, 0.4865, 0.0514, NaN, NaN, 0.321, +----, 0.143, -3.057, -55.741
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], SAX, dtw, padding, 50, 5, 1, GradientBoostingClassifier, Close_norm, Close_norm, 0.4975, 0.0383, 0.4827, 0.026, NaN, NaN, 0.278, ++--+, 0.898, -0.282, -4.294
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, dtw, time_join, 50, 5, 1, GradientBoostingClassifier, Close_norm, Close_norm, 0.5076, 0.0457, 0.4957, 0.0453, NaN, NaN, 0.352, +--+-, 0.473, -1.263, -23.217
