No. of features, selected_features, transformer, sim_func, fix_len_func, k stock, window_len, next_t, model, target_col, sim_col, mean_accuracy, std_accuracy, mean_f1, std_f1, mean_rmse, std_rmse,mean_orders_count_per_hours, folds_result, mean_sharpe_ratio, mean_profit_%, mean_profit
1, ['Close_norm'], None, euclidean, padding, 25, 5, 1, GradientBoostingRegressor, Close_proc, Close_norm, 0.4886, 0.0749, 0.4441, 0.1009, 0.009, 0.003, 0.145, ---++, 0.563, -4.209, -60.476
 1, ['Close_norm'], None, euclidean, padding, 25, 10, 1, GradientBoostingRegressor, Close_proc, Close_norm, 0.5159, 0.0437, 0.4493, 0.0809, 0.008, 0.003, 0.114, ++-++, 1.508, 3.978, 65.711
 1, ['Close_norm'], None, euclidean, padding, 25, 15, 1, GradientBoostingRegressor, Close_proc, Close_norm, 0.5041, 0.0562, 0.4398, 0.0876, 0.008, 0.003, 0.131, X-+-+, 0.18, -1.421, -19.772
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, euclidean, padding, 25, 5, 1, GradientBoostingRegressor, Close_proc, Close_norm, 0.5026, 0.0493, 0.4848, 0.0581, 0.008, 0.003, 0.243, +---+, 0.723, -1.341, -23.486
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, euclidean, padding, 25, 5, 1, GradientBoostingRegressor, Close_proc, Close_norm, 0.5254, 0.0752, 0.4952, 0.0843, 0.008, 0.003, 0.17, +--+-, -0.083, 2.584, 38.538
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, euclidean, padding, 25, 10, 1, GradientBoostingRegressor, Close_proc, Close_norm, 0.5202, 0.0505, 0.5069, 0.0495, 0.008, 0.002, 0.396, +-+-+, 0.168, 2.174, 36.96
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, euclidean, padding, 25, 10, 1, GradientBoostingRegressor, Close_proc, Close_norm, 0.4933, 0.0191, 0.457, 0.0239, 0.008, 0.003, 0.135, --+++, 1.081, 3.891, 66.763
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, euclidean, padding, 25, 15, 1, GradientBoostingRegressor, Close_proc, Close_norm, 0.5204, 0.0489, 0.4767, 0.0618, 0.008, 0.003, 0.272, ++---, 0.31, -1.186, -28.529
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, euclidean, padding, 25, 15, 1, GradientBoostingRegressor, Close_proc, Close_norm, 0.4623, 0.0395, 0.3567, 0.0368, 0.008, 0.003, 0.067, +---X, -0.007, -3.521, -51.841
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, euclidean, padding, 25, 5, 1, GradientBoostingRegressor, Close_proc, Close_norm, 0.4961, 0.0463, 0.4843, 0.0553, 0.008, 0.003, 0.185, ---++, 0.472, -1.752, -22.612
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, euclidean, padding, 25, 10, 1, GradientBoostingRegressor, Close_proc, Close_norm, 0.5134, 0.0438, 0.4621, 0.0359, 0.008, 0.003, 0.141, ++++-, 1.214, 5.848, 92.449
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, euclidean, padding, 25, 15, 1, GradientBoostingRegressor, Close_proc, Close_norm, 0.4673, 0.0311, 0.4409, 0.0592, 0.008, 0.003, 0.162, +----, 0.282, -3.728, -60.952
 1, ['Close_norm'], None, euclidean, time_join, 25, 5, 1, GradientBoostingRegressor, Close_proc, Close_norm, 0.4786, 0.0654, 0.436, 0.0924, 0.009, 0.003, 0.16, ---++, 0.516, -3.697, -50.779
 1, ['Close_norm'], None, euclidean, time_join, 25, 10, 1, GradientBoostingRegressor, Close_proc, Close_norm, 0.5133, 0.0395, 0.445, 0.0773, 0.008, 0.003, 0.141, ++-+-, 1.538, 2.193, 33.844
 1, ['Close_norm'], None, euclidean, time_join, 25, 15, 1, GradientBoostingRegressor, Close_proc, Close_norm, 0.4985, 0.0538, 0.4352, 0.0845, 0.008, 0.003, 0.125, X-+-+, -0.023, -1.739, -25.266
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, euclidean, time_join, 25, 5, 1, GradientBoostingRegressor, Close_proc, Close_norm, 0.5075, 0.0551, 0.4916, 0.0644, 0.008, 0.003, 0.227, +---+, 0.692, -1.282, -19.981
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, euclidean, time_join, 25, 5, 1, GradientBoostingRegressor, Close_proc, Close_norm, 0.5254, 0.0752, 0.4817, 0.0941, 0.008, 0.003, 0.169, +--+-, 0.064, 3.5, 57.424
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, euclidean, time_join, 25, 10, 1, GradientBoostingRegressor, Close_proc, Close_norm, 0.5041, 0.0553, 0.4869, 0.0534, 0.008, 0.002, 0.345, +-+--, -0.471, 0.515, 2.439
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, euclidean, time_join, 25, 10, 1, GradientBoostingRegressor, Close_proc, Close_norm, 0.5122, 0.0326, 0.4748, 0.0346, 0.008, 0.003, 0.132, --+++, 1.209, 5.17, 89.713
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, euclidean, time_join, 25, 15, 1, GradientBoostingRegressor, Close_proc, Close_norm, 0.5031, 0.066, 0.475, 0.0602, 0.008, 0.003, 0.283, ++---, 0.225, -2.742, -58.543
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, euclidean, time_join, 25, 15, 1, GradientBoostingRegressor, Close_proc, Close_norm, 0.4739, 0.0213, 0.3767, 0.043, 0.008, 0.003, 0.061, +--+X, 0.2, -0.2, 5.869
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, euclidean, time_join, 25, 5, 1, GradientBoostingRegressor, Close_proc, Close_norm, 0.4862, 0.0372, 0.4672, 0.0418, 0.008, 0.003, 0.167, ---+-, 0.321, -2.838, -43.224
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, euclidean, time_join, 25, 10, 1, GradientBoostingRegressor, Close_proc, Close_norm, 0.5187, 0.0462, 0.4717, 0.0441, 0.008, 0.003, 0.146, ++++-, 1.291, 5.856, 93.239
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, euclidean, time_join, 25, 15, 1, GradientBoostingRegressor, Close_proc, Close_norm, 0.4729, 0.0301, 0.4485, 0.0603, 0.008, 0.003, 0.154, +----, -0.079, -4.285, -72.196
