No. of features, selected_features, transformer, sim_func, fix_len_func, k stock, window_len, next_t, model, target_col, sim_col, mean_accuracy, std_accuracy, mean_f1, std_f1, mean_rmse, std_rmse, folds_result, mean_orders_count_per_hours, mean_sharpe_ratio, mean_profit_%, mean_profit, mean_L_orders_count_per_hours, mean_L_sharpe_ratio, mean_L_profit_%, mean_L_profit
1, ['Close_norm'], None, euclidean, delay_time_join, 50, 5, 1, LSTM, Close_norm, Close_norm, 0.4864, 0.0646, 0.3958, 0.0413, 0.295, 0.175, ++---, 0.125, -0.017, -2.637, -47.358, 0.012, 0.173, 2.651, 41.851
 1, ['Close_norm'], SAX, euclidean, delay_time_join, 50, 5, 1, LSTM, Close_norm, Close_norm, 0.536, 0.0404, 0.4954, 0.0784, 0.582, 0.257, +++-+, 0.242, 0.956, 1.61, 23.404, 0.012, 1.049, 4.774, 77.232
 1, ['Close_norm'], None, euclidean, delay_time_join, 50, 10, 1, LSTM, Close_norm, Close_norm, 0.492, 0.0527, 0.4402, 0.0777, 0.369, 0.212, D-+++, 0.205, 0.075, 0.162, 5.531, 0.013, 0.701, 3.74, 64.2
 1, ['Close_norm'], SAX, euclidean, delay_time_join, 50, 10, 1, LSTM, Close_norm, Close_norm, 0.508, 0.0344, 0.475, 0.0545, 0.614, 0.263, -+++-, 0.218, 1.146, 2.916, 47.597, 0.013, 1.098, 5.117, 85.233
 1, ['Close_norm'], None, euclidean, delay_time_join, 50, 15, 1, LSTM, Close_norm, Close_norm, 0.4873, 0.0563, 0.4056, 0.1, 0.4, 0.208, -D++-, 0.148, 0.297, 1.054, 18.076, 0.014, 0.681, 4.33, 73.536
 1, ['Close_norm'], SAX, euclidean, delay_time_join, 50, 15, 1, LSTM, Close_norm, Close_norm, 0.5299, 0.0439, 0.4902, 0.0773, 0.625, 0.324, ---++, 0.194, 0.986, 0.76, 16.648, 0.014, 1.133, 4.183, 72.821
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, euclidean, delay_time_join, 50, 5, 1, LSTM, Close_norm, Close_norm, 0.4721, 0.0478, 0.4592, 0.0605, 0.507, 0.221, --+++, 0.275, 0.243, -0.336, 3.42, 0.013, 0.089, 3.265, 59.033
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, euclidean, delay_time_join, 50, 5, 1, LSTM, Close_norm, Close_norm, 0.4671, 0.0484, 0.4106, 0.066, 1.17, 0.478, D---+, 0.088, 0.652, -2.697, -39.692, 0.013, 1.092, 2.084, 37.477
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], SAX, euclidean, delay_time_join, 50, 5, 1, LSTM, Close_norm, Close_norm, 0.4822, 0.0473, 0.4455, 0.037, 0.592, 0.221, +-+--, 0.235, 0.349, -0.452, -11.234, 0.013, 0.458, 3.207, 51.706
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, euclidean, delay_time_join, 50, 10, 1, LSTM, Close_norm, Close_norm, 0.4718, 0.0527, 0.4248, 0.0705, 0.555, 0.246, +----, 0.183, -0.457, -4.43, -70.78, 0.013, 1.097, 1.514, 27.031
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, euclidean, delay_time_join, 50, 10, 1, LSTM, Close_norm, Close_norm, 0.5014, 0.058, 0.4359, 0.1033, 1.202, 0.422, D--+-, 0.081, 0.559, -1.94, -32.276, 0.013, 1.115, 2.759, 46.283
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], SAX, euclidean, delay_time_join, 50, 10, 1, LSTM, Close_norm, Close_norm, 0.496, 0.0132, 0.4622, 0.0403, 0.57, 0.261, ++--+, 0.188, 0.318, -0.078, -0.753, 0.013, 0.626, 3.69, 62.044
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, euclidean, delay_time_join, 50, 15, 1, LSTM, Close_norm, Close_norm, 0.4565, 0.0601, 0.4119, 0.0693, 0.639, 0.322, D---+, 0.161, -0.576, -6.123, -100.042, 0.014, 0.273, 0.596, 12.261
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, euclidean, delay_time_join, 50, 15, 1, LSTM, Close_norm, Close_norm, 0.4711, 0.0573, 0.3963, 0.0873, 1.381, 0.496, D--+-, 0.061, 0.125, -4.218, -67.768, 0.014, 0.545, 1.548, 28.398
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], SAX, euclidean, delay_time_join, 50, 15, 1, LSTM, Close_norm, Close_norm, 0.4971, 0.0222, 0.4588, 0.0478, 0.666, 0.335, +----, 0.208, 0.142, -4.593, -78.311, 0.014, 1.068, 1.361, 23.126
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, euclidean, delay_time_join, 50, 5, 1, LSTM, Close_norm, Close_norm, 0.5388, 0.0602, 0.5047, 0.07, 0.36, 0.134, +-++-, 0.197, 1.378, 4.718, 74.173, 0.012, 1.32, 6.328, 102.616
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], SAX, euclidean, delay_time_join, 50, 5, 1, LSTM, Close_norm, Close_norm, 0.5436, 0.0202, 0.514, 0.0117, 0.555, 0.253, ++++-, 0.149, 1.542, 3.774, 55.372, 0.012, 1.339, 5.856, 93.216
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, euclidean, delay_time_join, 50, 10, 1, LSTM, Close_norm, Close_norm, 0.516, 0.0425, 0.4798, 0.0873, 0.464, 0.253, ---+-, 0.228, 0.2, -1.04, -19.426, 0.013, 0.239, 3.139, 51.722
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], SAX, euclidean, delay_time_join, 50, 10, 1, LSTM, Close_norm, Close_norm, 0.5107, 0.0441, 0.473, 0.0737, 0.618, 0.292, +++++, 0.149, 1.031, 3.403, 58.34, 0.013, 0.971, 5.36, 90.604
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, euclidean, delay_time_join, 50, 15, 1, LSTM, Close_norm, Close_norm, 0.4871, 0.06, 0.459, 0.0804, 0.422, 0.247, --+--, 0.188, 0.385, -1.436, -26.983, 0.014, 0.602, 3.085, 51.006
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], SAX, euclidean, delay_time_join, 50, 15, 1, LSTM, Close_norm, Close_norm, 0.5101, 0.0352, 0.4614, 0.0809, 0.632, 0.278, ----+, 0.14, 0.855, -0.745, -11.247, 0.014, 1.004, 3.43, 58.874
 1, ['Close_norm'], None, pearson, delay_time_join, 50, 5, 1, LSTM, Close_norm, Close_norm, 0.469, 0.0566, 0.4087, 0.0741, 0.317, 0.172, +----, 0.142, -0.025, -4.699, -74.798, 0.012, 0.8, 1.62, 28.131
 1, ['Close_norm'], SAX, pearson, delay_time_join, 50, 5, 1, LSTM, Close_norm, Close_norm, 0.5187, 0.0185, 0.4961, 0.0383, 0.569, 0.248, +++++, 0.237, 1.057, 3.636, 61.417, 0.012, 1.09, 5.787, 96.239
 1, ['Close_norm'], None, pearson, delay_time_join, 50, 10, 1, LSTM, Close_norm, Close_norm, 0.4919, 0.0457, 0.4268, 0.0749, 0.398, 0.153, D-++-, 0.189, 0.338, -0.021, -2.305, 0.013, 1.446, 3.648, 60.282
 1, ['Close_norm'], SAX, pearson, delay_time_join, 50, 10, 1, LSTM, Close_norm, Close_norm, 0.4868, 0.0379, 0.4238, 0.0784, 0.686, 0.218, D+++-, 0.144, 0.65, 2.034, 33.153, 0.013, 0.681, 4.676, 78.011
 1, ['Close_norm'], None, pearson, delay_time_join, 50, 15, 1, LSTM, Close_norm, Close_norm, 0.4557, 0.0535, 0.3825, 0.0552, 0.352, 0.163, D-+-+, 0.194, -0.401, -0.189, 2.559, 0.014, 0.089, 3.708, 65.777
 1, ['Close_norm'], SAX, pearson, delay_time_join, 50, 15, 1, LSTM, Close_norm, Close_norm, 0.5384, 0.0615, 0.49, 0.1003, 0.641, 0.318, +-+++, 0.188, 0.793, 1.836, 32.899, 0.014, 1.389, 4.721, 80.947
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, pearson, delay_time_join, 50, 5, 1, LSTM, Close_norm, Close_norm, 0.5025, 0.0483, 0.4779, 0.0643, 0.524, 0.236, ---++, 0.258, 0.725, -1.461, -18.365, 0.013, 0.824, 2.703, 48.14
