No. of features, selected_features, transformer, sim_func, fix_len_func, k stock, window_len, next_t, model, target_col, sim_col, mean_accuracy, std_accuracy, mean_f1, std_f1, mean_rmse, std_rmse,mean_orders_count_per_hours, folds_result, mean_sharpe_ratio, mean_profit_%, mean_profit
1, ['Close_norm'], None, euclidean, padding, 50, 10, 1, RandomForestClassifier, Close_norm, Close_norm, 0.5212, 0.0395, 0.5107, 0.0382, NaN, NaN, 0.287, ++--+, 0.167, 0.27, 4.631
 1, ['Close_norm'], None, euclidean, padding, 50, 15, 1, RandomForestClassifier, Close_norm, Close_norm, 0.4956, 0.048, 0.4723, 0.0454, NaN, NaN, 0.214, +---+, 0.885, -0.001, 2.463
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, euclidean, padding, 50, 10, 1, RandomForestClassifier, Close_norm, Close_norm, 0.5309, 0.05, 0.5255, 0.0506, NaN, NaN, 0.407, +-+-+, 1.004, 7.491, 125.76
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, euclidean, padding, 50, 10, 1, RandomForestClassifier, Close_norm, Close_norm, 0.4635, 0.063, 0.4409, 0.0441, NaN, NaN, 0.208, +-++-, -0.025, 0.499, 4.278
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, euclidean, padding, 50, 15, 1, RandomForestClassifier, Close_norm, Close_norm, 0.5231, 0.0226, 0.4981, 0.0407, NaN, NaN, 0.272, +-+++, 0.573, 1.655, 28.675
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, euclidean, padding, 50, 15, 1, RandomForestClassifier, Close_norm, Close_norm, 0.5204, 0.0621, 0.4941, 0.0738, NaN, NaN, 0.199, +--++, 0.487, -1.648, -23.637
 1, ['Close_norm'], None, euclidean, time_join, 50, 10, 1, RandomForestClassifier, Close_norm, Close_norm, 0.5106, 0.0445, 0.4986, 0.0457, NaN, NaN, 0.292, ++---, 0.52, -0.701, -15.692
 1, ['Close_norm'], None, euclidean, time_join, 50, 15, 1, RandomForestClassifier, Close_norm, Close_norm, 0.5043, 0.0366, 0.4757, 0.0374, NaN, NaN, 0.228, +----, 0.684, -0.499, -10.374
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, euclidean, time_join, 50, 10, 1, RandomForestClassifier, Close_norm, Close_norm, 0.5121, 0.0521, 0.5055, 0.0532, NaN, NaN, 0.369, +-+-+, 0.698, 6.751, 112.711
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, euclidean, time_join, 50, 10, 1, RandomForestClassifier, Close_norm, Close_norm, 0.4771, 0.0422, 0.4526, 0.0174, NaN, NaN, 0.224, +-+++, 0.006, 2.125, 35.961
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, euclidean, time_join, 50, 15, 1, RandomForestClassifier, Close_norm, Close_norm, 0.5001, 0.0387, 0.4708, 0.0692, NaN, NaN, 0.293, +-+-+, 0.022, 0.786, 11.843
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, euclidean, time_join, 50, 15, 1, RandomForestClassifier, Close_norm, Close_norm, 0.5058, 0.0523, 0.4869, 0.0551, NaN, NaN, 0.202, +--++, 0.555, -1.045, -11.971
 1, ['Close_norm'], None, euclidean, delay_time_join, 50, 10, 1, RandomForestClassifier, Close_norm, Close_norm, 0.5239, 0.0213, 0.5136, 0.0214, NaN, NaN, 0.271, +++--, 0.552, 0.933, 10.644
 1, ['Close_norm'], None, euclidean, delay_time_join, 50, 15, 1, RandomForestClassifier, Close_norm, Close_norm, 0.4558, 0.0301, 0.4277, 0.0445, NaN, NaN, 0.265, -----, 0.367, -2.345, -38.622
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, euclidean, delay_time_join, 50, 10, 1, RandomForestClassifier, Close_norm, Close_norm, 0.5284, 0.0406, 0.5238, 0.0438, NaN, NaN, 0.41, ++++-, 0.435, 5.905, 90.001
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, euclidean, delay_time_join, 50, 10, 1, RandomForestClassifier, Close_norm, Close_norm, 0.5067, 0.0313, 0.4837, 0.0408, NaN, NaN, 0.213, +-+++, 0.215, 4.383, 77.663
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, euclidean, delay_time_join, 50, 15, 1, RandomForestClassifier, Close_norm, Close_norm, 0.5263, 0.0519, 0.4905, 0.0988, NaN, NaN, 0.319, ++--+, 0.379, -0.656, -10.115
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, euclidean, delay_time_join, 50, 15, 1, RandomForestClassifier, Close_norm, Close_norm, 0.4971, 0.0222, 0.4549, 0.0497, NaN, NaN, 0.188, +---+, 0.059, -1.989, -26.347
 1, ['Close_norm'], None, euclidean, pip, 50, 10, 1, RandomForestClassifier, Close_norm, Close_norm, 0.4972, 0.0402, 0.4885, 0.0337, NaN, NaN, 0.239, ++---, -0.007, -0.461, -14.922
 1, ['Close_norm'], None, euclidean, pip, 50, 15, 1, RandomForestClassifier, Close_norm, Close_norm, 0.4871, 0.0495, 0.4722, 0.0669, NaN, NaN, 0.231, +-+--, 0.313, 1.081, 12.523
