No. of features, selected_features, transformer, sim_func, fix_len_func, k stock, window_len, next_t, model, target_col, sim_col, mean_accuracy, std_accuracy, mean_f1, std_f1, mean_rmse, std_rmse,mean_orders_count_per_hours, folds_result, mean_sharpe_ratio, mean_profit_%, mean_profit
1, ['Close_norm'], None, euclidean, padding, 10, 5, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5285, 0.0699, 0.5183, 0.0672, 0.405, 0.215, 0.354, +-+++, 1.49, 6.873, 116.24
 1, ['Close_norm'], None, euclidean, padding, 10, 10, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5344, 0.0525, 0.5265, 0.0497, 0.414, 0.199, 0.287, +-+++, 1.17, 7.629, 122.596
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, euclidean, padding, 10, 5, 1, RandomForestRegressor, Close_norm, Close_norm, 0.4974, 0.0391, 0.4864, 0.0368, 0.424, 0.193, 0.3, +-++-, 1.305, 5.473, 87.658
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, euclidean, padding, 10, 10, 1, RandomForestRegressor, Close_norm, Close_norm, 0.4932, 0.0613, 0.4805, 0.0623, 0.445, 0.21, 0.299, ++-++, 1.143, -0.922, -14.243
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, euclidean, padding, 10, 5, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5136, 0.0387, 0.5049, 0.0349, 0.413, 0.213, 0.26, +-+++, 1.603, 5.023, 85.713
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, euclidean, padding, 10, 10, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5106, 0.0495, 0.4983, 0.0522, 0.442, 0.218, 0.221, +-++-, 1.169, 5.597, 90.212
 1, ['Close_norm'], None, euclidean, time_join, 10, 5, 1, RandomForestRegressor, Close_norm, Close_norm, 0.521, 0.0646, 0.5099, 0.0602, 0.402, 0.216, 0.332, +-+++, 1.53, 6.405, 108.99
 1, ['Close_norm'], None, euclidean, time_join, 10, 10, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5319, 0.0506, 0.5246, 0.0481, 0.417, 0.198, 0.25, +-++-, 1.204, 6.193, 97.047
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, euclidean, time_join, 10, 5, 1, RandomForestRegressor, Close_norm, Close_norm, 0.4948, 0.0371, 0.4831, 0.0342, 0.422, 0.192, 0.3, +-+++, 0.915, 4.702, 76.922
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, euclidean, time_join, 10, 10, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5012, 0.0667, 0.4902, 0.0687, 0.453, 0.203, 0.305, ++-++, 1.085, -0.466, -5.971
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, euclidean, time_join, 10, 5, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5211, 0.0455, 0.5096, 0.0398, 0.411, 0.214, 0.244, +-+++, 1.649, 4.628, 76.841
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, euclidean, time_join, 10, 10, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5239, 0.0647, 0.5129, 0.0681, 0.446, 0.216, 0.21, +-+++, 1.272, 7.099, 116.864
 1, ['Close_norm'], None, euclidean, delay_time_join, 10, 5, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5285, 0.0928, 0.5193, 0.0922, 0.397, 0.217, 0.356, +-+++, 1.189, 8.848, 144.888
