No. of features, selected_features, transformer, sim_func, fix_len_func, k stock, window_len, next_t, model, target_col, sim_col, mean_accuracy, std_accuracy, mean_f1, std_f1, mean_rmse, std_rmse,mean_orders_count_per_hours, folds_result, mean_sharpe_ratio, mean_profit_%, mean_profit
7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, euclidean, padding, 25, 5, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5152, 0.0574, 0.4586, 0.0995, 0.946, 0.298, 0.134, -+-++, 0.971, 1.642, 32.828
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, euclidean, padding, 25, 15, 1, RandomForestRegressor, Close_norm, Close_norm, 0.4855, 0.033, 0.4154, 0.0779, 1.06, 0.449, 0.101, X--++, 0.79, -1.06, -14.656
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, euclidean, time_join, 25, 5, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5101, 0.0536, 0.4532, 0.0937, 0.935, 0.318, 0.124, -+-++, 1.004, 0.486, 11.736
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, euclidean, time_join, 25, 15, 1, RandomForestRegressor, Close_norm, Close_norm, 0.4913, 0.039, 0.4235, 0.0846, 1.073, 0.435, 0.09, X--+-, 0.955, -2.024, -32.724
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, euclidean, delay_time_join, 25, 5, 1, RandomForestRegressor, Close_norm, Close_norm, 0.4999, 0.0434, 0.4429, 0.074, 0.963, 0.297, 0.124, ---++, 0.81, -0.121, 3.473
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, euclidean, delay_time_join, 25, 15, 1, RandomForestRegressor, Close_norm, Close_norm, 0.4739, 0.0471, 0.404, 0.0846, 1.101, 0.432, 0.078, X-X--, 0.492, -3.638, -58.821
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, euclidean, pip, 25, 5, 1, RandomForestRegressor, Close_norm, Close_norm, 0.495, 0.0608, 0.4402, 0.0925, 0.928, 0.31, 0.124, ---++, 0.77, 0.47, 13.26
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, euclidean, pip, 25, 15, 1, RandomForestRegressor, Close_norm, Close_norm, 0.471, 0.0435, 0.404, 0.0824, 1.055, 0.441, 0.072, X-X--, 0.422, -4.01, -64.57
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, pearson, padding, 25, 5, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5025, 0.0503, 0.4496, 0.0852, 0.975, 0.296, 0.114, ---++, 0.894, -1.335, -18.253
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, pearson, padding, 25, 15, 1, RandomForestRegressor, Close_norm, Close_norm, 0.4884, 0.0505, 0.4205, 0.0893, 1.071, 0.439, 0.107, X--++, 0.652, -1.194, -15.142
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, pearson, time_join, 25, 5, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5, 0.0456, 0.4452, 0.0791, 0.961, 0.321, 0.119, ---++, 0.884, -1.823, -27.189
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, pearson, time_join, 25, 15, 1, RandomForestRegressor, Close_norm, Close_norm, 0.4769, 0.0395, 0.408, 0.0759, 1.078, 0.419, 0.078, X----, 0.494, -3.031, -50.25
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, pearson, delay_time_join, 25, 5, 1, RandomForestRegressor, Close_norm, Close_norm, 0.4925, 0.0531, 0.4369, 0.0739, 0.958, 0.3, 0.109, ---+-, 0.487, -0.7, -9.109
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, pearson, delay_time_join, 25, 15, 1, RandomForestRegressor, Close_norm, Close_norm, 0.4711, 0.04, 0.4025, 0.071, 1.085, 0.441, 0.072, X----, 0.421, -3.264, -54.138
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, pearson, pip, 25, 5, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5126, 0.0534, 0.4641, 0.0954, 0.998, 0.296, 0.109, ---++, 1.161, -0.872, -11.469
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, pearson, pip, 25, 15, 1, RandomForestRegressor, Close_norm, Close_norm, 0.471, 0.0361, 0.4011, 0.0754, 1.091, 0.501, 0.072, X-X--, 0.441, -3.996, -65.163
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, co-integration, padding, 25, 5, 1, RandomForestRegressor, Close_norm, Close_norm, 0.4999, 0.0348, 0.437, 0.0789, 1.047, 0.28, 0.111, X---+, 0.64, -2.202, -31.93
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, co-integration, padding, 25, 15, 1, RandomForestRegressor, Close_norm, Close_norm, 0.4681, 0.0583, 0.3997, 0.0831, 1.138, 0.42, 0.081, -----, 0.196, -4.164, -67.785
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, co-integration, time_join, 25, 5, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5024, 0.0363, 0.4419, 0.075, 1.085, 0.264, 0.116, ----+, 0.766, -1.685, -21.141
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, co-integration, time_join, 25, 15, 1, RandomForestRegressor, Close_norm, Close_norm, 0.468, 0.0624, 0.3925, 0.0963, 1.186, 0.399, 0.067, X-X--, 0.193, -4.533, -70.836
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, co-integration, delay_time_join, 25, 5, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5125, 0.0508, 0.4468, 0.0973, 1.028, 0.357, 0.131, ---++, 0.578, -1.242, -12.357
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, co-integration, delay_time_join, 25, 15, 1, RandomForestRegressor, Close_norm, Close_norm, 0.4709, 0.0691, 0.4032, 0.0973, 1.143, 0.409, 0.084, X---+, 0.377, -3.818, -58.282
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, co-integration, pip, 25, 5, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5051, 0.0478, 0.4405, 0.0872, 0.998, 0.315, 0.126, X+-+-, 0.456, -2.185, -41.109
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, co-integration, pip, 25, 15, 1, RandomForestRegressor, Close_norm, Close_norm, 0.4826, 0.0448, 0.3892, 0.0935, 1.24, 0.438, 0.066, XX--+, 0.264, -2.885, -43.261
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, sax, padding, 25, 5, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5149, 0.0616, 0.4584, 0.1108, 0.959, 0.308, 0.144, X--++, 0.971, -0.78, -4.719
