No. of features, selected_features, transformer, sim_func, fix_len_func, k stock, window_len, next_t, model, target_col, sim_col, mean_accuracy, std_accuracy, mean_f1, std_f1, mean_rmse, std_rmse,mean_orders_count_per_hours, folds_result, mean_sharpe_ratio, mean_profit_%, mean_profit
1, ['Close_norm'], SAX, euclidean, padding, 10, 5, 1, RandomForestRegressor, Close_norm, Close_norm, 0.531, 0.0575, 0.5147, 0.0655, 0.51, 0.225, 0.277, +-+++, 0.746, 6.471, 106.099
 1, ['Close_norm'], SAX, euclidean, padding, 10, 15, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5014, 0.0321, 0.4842, 0.0274, 0.542, 0.242, 0.251, +-+--, 0.553, 3.048, 43.318
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], SAX, euclidean, padding, 10, 5, 1, RandomForestRegressor, Close_norm, Close_norm, 0.4922, 0.054, 0.4767, 0.0554, 0.505, 0.196, 0.278, +-+++, 0.987, 2.853, 51.299
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], SAX, euclidean, padding, 10, 15, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5289, 0.0611, 0.5075, 0.0666, 0.555, 0.242, 0.257, +--++, 1.29, 0.216, 4.392
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], SAX, euclidean, padding, 10, 5, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5286, 0.0241, 0.5116, 0.0398, 0.529, 0.228, 0.244, +++++, 1.319, 4.943, 78.024
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], SAX, euclidean, padding, 10, 15, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5128, 0.0504, 0.4935, 0.0411, 0.554, 0.253, 0.219, +----, 1.035, -0.307, -9.09
 1, ['Close_norm'], SAX, euclidean, time_join, 10, 5, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5309, 0.061, 0.5148, 0.0688, 0.509, 0.224, 0.307, +-+++, 0.64, 5.964, 98.107
 1, ['Close_norm'], SAX, euclidean, time_join, 10, 15, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5099, 0.0342, 0.4936, 0.0288, 0.544, 0.236, 0.256, +-+--, 0.521, 3.118, 46.026
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], SAX, euclidean, time_join, 10, 5, 1, RandomForestRegressor, Close_norm, Close_norm, 0.4872, 0.0454, 0.4716, 0.047, 0.51, 0.203, 0.273, +-+++, 0.986, 2.664, 47.979
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], SAX, euclidean, time_join, 10, 15, 1, RandomForestRegressor, Close_norm, Close_norm, 0.526, 0.0561, 0.5055, 0.0601, 0.557, 0.239, 0.249, +--++, 1.182, 1.385, 25.522
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], SAX, euclidean, time_join, 10, 5, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5113, 0.0224, 0.4956, 0.038, 0.531, 0.227, 0.234, ++++-, 1.332, 4.16, 62.049
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], SAX, euclidean, time_join, 10, 15, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5072, 0.0503, 0.4853, 0.0419, 0.556, 0.258, 0.214, +----, 0.883, -0.63, -14.824
 1, ['Close_norm'], SAX, euclidean, delay_time_join, 10, 5, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5309, 0.0715, 0.5135, 0.0801, 0.511, 0.226, 0.292, +-+++, 0.627, 6.308, 105.273
 1, ['Close_norm'], SAX, euclidean, delay_time_join, 10, 15, 1, RandomForestRegressor, Close_norm, Close_norm, 0.507, 0.0355, 0.4903, 0.0332, 0.537, 0.237, 0.251, +-++-, 0.689, 4.024, 62.664
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], SAX, euclidean, delay_time_join, 10, 5, 1, RandomForestRegressor, Close_norm, Close_norm, 0.4998, 0.0409, 0.4865, 0.0444, 0.513, 0.205, 0.273, +-+++, 1.209, 3.82, 65.714
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], SAX, euclidean, delay_time_join, 10, 15, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5115, 0.0593, 0.492, 0.0613, 0.568, 0.253, 0.243, +--++, 0.919, 0.686, 13.317
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], SAX, euclidean, delay_time_join, 10, 5, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5137, 0.0244, 0.5005, 0.036, 0.529, 0.231, 0.244, +-+++, 1.048, 3.589, 57.896
