No. of features, selected_features, transformer, sim_func, fix_len_func, k stock, window_len, next_t, model, target_col, sim_col, mean_accuracy, std_accuracy, mean_f1, std_f1, mean_rmse, std_rmse,mean_orders_count_per_hours, folds_result, mean_sharpe_ratio, mean_profit_%, mean_profit
3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, euclidean, padding, 25, 5, 1, XGBClassifier, Close_norm, Close_norm, 0.4912, 0.0315, 0.4723, 0.0416, NaN, NaN, 0.219, -++++, 1.383, 2.679, 46.672
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, euclidean, padding, 25, 10, 1, XGBClassifier, Close_norm, Close_norm, 0.5211, 0.0457, 0.5135, 0.0454, NaN, NaN, 0.255, +++-+, 0.919, 1.054, 16.031
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, euclidean, time_join, 25, 5, 1, XGBClassifier, Close_norm, Close_norm, 0.5111, 0.0551, 0.4946, 0.0643, NaN, NaN, 0.239, -++++, 1.087, 2.382, 41.722
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, euclidean, time_join, 25, 10, 1, XGBClassifier, Close_norm, Close_norm, 0.5026, 0.0186, 0.4956, 0.0174, NaN, NaN, 0.245, +++++, 1.149, 2.504, 42.695
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, euclidean, delay_time_join, 25, 5, 1, XGBClassifier, Close_norm, Close_norm, 0.4985, 0.0643, 0.486, 0.0688, NaN, NaN, 0.279, -++++, 0.982, 2.133, 38.488
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, euclidean, delay_time_join, 25, 10, 1, XGBClassifier, Close_norm, Close_norm, 0.524, 0.0187, 0.5116, 0.0235, NaN, NaN, 0.295, +++++, 0.759, 4.027, 64.312
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, euclidean, pip, 25, 5, 1, XGBClassifier, Close_norm, Close_norm, 0.5187, 0.0176, 0.5056, 0.0187, NaN, NaN, 0.204, +++-+, 1.619, 5.243, 82.017
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, euclidean, pip, 25, 10, 1, XGBClassifier, Close_norm, Close_norm, 0.5107, 0.0144, 0.4908, 0.0121, NaN, NaN, 0.197, ++++-, 0.786, 1.734, 25.349
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, pearson, padding, 25, 5, 1, XGBClassifier, Close_norm, Close_norm, 0.546, 0.0523, 0.5419, 0.0495, NaN, NaN, 0.247, +++++, 1.644, 6.242, 107.201
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, pearson, padding, 25, 10, 1, XGBClassifier, Close_norm, Close_norm, 0.5293, 0.0187, 0.5181, 0.021, NaN, NaN, 0.258, +++++, 1.0, 4.081, 62.178
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, pearson, time_join, 25, 5, 1, XGBClassifier, Close_norm, Close_norm, 0.5085, 0.0425, 0.5047, 0.0433, NaN, NaN, 0.272, +++++, 1.555, 4.726, 78.928
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, pearson, time_join, 25, 10, 1, XGBClassifier, Close_norm, Close_norm, 0.5319, 0.0171, 0.526, 0.0176, NaN, NaN, 0.3, +++++, 1.107, 4.565, 72.189
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, pearson, delay_time_join, 25, 5, 1, XGBClassifier, Close_norm, Close_norm, 0.536, 0.0507, 0.5282, 0.0506, NaN, NaN, 0.272, +-+++, 1.353, 5.207, 86.448
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, pearson, delay_time_join, 25, 10, 1, XGBClassifier, Close_norm, Close_norm, 0.4975, 0.0469, 0.4802, 0.0367, NaN, NaN, 0.284, +-++-, 0.383, 1.334, 14.801
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, pearson, pip, 25, 5, 1, XGBClassifier, Close_norm, Close_norm, 0.4863, 0.0481, 0.4764, 0.0467, NaN, NaN, 0.274, +--+-, 0.964, 0.28, 1.635
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, pearson, pip, 25, 10, 1, XGBClassifier, Close_norm, Close_norm, 0.5107, 0.0144, 0.4821, 0.0299, NaN, NaN, 0.221, +++-+, 0.404, 1.319, 20.697
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, co-integration, padding, 25, 5, 1, XGBClassifier, Close_norm, Close_norm, 0.5163, 0.0221, 0.5059, 0.0301, NaN, NaN, 0.352, -+-+-, 0.658, -0.925, -13.714
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, co-integration, padding, 25, 10, 1, XGBClassifier, Close_norm, Close_norm, 0.5452, 0.053, 0.5352, 0.0565, NaN, NaN, 0.261, +++++, 1.193, 3.868, 62.831
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, co-integration, time_join, 25, 5, 1, XGBClassifier, Close_norm, Close_norm, 0.5288, 0.0295, 0.5166, 0.0342, NaN, NaN, 0.329, -+-++, 1.042, 0.114, 7.025
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, co-integration, time_join, 25, 10, 1, XGBClassifier, Close_norm, Close_norm, 0.5268, 0.0703, 0.5129, 0.0879, NaN, NaN, 0.218, ++++-, 0.637, 2.757, 38.341
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, co-integration, delay_time_join, 25, 5, 1, XGBClassifier, Close_norm, Close_norm, 0.494, 0.0457, 0.462, 0.0633, NaN, NaN, 0.219, +-++-, 0.17, -0.326, -12.061
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, co-integration, delay_time_join, 25, 10, 1, XGBClassifier, Close_norm, Close_norm, 0.5242, 0.0675, 0.4909, 0.0876, NaN, NaN, 0.165, +-+--, 0.3, 1.244, 15.685
