No. of features, selected_features, transformer, sim_func, fix_len_func, k stock, window_len, next_t, model, target_col, sim_col, mean_accuracy, std_accuracy, mean_f1, std_f1, mean_rmse, std_rmse, folds_result, mean_orders_count_per_hours, mean_sharpe_ratio, mean_profit_%, mean_profit, mean_L_orders_count_per_hours, mean_L_sharpe_ratio, mean_L_profit_%, mean_L_profit
1, ['Close_norm'], None, euclidean, padding, 50, 5, 1, GradientBoostingClassifier, Close_norm, Close_norm, 0.4811, 0.0401, 0.4512, 0.0615, NaN, NaN, +---+, 0.242, 0.297, -3.078, -44.139, 0.012, 1.068, 2.43, 43.46
 1, ['Close_norm'], SAX, euclidean, padding, 50, 5, 1, GradientBoostingClassifier, Close_norm, Close_norm, 0.4562, 0.0477, 0.3953, 0.0557, NaN, NaN, +---+, 0.155, 0.115, -3.53, -52.983, 0.012, 0.994, 2.204, 39.039
 1, ['Close_norm'], None, euclidean, padding, 50, 10, 1, GradientBoostingClassifier, Close_norm, Close_norm, 0.4708, 0.0221, 0.4376, 0.0299, NaN, NaN, +-+-+, 0.186, 0.451, 2.653, 40.837, 0.013, 0.758, 4.985, 81.853
 1, ['Close_norm'], SAX, euclidean, padding, 50, 10, 1, GradientBoostingClassifier, Close_norm, Close_norm, 0.4735, 0.0425, 0.4302, 0.0429, NaN, NaN, +-+-+, 0.13, 0.284, -0.023, -4.796, 0.013, 0.439, 3.647, 59.036
 1, ['Close_norm'], None, euclidean, padding, 50, 15, 1, GradientBoostingClassifier, Close_norm, Close_norm, 0.4871, 0.0751, 0.4429, 0.1006, NaN, NaN, +--++, 0.185, 0.475, -1.456, -19.306, 0.014, 1.183, 3.075, 54.845
 1, ['Close_norm'], SAX, euclidean, padding, 50, 15, 1, GradientBoostingClassifier, Close_norm, Close_norm, 0.4814, 0.0311, 0.425, 0.0752, NaN, NaN, D-++-, 0.162, 0.337, -2.493, -42.471, 0.014, 1.178, 2.556, 43.262
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, euclidean, padding, 50, 5, 1, GradientBoostingClassifier, Close_norm, Close_norm, 0.4925, 0.0179, 0.478, 0.0329, NaN, NaN, ++--+, 0.281, 0.848, -0.629, -11.131, 0.013, 0.855, 3.118, 51.757
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, euclidean, padding, 50, 5, 1, GradientBoostingClassifier, Close_norm, Close_norm, 0.5154, 0.0911, 0.4645, 0.1184, NaN, NaN, +--+-, 0.101, 0.313, -0.531, -10.488, 0.013, 0.45, 3.167, 52.079
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], SAX, euclidean, padding, 50, 5, 1, GradientBoostingClassifier, Close_norm, Close_norm, 0.5176, 0.043, 0.501, 0.048, NaN, NaN, ---++, 0.283, 1.115, -0.116, 5.624, 0.013, 1.173, 3.375, 60.135
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, euclidean, padding, 50, 10, 1, GradientBoostingClassifier, Close_norm, Close_norm, 0.5312, 0.0532, 0.5268, 0.0527, NaN, NaN, +++-+, 0.448, 1.193, 6.236, 99.404, 0.013, 1.09, 6.847, 112.123
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, euclidean, padding, 50, 10, 1, GradientBoostingClassifier, Close_norm, Close_norm, 0.5175, 0.0381, 0.4684, 0.0344, NaN, NaN, --+++, 0.137, 0.454, 4.97, 89.83, 0.013, 0.585, 6.214, 107.336
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], SAX, euclidean, padding, 50, 10, 1, GradientBoostingClassifier, Close_norm, Close_norm, 0.5229, 0.0688, 0.5107, 0.0741, NaN, NaN, +-+++, 0.326, 0.874, 3.337, 56.584, 0.013, 1.847, 5.398, 90.713
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, euclidean, padding, 50, 15, 1, GradientBoostingClassifier, Close_norm, Close_norm, 0.529, 0.0399, 0.4906, 0.0748, NaN, NaN, ++-++, 0.321, 0.416, 1.599, 26.767, 0.014, 0.603, 4.457, 75.665
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, euclidean, padding, 50, 15, 1, GradientBoostingClassifier, Close_norm, Close_norm, 0.5231, 0.0421, 0.4416, 0.0676, NaN, NaN, +--++, 0.107, 0.527, -0.825, -4.165, 0.014, 0.44, 3.245, 60.2
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], SAX, euclidean, padding, 50, 15, 1, GradientBoostingClassifier, Close_norm, Close_norm, 0.5146, 0.0354, 0.471, 0.0783, NaN, NaN, +-+++, 0.316, 0.47, 4.725, 84.262, 0.014, 0.766, 6.02, 104.413
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, euclidean, padding, 50, 5, 1, GradientBoostingClassifier, Close_norm, Close_norm, 0.4788, 0.0398, 0.4392, 0.0744, NaN, NaN, -+-+-, 0.199, 0.46, -3.241, -50.074, 0.012, 0.525, 2.349, 40.493
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], SAX, euclidean, padding, 50, 5, 1, GradientBoostingClassifier, Close_norm, Close_norm, 0.4738, 0.0317, 0.4569, 0.0291, NaN, NaN, +----, 0.242, 0.572, -1.542, -25.081, 0.012, 1.34, 3.198, 52.99
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, euclidean, padding, 50, 10, 1, GradientBoostingClassifier, Close_norm, Close_norm, 0.4896, 0.0573, 0.4499, 0.0732, NaN, NaN, ++-+-, 0.162, 0.236, 0.855, 6.29, 0.013, 0.346, 4.086, 64.58
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], SAX, euclidean, padding, 50, 10, 1, GradientBoostingClassifier, Close_norm, Close_norm, 0.5028, 0.0535, 0.4787, 0.0538, NaN, NaN, +-++-, 0.125, 0.696, 3.431, 49.07, 0.013, 0.822, 5.374, 85.969
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, euclidean, padding, 50, 15, 1, GradientBoostingClassifier, Close_norm, Close_norm, 0.4926, 0.079, 0.4558, 0.098, NaN, NaN, +---+, 0.171, 0.345, -1.881, -23.15, 0.014, 1.336, 2.862, 52.922
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], SAX, euclidean, padding, 50, 15, 1, GradientBoostingClassifier, Close_norm, Close_norm, 0.4985, 0.0748, 0.4696, 0.0986, NaN, NaN, +----, 0.185, 0.365, -1.688, -30.916, 0.014, 1.196, 2.959, 49.04
 1, ['Close_norm'], None, euclidean, time_join, 50, 5, 1, GradientBoostingClassifier, Close_norm, Close_norm, 0.4936, 0.052, 0.4645, 0.0733, NaN, NaN, +--++, 0.229, 0.732, -2.085, -26.058, 0.012, 1.322, 2.927, 52.501
 1, ['Close_norm'], SAX, euclidean, time_join, 50, 5, 1, GradientBoostingClassifier, Close_norm, Close_norm, 0.4463, 0.0443, 0.3826, 0.0413, NaN, NaN, +---+, 0.155, -0.261, -4.287, -67.701, 0.012, 0.735, 1.825, 31.68
 1, ['Close_norm'], None, euclidean, time_join, 50, 10, 1, GradientBoostingClassifier, Close_norm, Close_norm, 0.4655, 0.0266, 0.4254, 0.0533, NaN, NaN, +-+--, 0.17, 0.678, 2.732, 41.339, 0.013, 0.889, 5.025, 82.104
 1, ['Close_norm'], SAX, euclidean, time_join, 50, 10, 1, GradientBoostingClassifier, Close_norm, Close_norm, 0.4815, 0.0362, 0.4367, 0.0443, NaN, NaN, +-+--, 0.144, 0.935, 0.712, 6.348, 0.013, 0.933, 4.015, 64.608
 1, ['Close_norm'], None, euclidean, time_join, 50, 15, 1, GradientBoostingClassifier, Close_norm, Close_norm, 0.4786, 0.0714, 0.4332, 0.0945, NaN, NaN, +----, 0.18, 0.063, -3.375, -55.144, 0.014, 0.977, 2.115, 36.926
 1, ['Close_norm'], SAX, euclidean, time_join, 50, 15, 1, GradientBoostingClassifier, Close_norm, Close_norm, 0.4729, 0.0249, 0.4104, 0.0628, NaN, NaN, D-+--, 0.14, -0.023, -3.405, -59.127, 0.014, 0.883, 2.1, 34.934
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, euclidean, time_join, 50, 5, 1, GradientBoostingClassifier, Close_norm, Close_norm, 0.5001, 0.0125, 0.4849, 0.0311, NaN, NaN, ++-+-, 0.26, 0.987, -0.464, -10.66, 0.013, 0.866, 3.201, 51.993
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, euclidean, time_join, 50, 5, 1, GradientBoostingClassifier, Close_norm, Close_norm, 0.5153, 0.0787, 0.4673, 0.107, NaN, NaN, +--+-, 0.101, 0.446, -0.331, -5.592, 0.013, 0.514, 3.268, 54.527
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], SAX, euclidean, time_join, 50, 5, 1, GradientBoostingClassifier, Close_norm, Close_norm, 0.5202, 0.051, 0.5014, 0.0518, NaN, NaN, ---++, 0.291, 1.104, 0.284, 13.816, 0.013, 1.076, 3.575, 64.231
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, euclidean, time_join, 50, 10, 1, GradientBoostingClassifier, Close_norm, Close_norm, 0.5205, 0.0683, 0.5172, 0.069, NaN, NaN, +++--, 0.464, 0.308, 4.119, 58.962, 0.013, 0.568, 5.789, 91.902
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, euclidean, time_join, 50, 10, 1, GradientBoostingClassifier, Close_norm, Close_norm, 0.4933, 0.0325, 0.4522, 0.0273, NaN, NaN, --+++, 0.14, 0.552, 3.368, 57.794, 0.013, 0.648, 5.414, 91.318
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], SAX, euclidean, time_join, 50, 10, 1, GradientBoostingClassifier, Close_norm, Close_norm, 0.5173, 0.0563, 0.5054, 0.0622, NaN, NaN, +-+++, 0.291, 1.139, 4.037, 73.647, 0.013, 2.075, 5.748, 99.244
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, euclidean, time_join, 50, 15, 1, GradientBoostingClassifier, Close_norm, Close_norm, 0.532, 0.0381, 0.4939, 0.0775, NaN, NaN, ++--+, 0.33, 0.268, -0.67, -12.896, 0.014, 0.588, 3.322, 55.834
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, euclidean, time_join, 50, 15, 1, GradientBoostingClassifier, Close_norm, Close_norm, 0.5231, 0.0421, 0.4273, 0.0545, NaN, NaN, +--++, 0.093, 0.513, -0.192, 7.52, 0.014, 0.433, 3.561, 66.042
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], SAX, euclidean, time_join, 50, 15, 1, GradientBoostingClassifier, Close_norm, Close_norm, 0.5089, 0.0433, 0.4651, 0.0918, NaN, NaN, +-+++, 0.298, 0.476, 4.762, 84.653, 0.014, 0.778, 6.038, 104.608
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, euclidean, time_join, 50, 5, 1, GradientBoostingClassifier, Close_norm, Close_norm, 0.4787, 0.0357, 0.4339, 0.0684, NaN, NaN, -+-++, 0.164, 0.512, -3.144, -48.012, 0.012, 0.544, 2.397, 41.524
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], SAX, euclidean, time_join, 50, 5, 1, GradientBoostingClassifier, Close_norm, Close_norm, 0.4813, 0.0296, 0.4558, 0.0248, NaN, NaN, +--++, 0.212, 0.799, -0.566, -7.255, 0.012, 1.409, 3.686, 61.903
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, euclidean, time_join, 50, 10, 1, GradientBoostingClassifier, Close_norm, Close_norm, 0.4789, 0.0502, 0.4485, 0.0524, NaN, NaN, ++---, 0.221, -0.427, -0.199, -12.312, 0.013, -0.001, 3.56, 55.279
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], SAX, euclidean, time_join, 50, 10, 1, GradientBoostingClassifier, Close_norm, Close_norm, 0.5264, 0.0565, 0.5055, 0.0622, NaN, NaN, +-+-+, 0.154, 1.131, 5.412, 92.314, 0.013, 1.175, 6.365, 107.591
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, euclidean, time_join, 50, 15, 1, GradientBoostingClassifier, Close_norm, Close_norm, 0.4757, 0.0635, 0.4408, 0.0879, NaN, NaN, +---+, 0.191, 0.096, -2.98, -45.486, 0.014, 1.178, 2.313, 41.754
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], SAX, euclidean, time_join, 50, 15, 1, GradientBoostingClassifier, Close_norm, Close_norm, 0.5211, 0.0822, 0.493, 0.1069, NaN, NaN, +--++, 0.179, 0.718, 1.509, 29.754, 0.014, 1.405, 4.557, 79.374
 1, ['Close_norm'], None, euclidean, delay_time_join, 50, 5, 1, GradientBoostingClassifier, Close_norm, Close_norm, 0.4937, 0.0556, 0.4605, 0.072, NaN, NaN, +--++, 0.224, 0.366, -2.638, -35.575, 0.012, 0.651, 2.65, 47.743
 1, ['Close_norm'], SAX, euclidean, delay_time_join, 50, 5, 1, GradientBoostingClassifier, Close_norm, Close_norm, 0.4613, 0.0472, 0.3912, 0.0615, NaN, NaN, D---+, 0.13, -0.034, -4.104, -62.622, 0.012, 0.739, 1.917, 34.219
 1, ['Close_norm'], None, euclidean, delay_time_join, 50, 10, 1, GradientBoostingClassifier, Close_norm, Close_norm, 0.4839, 0.0385, 0.4573, 0.0349, NaN, NaN, +-+++, 0.202, 0.878, 3.02, 49.802, 0.013, 0.987, 5.169, 86.335
 1, ['Close_norm'], SAX, euclidean, delay_time_join, 50, 10, 1, GradientBoostingClassifier, Close_norm, Close_norm, 0.4601, 0.0266, 0.4015, 0.0505, NaN, NaN, +----, 0.112, 0.387, -3.339, -56.991, 0.013, 0.72, 1.989, 32.939
 1, ['Close_norm'], None, euclidean, delay_time_join, 50, 15, 1, GradientBoostingClassifier, Close_norm, Close_norm, 0.5041, 0.0644, 0.4765, 0.0794, NaN, NaN, +--+-, 0.2, 0.658, -0.191, -0.882, 0.014, 1.456, 3.707, 64.056
 1, ['Close_norm'], SAX, euclidean, delay_time_join, 50, 15, 1, GradientBoostingClassifier, Close_norm, Close_norm, 0.4842, 0.0264, 0.4271, 0.0681, NaN, NaN, D----, 0.162, 0.25, -3.276, -55.727, 0.014, 1.19, 2.165, 36.634
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, euclidean, delay_time_join, 50, 5, 1, GradientBoostingClassifier, Close_norm, Close_norm, 0.5229, 0.0409, 0.5059, 0.0582, NaN, NaN, +-++-, 0.296, 0.74, 3.325, 47.464, 0.013, 0.793, 5.095, 81.055
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, euclidean, delay_time_join, 50, 5, 1, GradientBoostingClassifier, Close_norm, Close_norm, 0.5381, 0.0771, 0.465, 0.1094, NaN, NaN, ++-+-, 0.124, 0.659, 1.358, 20.272, 0.013, 1.002, 4.112, 67.459
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], SAX, euclidean, delay_time_join, 50, 5, 1, GradientBoostingClassifier, Close_norm, Close_norm, 0.5102, 0.0518, 0.4954, 0.0409, NaN, NaN, +-+-+, 0.296, 1.004, 0.525, 10.342, 0.013, 1.077, 3.696, 62.494
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, euclidean, delay_time_join, 50, 10, 1, GradientBoostingClassifier, Close_norm, Close_norm, 0.5068, 0.0506, 0.4999, 0.0493, NaN, NaN, +++-+, 0.458, 0.893, 4.353, 67.0, 0.013, 0.604, 5.906, 95.921
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, euclidean, delay_time_join, 50, 10, 1, GradientBoostingClassifier, Close_norm, Close_norm, 0.4823, 0.0549, 0.4428, 0.0438, NaN, NaN, --+-+, 0.143, 0.47, 1.39, 31.142, 0.013, 0.945, 4.425, 77.992
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], SAX, euclidean, delay_time_join, 50, 10, 1, GradientBoostingClassifier, Close_norm, Close_norm, 0.5498, 0.0443, 0.5347, 0.0521, NaN, NaN, +-+++, 0.358, 0.947, 5.016, 83.27, 0.013, 1.721, 6.237, 104.056
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, euclidean, delay_time_join, 50, 15, 1, GradientBoostingClassifier, Close_norm, Close_norm, 0.5319, 0.0316, 0.4896, 0.0721, NaN, NaN, ++-++, 0.324, 0.963, 0.467, 6.234, 0.014, 1.127, 3.891, 65.399
