No. of features, selected_features, transformer, sim_func, fix_len_func, k stock, window_len, next_t, model, target_col, sim_col, mean_accuracy, std_accuracy, mean_f1, std_f1, mean_rmse, std_rmse, folds_result, mean_orders_count_per_hours, mean_sharpe_ratio, mean_profit_%, mean_profit, mean_L_orders_count_per_hours, mean_L_sharpe_ratio, mean_L_profit_%, mean_L_profit
1, ['Close_norm'], None, euclidean, padding, 50, 5, 1, GradientBoostingRegressor, Close_norm, Close_norm, 0.4787, 0.0532, 0.4121, 0.0915, 0.507, 0.22, D--+-, 0.112, 0.698, -1.425, -20.743, 0.012, 1.191, 3.257, 55.159
 1, ['Close_norm'], SAX, euclidean, padding, 50, 5, 1, GradientBoostingRegressor, Close_norm, Close_norm, 0.5161, 0.0409, 0.4637, 0.0843, 0.613, 0.246, +--++, 0.179, 0.942, -0.239, -0.804, 0.012, 1.367, 3.849, 65.128
 1, ['Close_norm'], None, euclidean, padding, 50, 10, 1, GradientBoostingRegressor, Close_norm, Close_norm, 0.4759, 0.0514, 0.4149, 0.0912, 0.486, 0.196, D--+-, 0.111, 0.652, -2.495, -38.329, 0.013, 0.86, 2.411, 42.27
 1, ['Close_norm'], SAX, euclidean, padding, 50, 10, 1, GradientBoostingRegressor, Close_norm, Close_norm, 0.5106, 0.0204, 0.4644, 0.0521, 0.618, 0.253, +---+, 0.167, 1.024, -0.952, -15.465, 0.013, 1.206, 3.183, 53.702
 1, ['Close_norm'], None, euclidean, padding, 50, 15, 1, GradientBoostingRegressor, Close_norm, Close_norm, 0.4784, 0.0535, 0.4039, 0.0981, 0.515, 0.226, D----, 0.088, 0.354, -3.877, -61.554, 0.014, 1.347, 1.864, 33.721
 1, ['Close_norm'], SAX, euclidean, padding, 50, 15, 1, GradientBoostingRegressor, Close_norm, Close_norm, 0.5185, 0.0392, 0.4686, 0.0818, 0.62, 0.244, +--++, 0.197, 1.176, 0.447, 9.243, 0.014, 1.428, 4.026, 69.119
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, euclidean, padding, 50, 5, 1, GradientBoostingRegressor, Close_norm, Close_norm, 0.4822, 0.0288, 0.4122, 0.0712, 0.513, 0.206, D-+--, 0.098, 0.693, -1.513, -25.303, 0.013, 1.226, 2.677, 44.671
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, euclidean, padding, 50, 5, 1, GradientBoostingRegressor, Close_norm, Close_norm, 0.4924, 0.0221, 0.4263, 0.0645, 0.98, 0.296, D----, 0.088, 0.812, -2.757, -47.058, 0.013, 0.985, 2.055, 33.794
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], SAX, euclidean, padding, 50, 5, 1, GradientBoostingRegressor, Close_norm, Close_norm, 0.5124, 0.0562, 0.4622, 0.0857, 0.59, 0.222, +---+, 0.164, 1.171, 0.247, 9.533, 0.013, 1.387, 3.556, 62.089
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, euclidean, padding, 50, 10, 1, GradientBoostingRegressor, Close_norm, Close_norm, 0.4905, 0.0371, 0.4261, 0.0783, 0.49, 0.207, D--++, 0.121, 1.022, -1.303, -19.705, 0.013, 1.536, 3.078, 52.568
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, euclidean, padding, 50, 10, 1, GradientBoostingRegressor, Close_norm, Close_norm, 0.4689, 0.0426, 0.3958, 0.0788, 1.013, 0.377, D-D-+, 0.075, 0.261, -3.308, -49.976, 0.013, 1.373, 2.075, 37.433
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], SAX, euclidean, padding, 50, 10, 1, GradientBoostingRegressor, Close_norm, Close_norm, 0.4905, 0.0312, 0.4403, 0.0554, 0.6, 0.224, +----, 0.159, 0.633, -1.976, -32.762, 0.013, 1.001, 2.741, 46.04
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, euclidean, padding, 50, 15, 1, GradientBoostingRegressor, Close_norm, Close_norm, 0.4739, 0.0257, 0.3949, 0.0703, 0.568, 0.243, D--+-, 0.107, 0.523, -1.768, -27.249, 0.014, 1.316, 2.773, 48.658
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, euclidean, padding, 50, 15, 1, GradientBoostingRegressor, Close_norm, Close_norm, 0.4681, 0.0561, 0.393, 0.0853, 1.086, 0.499, D-D-+, 0.069, 0.186, -3.869, -60.007, 0.014, 0.915, 1.723, 32.279
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], SAX, euclidean, padding, 50, 15, 1, GradientBoostingRegressor, Close_norm, Close_norm, 0.5, 0.0158, 0.4388, 0.0585, 0.656, 0.274, +---+, 0.165, 0.612, -2.213, -35.76, 0.014, 1.291, 2.551, 44.402
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, euclidean, padding, 50, 5, 1, GradientBoostingRegressor, Close_norm, Close_norm, 0.4836, 0.0523, 0.4219, 0.0851, 0.511, 0.227, D--+-, 0.117, 0.652, -1.312, -17.769, 0.012, 1.301, 3.313, 56.646
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], SAX, euclidean, padding, 50, 5, 1, GradientBoostingRegressor, Close_norm, Close_norm, 0.511, 0.0534, 0.4664, 0.0862, 0.586, 0.233, +--++, 0.187, 1.032, -0.792, -7.275, 0.012, 1.717, 3.573, 61.892
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, euclidean, padding, 50, 10, 1, GradientBoostingRegressor, Close_norm, Close_norm, 0.4919, 0.0466, 0.4286, 0.0872, 0.496, 0.204, D--+-, 0.106, 0.755, -1.802, -28.305, 0.013, 0.811, 2.758, 47.282
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], SAX, euclidean, padding, 50, 10, 1, GradientBoostingRegressor, Close_norm, Close_norm, 0.5079, 0.0272, 0.4618, 0.0661, 0.598, 0.241, +-+-+, 0.157, 0.935, -0.444, -6.558, 0.013, 1.312, 3.437, 58.156
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, euclidean, padding, 50, 15, 1, GradientBoostingRegressor, Close_norm, Close_norm, 0.4841, 0.0558, 0.412, 0.0989, 0.532, 0.237, D----, 0.105, 0.429, -3.642, -57.902, 0.014, 1.387, 1.982, 35.547
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], SAX, euclidean, padding, 50, 15, 1, GradientBoostingRegressor, Close_norm, Close_norm, 0.5127, 0.0348, 0.4599, 0.0773, 0.641, 0.267, +---+, 0.179, 1.066, -0.559, -6.762, 0.014, 1.639, 3.523, 61.116
 1, ['Close_norm'], None, euclidean, time_join, 50, 5, 1, GradientBoostingRegressor, Close_norm, Close_norm, 0.4737, 0.0481, 0.4093, 0.0882, 0.506, 0.22, D--+-, 0.132, 0.681, -2.702, -41.477, 0.012, 1.096, 2.618, 44.792
 1, ['Close_norm'], SAX, euclidean, time_join, 50, 5, 1, GradientBoostingRegressor, Close_norm, Close_norm, 0.516, 0.0414, 0.4627, 0.0842, 0.612, 0.247, +--++, 0.174, 0.868, -0.263, -0.192, 0.012, 1.357, 3.838, 65.434
 1, ['Close_norm'], None, euclidean, time_join, 50, 10, 1, GradientBoostingRegressor, Close_norm, Close_norm, 0.4813, 0.0563, 0.4184, 0.0932, 0.504, 0.221, D--+-, 0.133, 0.597, -2.033, -31.256, 0.013, 0.825, 2.642, 45.807
 1, ['Close_norm'], SAX, euclidean, time_join, 50, 10, 1, GradientBoostingRegressor, Close_norm, Close_norm, 0.5106, 0.0212, 0.4638, 0.0534, 0.619, 0.253, +---+, 0.178, 0.852, -1.261, -20.409, 0.013, 1.138, 3.028, 51.23
