No. of features, selected_features, transformer, sim_func, fix_len_func, k stock, window_len, next_t, model, target_col, sim_col, mean_accuracy, std_accuracy, mean_f1, std_f1, mean_rmse, std_rmse, folds_result, mean_orders_count_per_hours, mean_sharpe_ratio, mean_profit_%, mean_profit, mean_L_orders_count_per_hours, mean_L_sharpe_ratio, mean_L_profit_%, mean_L_profit
1, ['Close_norm'], None, euclidean, padding, 50, 5, 1, LSTM, Close_norm, Close_norm, 0.511, 0.0506, 0.4501, 0.0963, 0.3, 0.161, D+---, 0.162, 0.714, -2.335, -38.013, 0.012, 1.068, 2.802, 46.524
 1, ['Close_norm'], SAX, euclidean, padding, 50, 5, 1, LSTM, Close_norm, Close_norm, 0.5285, 0.0296, 0.5, 0.044, 0.596, 0.27, +----, 0.272, 0.477, -2.37, -38.682, 0.012, 1.357, 2.784, 46.189
 1, ['Close_norm'], None, euclidean, padding, 50, 10, 1, LSTM, Close_norm, Close_norm, 0.4788, 0.0434, 0.4193, 0.0658, 0.34, 0.175, D-++-, 0.21, 0.037, 0.529, 8.178, 0.013, 0.324, 3.923, 65.524
 1, ['Close_norm'], SAX, euclidean, padding, 50, 10, 1, LSTM, Close_norm, Close_norm, 0.5185, 0.023, 0.4861, 0.0566, 0.616, 0.301, +--++, 0.22, 1.112, 1.71, 32.546, 0.013, 1.435, 4.514, 77.707
 1, ['Close_norm'], None, euclidean, padding, 50, 15, 1, LSTM, Close_norm, Close_norm, 0.4956, 0.0422, 0.4362, 0.0927, 0.326, 0.149, -D+--, 0.182, -0.37, -3.202, -54.179, 0.014, 0.312, 2.202, 37.408
 1, ['Close_norm'], SAX, euclidean, padding, 50, 15, 1, LSTM, Close_norm, Close_norm, 0.5099, 0.0227, 0.4525, 0.0716, 0.647, 0.257, D-+-+, 0.145, 0.491, -0.311, -3.802, 0.014, 0.996, 3.647, 62.596
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, euclidean, padding, 50, 5, 1, LSTM, Close_norm, Close_norm, 0.4899, 0.0503, 0.4549, 0.0768, 0.518, 0.223, --++-, 0.255, 0.29, 0.013, 1.135, 0.013, 0.44, 3.439, 57.89
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, euclidean, padding, 50, 5, 1, LSTM, Close_norm, Close_norm, 0.4722, 0.049, 0.4229, 0.0633, 1.177, 0.423, +---+, 0.098, 0.741, -1.778, -24.18, 0.013, 1.263, 2.544, 45.233
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], SAX, euclidean, padding, 50, 5, 1, LSTM, Close_norm, Close_norm, 0.5101, 0.0542, 0.4668, 0.0974, 0.621, 0.216, D-+++, 0.204, 0.867, 0.487, 12.938, 0.013, 0.851, 3.676, 63.792
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, euclidean, padding, 50, 10, 1, LSTM, Close_norm, Close_norm, 0.4878, 0.0436, 0.4716, 0.0526, 0.504, 0.275, ---++, 0.275, 0.367, -0.185, 7.946, 0.013, 0.953, 3.637, 66.394
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, euclidean, padding, 50, 10, 1, LSTM, Close_norm, Close_norm, 0.4987, 0.0272, 0.45, 0.0515, 1.177, 0.43, +--+-, 0.1, 0.707, -1.832, -33.19, 0.013, 1.367, 2.814, 45.826
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], SAX, euclidean, padding, 50, 10, 1, LSTM, Close_norm, Close_norm, 0.4851, 0.0343, 0.4419, 0.0725, 0.56, 0.196, D-+--, 0.199, -0.215, -1.408, -23.084, 0.013, 0.481, 3.026, 50.879
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, euclidean, padding, 50, 15, 1, LSTM, Close_norm, Close_norm, 0.4827, 0.0347, 0.444, 0.0673, 0.594, 0.277, D----, 0.211, 0.285, -1.922, -32.998, 0.014, 0.823, 2.696, 45.783
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, euclidean, padding, 50, 15, 1, LSTM, Close_norm, Close_norm, 0.4507, 0.0573, 0.3722, 0.0556, 1.24, 0.459, D---+, 0.061, 0.154, -1.948, -23.753, 0.014, 0.799, 2.684, 50.406
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], SAX, euclidean, padding, 50, 15, 1, LSTM, Close_norm, Close_norm, 0.4769, 0.0395, 0.4333, 0.0493, 0.601, 0.296, ----+, 0.197, 0.059, -3.168, -48.537, 0.014, 0.61, 2.073, 38.013
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, euclidean, padding, 50, 5, 1, LSTM, Close_norm, Close_norm, 0.5188, 0.053, 0.4758, 0.0762, 0.375, 0.184, +-++-, 0.229, 0.203, 1.476, 23.041, 0.012, 1.129, 4.707, 77.051
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], SAX, euclidean, padding, 50, 5, 1, LSTM, Close_norm, Close_norm, 0.5263, 0.0464, 0.4936, 0.0238, 0.566, 0.271, +-++-, 0.145, 1.08, 3.699, 52.07, 0.012, 1.048, 5.819, 91.565
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, euclidean, padding, 50, 10, 1, LSTM, Close_norm, Close_norm, 0.4921, 0.0232, 0.4401, 0.0655, 0.413, 0.209, -+-++, 0.194, 0.175, -0.455, -4.505, 0.013, 0.275, 3.431, 59.182
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], SAX, euclidean, padding, 50, 10, 1, LSTM, Close_norm, Close_norm, 0.4867, 0.028, 0.4344, 0.064, 0.749, 0.317, D----, 0.128, 0.105, -2.93, -51.141, 0.013, 0.483, 2.194, 35.864
