No. of features, selected_features, transformer, sim_func, fix_len_func, k stock, window_len, next_t, model, target_col, sim_col, mean_accuracy, std_accuracy, mean_f1, std_f1, mean_rmse, std_rmse, folds_result, mean_orders_count_per_hours, mean_sharpe_ratio, mean_profit_%, mean_profit, mean_L_orders_count_per_hours, mean_L_sharpe_ratio, mean_L_profit_%, mean_L_profit
1, ['Close_norm'], None, euclidean, pip, 50, 5, 1, LSTM, Close_norm, Close_norm, 0.4964, 0.0721, 0.481, 0.0657, 0.264, 0.142, ++-++, 0.304, 0.573, -3.351, -48.151, 0.012, 0.45, 2.294, 41.455
 1, ['Close_norm'], SAX, euclidean, pip, 50, 5, 1, LSTM, Close_norm, Close_norm, 0.5285, 0.0477, 0.4951, 0.0911, 0.588, 0.248, --+++, 0.254, 0.959, 0.325, 8.18, 0.012, 1.514, 4.132, 69.62
 1, ['Close_norm'], None, euclidean, pip, 50, 10, 1, LSTM, Close_norm, Close_norm, 0.5, 0.0703, 0.4834, 0.0784, 0.363, 0.208, +--+-, 0.261, 0.394, -0.476, -6.164, 0.013, 1.23, 3.421, 58.352
 1, ['Close_norm'], SAX, euclidean, pip, 50, 10, 1, LSTM, Close_norm, Close_norm, 0.4947, 0.0224, 0.4563, 0.0574, 0.612, 0.273, +++++, 0.205, 0.876, 2.951, 48.804, 0.013, 0.893, 5.134, 85.837
 1, ['Close_norm'], None, euclidean, pip, 50, 15, 1, LSTM, Close_norm, Close_norm, 0.4672, 0.0437, 0.4166, 0.063, 0.427, 0.277, D-+--, 0.225, 0.586, -0.047, -1.277, 0.014, 1.368, 3.779, 63.859
 1, ['Close_norm'], SAX, euclidean, pip, 50, 15, 1, LSTM, Close_norm, Close_norm, 0.5272, 0.0503, 0.4542, 0.0933, 0.687, 0.263, D-+++, 0.137, 0.906, 3.706, 62.002, 0.014, 0.971, 5.656, 95.498
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, euclidean, pip, 50, 5, 1, LSTM, Close_norm, Close_norm, 0.5026, 0.0539, 0.4929, 0.0462, 0.461, 0.236, ---+-, 0.242, 0.489, -2.333, -35.603, 0.013, 0.65, 2.266, 39.522
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, euclidean, pip, 50, 5, 1, LSTM, Close_norm, Close_norm, 0.4797, 0.0228, 0.4244, 0.0551, 1.119, 0.402, D-+-+, 0.093, 0.727, 0.353, 9.705, 0.013, 0.971, 3.609, 62.175
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], SAX, euclidean, pip, 50, 5, 1, LSTM, Close_norm, Close_norm, 0.5149, 0.0582, 0.4874, 0.0818, 0.528, 0.202, +---+, 0.22, 0.572, -2.033, -30.627, 0.013, 1.063, 2.416, 42.009
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, euclidean, pip, 50, 10, 1, LSTM, Close_norm, Close_norm, 0.4608, 0.0453, 0.4209, 0.0658, 0.584, 0.264, D--++, 0.21, 0.014, -4.194, -62.143, 0.013, 0.916, 1.633, 31.35
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, euclidean, pip, 50, 10, 1, LSTM, Close_norm, Close_norm, 0.5014, 0.0373, 0.4517, 0.0696, 1.276, 0.378, +----, 0.076, 0.886, -1.429, -27.248, 0.013, 1.137, 3.015, 48.797
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], SAX, euclidean, pip, 50, 10, 1, LSTM, Close_norm, Close_norm, 0.469, 0.0168, 0.4389, 0.0335, 0.602, 0.244, +-+--, 0.207, -0.482, -3.349, -60.837, 0.013, 0.146, 2.055, 32.002
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, euclidean, pip, 50, 15, 1, LSTM, Close_norm, Close_norm, 0.4567, 0.0366, 0.4324, 0.0415, 0.6, 0.31, ---++, 0.205, -0.487, -3.284, -48.197, 0.014, 0.204, 2.015, 38.184
