No. of features, selected_features, transformer, sim_func, fix_len_func, k stock, window_len, next_t, model, target_col, sim_col, mean_accuracy, std_accuracy, mean_f1, std_f1, mean_rmse, std_rmse, folds_result, mean_orders_count_per_hours, mean_sharpe_ratio, mean_profit_%, mean_profit, mean_L_orders_count_per_hours, mean_L_sharpe_ratio, mean_L_profit_%, mean_L_profit
1, ['Close_norm'], None, euclidean, time_join, 50, 5, 1, LSTM, Close_norm, Close_norm, 0.4914, 0.0434, 0.414, 0.0811, 0.288, 0.178, ++--+, 0.125, -0.288, -2.305, -33.153, 0.012, 0.371, 2.817, 48.954
 1, ['Close_norm'], SAX, euclidean, time_join, 50, 5, 1, LSTM, Close_norm, Close_norm, 0.5284, 0.0577, 0.4831, 0.0854, 0.598, 0.279, ++-++, 0.224, 0.776, -0.491, -4.833, 0.012, 1.16, 3.724, 63.113
 1, ['Close_norm'], None, euclidean, time_join, 50, 10, 1, LSTM, Close_norm, Close_norm, 0.4841, 0.0616, 0.4405, 0.0799, 0.33, 0.21, +--++, 0.205, 0.216, 3.001, 52.035, 0.013, 0.423, 5.159, 87.452
 1, ['Close_norm'], SAX, euclidean, time_join, 50, 10, 1, LSTM, Close_norm, Close_norm, 0.5399, 0.043, 0.5242, 0.0547, 0.608, 0.317, +-+++, 0.231, 1.225, 3.17, 59.171, 0.013, 1.744, 5.244, 91.02
 1, ['Close_norm'], None, euclidean, time_join, 50, 15, 1, LSTM, Close_norm, Close_norm, 0.5016, 0.0285, 0.4149, 0.0603, 0.365, 0.187, D++--, 0.151, 0.505, 0.616, 6.304, 0.014, 0.802, 4.111, 67.65
 1, ['Close_norm'], SAX, euclidean, time_join, 50, 15, 1, LSTM, Close_norm, Close_norm, 0.5128, 0.028, 0.4395, 0.0596, 0.655, 0.268, D-+-+, 0.125, 0.54, 0.201, 5.157, 0.014, 0.849, 3.903, 67.076
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, euclidean, time_join, 50, 5, 1, LSTM, Close_norm, Close_norm, 0.4846, 0.0469, 0.4362, 0.09, 0.527, 0.233, --+-+, 0.242, 0.642, -0.161, 5.936, 0.013, 1.111, 3.352, 60.291
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, euclidean, time_join, 50, 5, 1, LSTM, Close_norm, Close_norm, 0.4924, 0.0295, 0.4335, 0.0613, 1.082, 0.404, D-+-+, 0.104, 0.817, 0.623, 13.87, 0.013, 1.039, 3.745, 64.258
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], SAX, euclidean, time_join, 50, 5, 1, LSTM, Close_norm, Close_norm, 0.5151, 0.0194, 0.4784, 0.0665, 0.554, 0.21, +--+-, 0.199, 0.656, 0.211, 2.683, 0.013, 0.683, 3.539, 58.664
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, euclidean, time_join, 50, 10, 1, LSTM, Close_norm, Close_norm, 0.4852, 0.0337, 0.4507, 0.0717, 0.533, 0.247, D--++, 0.259, 0.267, -0.052, 6.329, 0.013, 0.876, 3.703, 65.585
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, euclidean, time_join, 50, 10, 1, LSTM, Close_norm, Close_norm, 0.4933, 0.0347, 0.4337, 0.0811, 1.188, 0.392, +--+-, 0.108, 0.695, -1.244, -22.227, 0.013, 1.315, 3.107, 51.307
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], SAX, euclidean, time_join, 50, 10, 1, LSTM, Close_norm, Close_norm, 0.5442, 0.054, 0.5127, 0.0931, 0.61, 0.231, -+--+, 0.231, 0.774, 0.958, 22.795, 0.013, 1.054, 4.208, 73.818
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, euclidean, time_join, 50, 15, 1, LSTM, Close_norm, Close_norm, 0.4681, 0.0376, 0.4292, 0.0596, 0.626, 0.288, D-+-+, 0.222, 0.33, -0.78, -9.911, 0.014, 1.002, 3.267, 57.327
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, euclidean, time_join, 50, 15, 1, LSTM, Close_norm, Close_norm, 0.4624, 0.0511, 0.3904, 0.0801, 1.486, 0.415, D-D+-, 0.064, 0.236, -4.268, -69.047, 0.014, 0.806, 1.523, 27.758
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], SAX, euclidean, time_join, 50, 15, 1, LSTM, Close_norm, Close_norm, 0.5116, 0.0203, 0.471, 0.0266, 0.648, 0.305, ++++-, 0.17, 0.89, 1.609, 22.584, 0.014, 1.05, 4.462, 73.574
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, euclidean, time_join, 50, 5, 1, LSTM, Close_norm, Close_norm, 0.5364, 0.083, 0.4941, 0.0982, 0.388, 0.149, +-++-, 0.195, 0.671, 4.644, 67.823, 0.012, 1.02, 6.291, 99.442
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], SAX, euclidean, time_join, 50, 5, 1, LSTM, Close_norm, Close_norm, 0.536, 0.0409, 0.5191, 0.0393, 0.56, 0.27, +---+, 0.224, 1.262, 0.952, 15.896, 0.012, 1.467, 4.445, 73.478
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, euclidean, time_join, 50, 10, 1, LSTM, Close_norm, Close_norm, 0.5027, 0.033, 0.4737, 0.0736, 0.426, 0.238, -+---, 0.226, 0.23, -1.887, -30.151, 0.013, 0.303, 2.715, 46.359
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], SAX, euclidean, time_join, 50, 10, 1, LSTM, Close_norm, Close_norm, 0.4921, 0.0473, 0.4559, 0.0836, 0.636, 0.353, ++D+-, 0.157, 0.765, 0.769, 4.123, 0.013, 0.808, 4.043, 63.496
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, euclidean, time_join, 50, 15, 1, LSTM, Close_norm, Close_norm, 0.51, 0.0254, 0.4645, 0.072, 0.456, 0.23, D----, 0.165, -0.166, -3.115, -52.289, 0.014, 0.682, 2.245, 38.353
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], SAX, euclidean, time_join, 50, 15, 1, LSTM, Close_norm, Close_norm, 0.5272, 0.0491, 0.4738, 0.0975, 0.684, 0.196, --+-+, 0.148, 0.914, 2.488, 41.416, 0.014, 1.232, 5.047, 85.206
 1, ['Close_norm'], None, pearson, time_join, 50, 5, 1, LSTM, Close_norm, Close_norm, 0.4913, 0.0443, 0.436, 0.0739, 0.318, 0.18, +--+-, 0.167, -0.195, -3.672, -56.229, 0.012, -0.185, 2.133, 37.415
 1, ['Close_norm'], SAX, pearson, time_join, 50, 5, 1, LSTM, Close_norm, Close_norm, 0.4964, 0.022, 0.4563, 0.0664, 0.573, 0.218, ++-+-, 0.217, 0.27, -0.896, -15.399, 0.012, 0.736, 3.521, 57.831
 1, ['Close_norm'], None, pearson, time_join, 50, 10, 1, LSTM, Close_norm, Close_norm, 0.5316, 0.08, 0.5164, 0.0802, 0.338, 0.194, +--++, 0.215, 0.69, 2.525, 42.065, 0.013, 1.09, 4.921, 82.467
 1, ['Close_norm'], SAX, pearson, time_join, 50, 10, 1, LSTM, Close_norm, Close_norm, 0.4975, 0.051, 0.4746, 0.0716, 0.566, 0.278, ++-+-, 0.237, 0.752, 2.551, 36.913, 0.013, 0.754, 4.934, 79.891
 1, ['Close_norm'], None, pearson, time_join, 50, 15, 1, LSTM, Close_norm, Close_norm, 0.4816, 0.0314, 0.4508, 0.0522, 0.336, 0.227, +-+--, 0.208, 0.657, 0.73, 7.778, 0.014, 0.863, 4.168, 68.386
 1, ['Close_norm'], SAX, pearson, time_join, 50, 15, 1, LSTM, Close_norm, Close_norm, 0.5213, 0.0606, 0.4731, 0.0946, 0.628, 0.25, ---++, 0.179, 0.83, -2.34, -34.537, 0.014, 1.706, 2.633, 47.229
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, pearson, time_join, 50, 5, 1, LSTM, Close_norm, Close_norm, 0.4925, 0.0358, 0.4686, 0.0515, 0.513, 0.228, --+--, 0.275, 0.421, -2.002, -30.674, 0.013, 0.694, 2.432, 41.986
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, pearson, time_join, 50, 5, 1, LSTM, Close_norm, Close_norm, 0.4873, 0.0357, 0.4312, 0.0733, 1.145, 0.459, D---+, 0.088, 0.954, -2.115, -32.917, 0.013, 1.25, 2.375, 40.865
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], SAX, pearson, time_join, 50, 5, 1, LSTM, Close_norm, Close_norm, 0.4747, 0.0315, 0.4365, 0.065, 0.576, 0.249, +---+, 0.21, 0.531, -3.511, -56.89, 0.013, 0.923, 1.678, 28.878
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, pearson, time_join, 50, 10, 1, LSTM, Close_norm, Close_norm, 0.4853, 0.054, 0.4464, 0.0781, 0.546, 0.251, +-++-, 0.208, 0.437, 0.289, 6.693, 0.013, 2.025, 3.874, 65.767
