No. of features, selected_features, transformer, sim_func, fix_len_func, k stock, window_len, next_t, model, target_col, sim_col, mean_accuracy, std_accuracy, mean_f1, std_f1, mean_rmse, std_rmse, folds_result, mean_orders_count_per_hours, mean_sharpe_ratio, mean_profit_%, mean_profit, mean_L_orders_count_per_hours, mean_L_sharpe_ratio, mean_L_profit_%, mean_L_profit
1, ['Close_norm'], None, euclidean, padding, 10, 5, 1, RandomForestClassifier, Close_norm, Close_norm, 0.5061, 0.0445, 0.4944, 0.0529, NaN, NaN, +--++, 0.294, -0.031, -1.161, -10.513, 0.012, 0.212, 3.389, 60.273
 1, ['Close_norm'], SAX, euclidean, padding, 10, 5, 1, RandomForestClassifier, Close_norm, Close_norm, 0.4911, 0.0546, 0.4576, 0.062, NaN, NaN, ----+, 0.257, 1.148, -0.413, -2.524, 0.012, 1.543, 3.763, 64.268
 1, ['Close_norm'], None, euclidean, padding, 10, 10, 1, RandomForestClassifier, Close_norm, Close_norm, 0.4999, 0.0214, 0.4902, 0.0196, NaN, NaN, +----, 0.236, 0.448, -1.209, -23.483, 0.013, 0.762, 3.054, 49.693
 1, ['Close_norm'], SAX, euclidean, padding, 10, 10, 1, RandomForestClassifier, Close_norm, Close_norm, 0.5134, 0.053, 0.4831, 0.0414, NaN, NaN, +-+--, 0.274, 0.39, 0.989, 9.502, 0.013, 0.449, 4.153, 66.185
 1, ['Close_norm'], None, euclidean, padding, 10, 15, 1, RandomForestClassifier, Close_norm, Close_norm, 0.4957, 0.0469, 0.471, 0.0247, NaN, NaN, ++---, 0.182, 0.822, -3.164, -54.93, 0.014, 0.927, 2.221, 37.033
 1, ['Close_norm'], SAX, euclidean, padding, 10, 15, 1, RandomForestClassifier, Close_norm, Close_norm, 0.4928, 0.0473, 0.4673, 0.0624, NaN, NaN, ---+-, 0.157, 0.85, -2.055, -33.567, 0.014, 1.334, 2.775, 47.714
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, euclidean, padding, 10, 5, 1, RandomForestClassifier, Close_norm, Close_norm, 0.505, 0.05, 0.4993, 0.0469, NaN, NaN, +--++, 0.3, 0.985, 1.783, 30.844, 0.013, 0.845, 4.324, 72.745
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, euclidean, padding, 10, 5, 1, RandomForestClassifier, Close_norm, Close_norm, 0.5403, 0.0249, 0.5292, 0.034, NaN, NaN, +-+++, 0.217, 0.871, 5.278, 92.709, 0.013, 0.888, 6.072, 103.678
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], SAX, euclidean, padding, 10, 5, 1, RandomForestClassifier, Close_norm, Close_norm, 0.4923, 0.0412, 0.4857, 0.0438, NaN, NaN, +--+-, 0.24, 0.654, -1.739, -30.715, 0.013, 1.039, 2.564, 41.966
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, euclidean, padding, 10, 10, 1, RandomForestClassifier, Close_norm, Close_norm, 0.4932, 0.0745, 0.4802, 0.0799, NaN, NaN, +-+-+, 0.38, 0.055, 1.955, 34.116, 0.013, 0.613, 4.707, 79.479
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, euclidean, padding, 10, 10, 1, RandomForestClassifier, Close_norm, Close_norm, 0.5042, 0.0687, 0.4831, 0.0733, NaN, NaN, +-++-, 0.27, 0.15, 0.947, 7.888, 0.013, 0.474, 4.203, 66.365
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], SAX, euclidean, padding, 10, 10, 1, RandomForestClassifier, Close_norm, Close_norm, 0.5174, 0.045, 0.5047, 0.0492, NaN, NaN, +--++, 0.286, 0.11, -1.409, -20.587, 0.013, 0.508, 3.025, 52.128
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, euclidean, padding, 10, 15, 1, RandomForestClassifier, Close_norm, Close_norm, 0.4972, 0.0408, 0.4841, 0.051, NaN, NaN, +-+--, 0.361, -0.068, -0.057, -5.733, 0.014, 0.522, 3.629, 59.416
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, euclidean, padding, 10, 15, 1, RandomForestClassifier, Close_norm, Close_norm, 0.5318, 0.0631, 0.5123, 0.0644, NaN, NaN, +---+, 0.202, 1.013, 2.062, 38.196, 0.014, 1.34, 4.688, 81.38
