No. of features, selected_features, transformer, sim_func, fix_len_func, k stock, window_len, next_t, model, target_col, sim_col, mean_accuracy, std_accuracy, mean_f1, std_f1, mean_rmse, std_rmse, folds_result, mean_orders_count_per_hours, mean_sharpe_ratio, mean_profit_%, mean_profit, mean_L_orders_count_per_hours, mean_L_sharpe_ratio, mean_L_profit_%, mean_L_profit
1, ['Close_norm'], None, euclidean, padding, 50, 5, 1, RandomForestClassifier, Close_norm, Close_norm, 0.4937, 0.0506, 0.4839, 0.0537, NaN, NaN, ---++, 0.314, 0.552, -1.32, -14.594, 0.012, 0.845, 3.309, 58.233
 1, ['Close_norm'], SAX, euclidean, padding, 50, 5, 1, RandomForestClassifier, Close_norm, Close_norm, 0.4887, 0.0581, 0.45, 0.0616, NaN, NaN, +--+-, 0.242, 1.263, 0.613, 9.562, 0.012, 1.691, 4.276, 70.311
 1, ['Close_norm'], None, euclidean, padding, 50, 10, 1, RandomForestClassifier, Close_norm, Close_norm, 0.5212, 0.0395, 0.5107, 0.0382, NaN, NaN, ++--+, 0.287, 0.167, 0.27, 4.631, 0.013, 0.511, 3.794, 63.75
 1, ['Close_norm'], SAX, euclidean, padding, 50, 10, 1, RandomForestClassifier, Close_norm, Close_norm, 0.524, 0.0347, 0.4943, 0.0446, NaN, NaN, +-+-+, 0.263, 0.207, 1.43, 21.21, 0.013, 0.561, 4.374, 72.039
 1, ['Close_norm'], None, euclidean, padding, 50, 15, 1, RandomForestClassifier, Close_norm, Close_norm, 0.4956, 0.048, 0.4723, 0.0454, NaN, NaN, +---+, 0.214, 0.885, -0.001, 2.463, 0.014, 1.549, 3.802, 65.729
 1, ['Close_norm'], SAX, euclidean, padding, 50, 15, 1, RandomForestClassifier, Close_norm, Close_norm, 0.4843, 0.0395, 0.4491, 0.064, NaN, NaN, ---+-, 0.211, 0.022, -2.873, -47.884, 0.014, 0.759, 2.366, 40.555
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, euclidean, padding, 50, 5, 1, RandomForestClassifier, Close_norm, Close_norm, 0.4848, 0.0264, 0.4775, 0.0236, NaN, NaN, ++-++, 0.308, 1.095, 1.572, 27.746, 0.013, 0.855, 4.219, 71.196
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, euclidean, padding, 50, 5, 1, RandomForestClassifier, Close_norm, Close_norm, 0.5127, 0.0566, 0.5006, 0.0565, NaN, NaN, +--+-, 0.273, -0.348, -0.521, -5.044, 0.013, 0.022, 3.173, 54.801
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], SAX, euclidean, padding, 50, 5, 1, RandomForestClassifier, Close_norm, Close_norm, 0.4948, 0.0475, 0.4898, 0.0489, NaN, NaN, +--++, 0.26, 0.624, -2.55, -38.189, 0.013, 0.723, 2.158, 38.229
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, euclidean, padding, 50, 10, 1, RandomForestClassifier, Close_norm, Close_norm, 0.5309, 0.05, 0.5255, 0.0506, NaN, NaN, +-+-+, 0.407, 1.004, 7.491, 125.76, 0.013, 1.14, 7.475, 125.301
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, euclidean, padding, 50, 10, 1, RandomForestClassifier, Close_norm, Close_norm, 0.4635, 0.063, 0.4409, 0.0441, NaN, NaN, +-++-, 0.208, -0.025, 0.499, 4.278, 0.013, 0.48, 3.979, 64.56
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], SAX, euclidean, padding, 50, 10, 1, RandomForestClassifier, Close_norm, Close_norm, 0.5281, 0.0425, 0.5159, 0.0322, NaN, NaN, +++++, 0.286, 1.131, 6.05, 102.083, 0.013, 1.093, 6.754, 113.462
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, euclidean, padding, 50, 15, 1, RandomForestClassifier, Close_norm, Close_norm, 0.5231, 0.0226, 0.4981, 0.0407, NaN, NaN, +-+++, 0.272, 0.573, 1.655, 28.675, 0.014, 0.99, 4.485, 76.62
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, euclidean, padding, 50, 15, 1, RandomForestClassifier, Close_norm, Close_norm, 0.5204, 0.0621, 0.4941, 0.0738, NaN, NaN, +--++, 0.199, 0.487, -1.648, -23.637, 0.014, 0.53, 2.833, 50.464
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], SAX, euclidean, padding, 50, 15, 1, RandomForestClassifier, Close_norm, Close_norm, 0.5346, 0.04, 0.5153, 0.0308, NaN, NaN, +--++, 0.246, 1.066, -0.338, 1.404, 0.014, 1.021, 3.489, 62.984
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, euclidean, padding, 50, 5, 1, RandomForestClassifier, Close_norm, Close_norm, 0.4739, 0.0157, 0.449, 0.0295, NaN, NaN, +-+--, 0.17, 0.705, 3.188, 47.03, 0.012, 0.903, 5.563, 89.045
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], SAX, euclidean, padding, 50, 5, 1, RandomForestClassifier, Close_norm, Close_norm, 0.4888, 0.0345, 0.4806, 0.033, NaN, NaN, +--+-, 0.312, 0.527, -0.995, -18.12, 0.012, 1.235, 3.472, 56.47
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, euclidean, padding, 50, 10, 1, RandomForestClassifier, Close_norm, Close_norm, 0.5, 0.0084, 0.4789, 0.0245, NaN, NaN, +++-+, 0.162, 0.698, 1.01, 13.576, 0.013, 0.759, 4.164, 68.222
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], SAX, euclidean, padding, 50, 10, 1, RandomForestClassifier, Close_norm, Close_norm, 0.5295, 0.0562, 0.5222, 0.0598, NaN, NaN, +-++-, 0.149, 0.654, 1.049, 6.058, 0.013, 0.636, 4.183, 64.464
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, euclidean, padding, 50, 15, 1, RandomForestClassifier, Close_norm, Close_norm, 0.507, 0.0473, 0.4804, 0.0677, NaN, NaN, +---+, 0.148, 1.001, -0.36, -3.968, 0.014, 1.497, 3.623, 62.514
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], SAX, euclidean, padding, 50, 15, 1, RandomForestClassifier, Close_norm, Close_norm, 0.5012, 0.0669, 0.4816, 0.0799, NaN, NaN, +---+, 0.177, 0.592, -0.596, -7.443, 0.014, 1.757, 3.505, 60.776
 1, ['Close_norm'], None, euclidean, time_join, 50, 5, 1, RandomForestClassifier, Close_norm, Close_norm, 0.4786, 0.0408, 0.4661, 0.0407, NaN, NaN, ----+, 0.272, 0.468, -2.139, -28.626, 0.012, 0.851, 2.9, 51.217
 1, ['Close_norm'], SAX, euclidean, time_join, 50, 5, 1, RandomForestClassifier, Close_norm, Close_norm, 0.4961, 0.0636, 0.4579, 0.0704, NaN, NaN, +--++, 0.252, 1.261, 0.803, 15.434, 0.012, 1.794, 4.371, 73.247
 1, ['Close_norm'], None, euclidean, time_join, 50, 10, 1, RandomForestClassifier, Close_norm, Close_norm, 0.5106, 0.0445, 0.4986, 0.0457, NaN, NaN, ++---, 0.292, 0.52, -0.701, -15.692, 0.013, 0.782, 3.308, 53.589
