No. of features, selected_features, transformer, sim_func, fix_len_func, k stock, window_len, next_t, model, target_col, sim_col, mean_accuracy, std_accuracy, mean_f1, std_f1, mean_rmse, std_rmse, folds_result, mean_orders_count_per_hours, mean_sharpe_ratio, mean_profit_%, mean_profit, mean_L_orders_count_per_hours, mean_L_sharpe_ratio, mean_L_profit_%, mean_L_profit
1, ['Close_norm'], None, euclidean, padding,50,5,1, XGBClassifier, Close_norm, Close_norm,0.4786,0.0498,0.4434,0.0719, NaN, NaN, ---++,0.252,0.7,-0.599,3.451,0.012,1.539,3.67,67.255
1, ['Close_norm'], SAX, euclidean, padding,50,5,1, XGBClassifier, Close_norm, Close_norm,0.4812,0.047,0.4366,0.0655, NaN, NaN, +----,0.197,0.556,-1.545,-27.604,0.012,1.004,3.196,51.728
1, ['Close_norm'], None, euclidean, padding,50,10,1, XGBClassifier, Close_norm, Close_norm,0.4521,0.0435,0.4282,0.0465, NaN, NaN, +---+,0.224,-0.588,-2.112,-34.302,0.013,0.241,2.603,44.283
1, ['Close_norm'], SAX, euclidean, padding,50,10,1, XGBClassifier, Close_norm, Close_norm,0.4735,0.0649,0.4355,0.0664, NaN, NaN, +++--,0.181,-0.247,-1.595,-36.862,0.013,-0.104,2.861,43.004
1, ['Close_norm'], None, euclidean, padding,50,15,1, XGBClassifier, Close_norm, Close_norm,0.4444,0.043,0.427,0.0463, NaN, NaN, ----+,0.245,-0.114,-4.199,-65.226,0.014,0.514,1.703,31.884
1, ['Close_norm'], SAX, euclidean, padding,50,15,1, XGBClassifier, Close_norm, Close_norm,0.4957,0.0473,0.4521,0.0487, NaN, NaN, +-++-,0.182,0.086,0.943,10.813,0.014,0.849,4.274,69.904
7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, euclidean, padding,50,5,1, XGBClassifier, Close_norm, Close_norm,0.5276,0.0559,0.5221,0.0555, NaN, NaN, +-+++,0.391,1.27,4.855,83.415,0.013,1.228,5.861,99.031
7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, euclidean, padding,50,5,1, XGBClassifier, Close_norm, Close_norm,0.5128,0.0667,0.4813,0.084, NaN, NaN, +--+-,0.172,0.023,-1.237,-22.386,0.013,-0.004,2.814,46.13
7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], SAX, euclidean, padding,50,5,1, XGBClassifier, Close_norm, Close_norm,0.4949,0.0457,0.4838,0.0416, NaN, NaN, -+--+,0.353,0.352,-2.882,-47.025,0.013,0.233,1.992,33.81
7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, euclidean, padding,50,10,1, XGBClassifier, Close_norm, Close_norm,0.5146,0.0537,0.5073,0.0588, NaN, NaN, -++++,0.447,0.624,4.091,71.369,0.013,0.491,5.775,98.106
7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, euclidean, padding,50,10,1, XGBClassifier, Close_norm, Close_norm,0.5228,0.0321,0.4855,0.0582, NaN, NaN, +++-+,0.173,1.117,3.432,61.426,0.013,1.199,5.445,93.134
7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], SAX, euclidean, padding,50,10,1, XGBClassifier, Close_norm, Close_norm,0.488,0.0336,0.4865,0.0333, NaN, NaN, +-+--,0.345,0.372,-0.171,-13.53,0.013,0.983,3.644,55.656
7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, euclidean, padding,50,15,1, XGBClassifier, Close_norm, Close_norm,0.5375,0.0349,0.5171,0.0441, NaN, NaN, -+-++,0.394,0.653,0.496,10.107,0.014,0.666,3.905,67.336
7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, euclidean, padding,50,15,1, XGBClassifier, Close_norm, Close_norm,0.5232,0.0486,0.4725,0.0691, NaN, NaN, +--++,0.098,0.315,-1.338,-14.568,0.014,0.501,2.988,54.998
7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], SAX, euclidean, padding,50,15,1, XGBClassifier, Close_norm, Close_norm,0.5116,0.0541,0.4879,0.0479, NaN, NaN, +-+-+,0.356,0.336,0.429,6.84,0.014,0.814,3.872,65.702
3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, euclidean, padding,50,5,1, XGBClassifier, Close_norm, Close_norm,0.4689,0.0176,0.4539,0.0269, NaN, NaN, -++--,0.259,0.792,2.048,28.854,0.012,0.847,4.993,79.957
3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], SAX, euclidean, padding,50,5,1, XGBClassifier, Close_norm, Close_norm,0.4937,0.0335,0.4723,0.041, NaN, NaN, ----+,0.254,0.82,-2.985,-46.533,0.012,1.704,2.477,42.264
3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, euclidean, padding,50,10,1, XGBClassifier, Close_norm, Close_norm,0.5082,0.0558,0.4959,0.0518, NaN, NaN, ++-+-,0.21,0.446,-1.646,-39.262,0.013,0.28,2.836,41.804
3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], SAX, euclidean, padding,50,10,1, XGBClassifier, Close_norm, Close_norm,0.4895,0.0812,0.4812,0.0843, NaN, NaN, +----,0.197,-0.328,-1.438,-36.712,0.013,-0.082,2.94,43.079
3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, euclidean, padding,50,15,1, XGBClassifier, Close_norm, Close_norm,0.4843,0.043,0.4695,0.0403, NaN, NaN, +----,0.325,0.39,-5.139,-89.863,0.014,0.713,1.233,19.566
3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], SAX, euclidean, padding,50,15,1, XGBClassifier, Close_norm, Close_norm,0.4984,0.0666,0.486,0.0741, NaN, NaN, +---+,0.202,0.517,-2.763,-47.989,0.014,1.016,2.421,40.503
1, ['Close_norm'], None, euclidean, time_join,50,5,1, XGBClassifier, Close_norm, Close_norm,0.4785,0.0574,0.4413,0.0772, NaN, NaN, ---++,0.237,0.435,-2.165,-25.913,0.012,1.434,2.887,52.573
1, ['Close_norm'], SAX, euclidean, time_join,50,5,1, XGBClassifier, Close_norm, Close_norm,0.4712,0.0413,0.4207,0.0463, NaN, NaN, +----,0.195,0.355,-1.431,-24.446,0.012,0.854,3.253,53.307
1, ['Close_norm'], None, euclidean, time_join,50,10,1, XGBClassifier, Close_norm, Close_norm,0.4917,0.0709,0.482,0.0679, NaN, NaN, +---+,0.255,-0.365,-0.785,-7.603,0.013,0.432,3.266,57.633
1, ['Close_norm'], SAX, euclidean, time_join,50,10,1, XGBClassifier, Close_norm, Close_norm,0.5055,0.0314,0.4631,0.0598, NaN, NaN, +++--,0.16,0.378,1.189,13.202,0.013,0.554,4.253,68.036
1, ['Close_norm'], None, euclidean, time_join,50,15,1, XGBClassifier, Close_norm, Close_norm,0.4785,0.0602,0.4623,0.0641, NaN, NaN, ---+-,0.259,0.269,-3.158,-48.719,0.014,0.782,2.224,40.138
1, ['Close_norm'], SAX, euclidean, time_join,50,15,1, XGBClassifier, Close_norm, Close_norm,0.5016,0.0542,0.4653,0.0548, NaN, NaN, +-++-,0.176,0.269,-0.225,-11.835,0.014,0.873,3.69,58.58
7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, euclidean, time_join,50,5,1, XGBClassifier, Close_norm, Close_norm,0.5277,0.0527,0.5177,0.0487, NaN, NaN, +-+++,0.372,1.207,5.755,97.923,0.013,1.124,6.311,106.284
7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, euclidean, time_join,50,5,1, XGBClassifier, Close_norm, Close_norm,0.5028,0.0742,0.4697,0.0852, NaN, NaN, +--+-,0.182,0.054,-3.285,-59.513,0.013,-0.001,1.791,27.566
7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], SAX, euclidean, time_join,50,5,1, XGBClassifier, Close_norm, Close_norm,0.51,0.039,0.4981,0.0361, NaN, NaN, -+--+,0.336,0.341,-0.781,-6.288,0.013,0.455,3.042,54.179
7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, euclidean, time_join,50,10,1, XGBClassifier, Close_norm, Close_norm,0.4825,0.0409,0.474,0.0428, NaN, NaN, -++--,0.412,-0.196,0.066,-2.217,0.013,-0.146,3.762,61.312
7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, euclidean, time_join,50,10,1, XGBClassifier, Close_norm, Close_norm,0.5013,0.0353,0.4556,0.0417, NaN, NaN, +++-+,0.162,0.394,2.296,38.453,0.013,0.561,4.878,81.648
7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], SAX, euclidean, time_join,50,10,1, XGBClassifier, Close_norm, Close_norm,0.5362,0.0504,0.5346,0.0491, NaN, NaN, +-+-+,0.348,1.236,3.64,62.035,0.013,1.604,5.549,93.439
