No. of features, selected_features, transformer, sim_func, fix_len_func, k stock, window_len, next_t, model, target_col, sim_col, mean_accuracy, std_accuracy, mean_f1, std_f1, mean_rmse, std_rmse, folds_result, mean_orders_count_per_hours, mean_sharpe_ratio, mean_profit_%, mean_profit, mean_L_orders_count_per_hours, mean_L_sharpe_ratio, mean_L_profit_%, mean_L_profit
1, ['Close_norm'], None, euclidean, padding, 10, 5, 1, XGBRegressor, Close_norm, Close_norm, 0.4912, 0.0409, 0.4296, 0.0631, 0.654, 0.245, D-+++, 0.097, 1.351, 1.589, 29.261, 0.012, 1.453, 4.764, 80.161
 1, ['Close_norm'], SAX, euclidean, padding, 10, 5, 1, XGBRegressor, Close_norm, Close_norm, 0.4988, 0.0083, 0.4373, 0.055, 0.688, 0.244, D-+--, 0.115, 1.098, 1.251, 16.403, 0.012, 1.142, 4.595, 73.732
 1, ['Close_norm'], None, euclidean, padding, 10, 10, 1, XGBRegressor, Close_norm, Close_norm, 0.4867, 0.0321, 0.4209, 0.0525, 0.663, 0.249, D-++-, 0.066, 0.823, -0.638, -12.613, 0.013, 1.133, 3.34, 55.128
 1, ['Close_norm'], SAX, euclidean, padding, 10, 10, 1, XGBRegressor, Close_norm, Close_norm, 0.4867, 0.0188, 0.4197, 0.0513, 0.704, 0.262, D-+--, 0.09, 0.897, -0.583, -12.494, 0.013, 1.031, 3.367, 55.188
 1, ['Close_norm'], None, euclidean, padding, 10, 15, 1, XGBRegressor, Close_norm, Close_norm, 0.4872, 0.0374, 0.4132, 0.0569, 0.703, 0.278, D-++-, 0.088, 0.507, -1.28, -21.329, 0.014, 1.086, 3.163, 53.833
 1, ['Close_norm'], SAX, euclidean, padding, 10, 15, 1, XGBRegressor, Close_norm, Close_norm, 0.5071, 0.0326, 0.4414, 0.0714, 0.705, 0.246, D-+--, 0.123, 0.965, 1.74, 26.939, 0.014, 1.381, 4.673, 77.967
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, euclidean, padding, 10, 5, 1, XGBRegressor, Close_norm, Close_norm, 0.4748, 0.0367, 0.4142, 0.052, 0.651, 0.239, D-++-, 0.086, 0.675, -0.961, -17.38, 0.013, 0.796, 2.953, 48.633
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, euclidean, padding, 10, 5, 1, XGBRegressor, Close_norm, Close_norm, 0.4696, 0.0295, 0.4019, 0.0558, 0.892, 0.259, D--++, 0.073, 0.757, -0.861, -8.557, 0.013, 0.877, 3.003, 53.044
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], SAX, euclidean, padding, 10, 5, 1, XGBRegressor, Close_norm, Close_norm, 0.4746, 0.0343, 0.4199, 0.0574, 0.664, 0.228, D----, 0.111, 0.398, -2.954, -47.406, 0.013, 0.747, 1.956, 33.62
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, euclidean, padding, 10, 10, 1, XGBRegressor, Close_norm, Close_norm, 0.4826, 0.0305, 0.4183, 0.0565, 0.677, 0.257, D-+--, 0.094, 0.676, -0.519, -13.149, 0.013, 1.302, 3.47, 55.846
