No. of features, selected_features, transformer, sim_func, fix_len_func, k stock, window_len, next_t, model, target_col, sim_col, mean_accuracy, std_accuracy, mean_f1, std_f1, mean_rmse, std_rmse, folds_result, mean_orders_count_per_hours, mean_sharpe_ratio, mean_profit_%, mean_profit, mean_L_orders_count_per_hours, mean_L_sharpe_ratio, mean_L_profit_%, mean_L_profit
1, ['Close_norm'], None, euclidean, padding, 50, 5, 1, XGBRegressor, Close_norm, Close_norm, 0.4838, 0.0249, 0.4188, 0.0478, 0.654, 0.25, D-+++, 0.082, 1.051, 2.797, 46.882, 0.012, 1.172, 5.368, 88.971
 1, ['Close_norm'], SAX, euclidean, padding, 50, 5, 1, XGBRegressor, Close_norm, Close_norm, 0.4963, 0.0094, 0.4353, 0.0541, 0.698, 0.259, D-+--, 0.12, 1.031, 0.679, 7.351, 0.012, 1.231, 4.309, 69.206
 1, ['Close_norm'], None, euclidean, padding, 50, 10, 1, XGBRegressor, Close_norm, Close_norm, 0.4787, 0.0247, 0.4105, 0.0461, 0.651, 0.249, D-+--, 0.064, 0.73, -0.217, -3.329, 0.013, 0.998, 3.55, 59.77
 1, ['Close_norm'], SAX, euclidean, padding, 50, 10, 1, XGBRegressor, Close_norm, Close_norm, 0.4947, 0.0088, 0.4308, 0.0537, 0.711, 0.269, D-+--, 0.106, 0.986, 0.287, 3.707, 0.013, 1.194, 3.802, 63.288
 1, ['Close_norm'], None, euclidean, padding, 50, 15, 1, XGBRegressor, Close_norm, Close_norm, 0.4871, 0.0345, 0.411, 0.0529, 0.698, 0.278, D-+-+, 0.071, 0.608, -0.486, -5.813, 0.014, 1.064, 3.56, 61.591
 1, ['Close_norm'], SAX, euclidean, padding, 50, 15, 1, XGBRegressor, Close_norm, Close_norm, 0.4871, 0.0314, 0.4119, 0.0593, 0.714, 0.256, D-+--, 0.083, 0.547, -0.911, -14.532, 0.014, 1.16, 3.348, 57.232
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, euclidean, padding, 50, 5, 1, XGBRegressor, Close_norm, Close_norm, 0.4823, 0.0261, 0.4141, 0.0483, 0.656, 0.252, D-+--, 0.078, 0.789, -0.739, -12.857, 0.013, 0.864, 3.064, 50.895
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, euclidean, padding, 50, 5, 1, XGBRegressor, Close_norm, Close_norm, 0.4873, 0.0196, 0.4213, 0.0551, 1.03, 0.301, D---+, 0.088, 0.563, -2.409, -35.784, 0.013, 1.043, 2.229, 39.431
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], SAX, euclidean, padding, 50, 5, 1, XGBRegressor, Close_norm, Close_norm, 0.4974, 0.0318, 0.439, 0.0637, 0.694, 0.246, D---+, 0.114, 1.075, -1.536, -24.261, 0.013, 1.105, 2.665, 45.192
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, euclidean, padding, 50, 10, 1, XGBRegressor, Close_norm, Close_norm, 0.4825, 0.0269, 0.4146, 0.0467, 0.638, 0.247, D-+-+, 0.07, 0.734, 0.022, 1.44, 0.013, 1.39, 3.74, 63.141
