No. of features, selected_features, transformer, sim_func, fix_len_func, k stock, window_len, next_t, model, target_col, sim_col, mean_accuracy, std_accuracy, mean_f1, std_f1, mean_rmse, std_rmse, folds_result, mean_orders_count_per_hours, mean_sharpe_ratio, mean_profit_%, mean_profit, mean_L_orders_count_per_hours, mean_L_sharpe_ratio, mean_L_profit_%, mean_L_profit
1, ['Close_norm'], None, co-integration, time_join,0,5,1, LSTM, Close_norm, Close_norm,0.5211,0.0502,0.4846,0.0691,0.377,0.184, +--++,0.18,1.011,1.514,23.862,0.012,1.886,4.726,77.461
1, ['Close_norm'], SAX, co-integration, time_join,0,5,1, LSTM, Close_norm, Close_norm,0.5013,0.0317,0.4595,0.0559,0.651,0.313, +-++-,0.199,0.646,1.17,14.298,0.012,1.331,4.554,72.679
1, ['Close_norm'], None, co-integration, time_join,0,10,1, LSTM, Close_norm, Close_norm,0.5081,0.0481,0.4597,0.0739,0.418,0.203, +-+--,0.184,0.701,0.061,-3.311,0.013,1.981,3.689,59.779
1, ['Close_norm'], SAX, co-integration, time_join,0,10,1, LSTM, Close_norm, Close_norm,0.4948,0.0458,0.4538,0.0617,0.707,0.329, +----,0.175,0.474,-2.082,-37.482,0.013,1.555,2.618,42.694
1, ['Close_norm'], None, co-integration, time_join,0,15,1, LSTM, Close_norm, Close_norm,0.4871,0.05,0.4227,0.0741,0.497,0.277, +D+--,0.117,-0.057,-1.567,-27.609,0.014,0.508,3.019,50.693
1, ['Close_norm'], SAX, co-integration, time_join,0,15,1, LSTM, Close_norm, Close_norm,0.4672,0.0349,0.4113,0.0517,0.795,0.378, +---+,0.145,0.085,-2.486,-38.55,0.014,0.329,2.56,45.222
7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, co-integration, time_join,0,5,1, LSTM, Close_norm, Close_norm,0.4722,0.0445,0.4369,0.0752,0.531,0.244, D--+-,0.182,-0.021,-5.415,-91.581,0.013,0.159,0.725,11.532
7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, co-integration, time_join,0,5,1, LSTM, Close_norm, Close_norm,0.4898,0.041,0.45,0.0514,0.579,0.242, +-+++,0.121,0.932,1.656,32.475,0.013,1.406,4.261,73.56
7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], SAX, co-integration, time_join,0,5,1, LSTM, Close_norm, Close_norm,0.4824,0.0399,0.4252,0.0851,0.625,0.254, D---+,0.144,0.319,-5.038,-78.79,0.013,0.804,0.914,17.928
7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, co-integration, time_join,0,10,1, LSTM, Close_norm, Close_norm,0.4852,0.0534,0.4417,0.082,0.705,0.292, D-+-+,0.137,1.215,-0.748,-11.175,0.013,1.713,3.356,56.834
7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, co-integration, time_join,0,10,1, LSTM, Close_norm, Close_norm,0.5039,0.0387,0.4624,0.0775,0.608,0.248, D---+,0.1,1.024,-1.351,-21.116,0.013,1.131,3.054,51.863
7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], SAX, co-integration, time_join,0,10,1, LSTM, Close_norm, Close_norm,0.5283,0.0315,0.488,0.086,0.715,0.291, D+--+,0.143,1.343,-0.039,-0.17,0.013,1.302,3.71,62.336
7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, co-integration, time_join,0,15,1, LSTM, Close_norm, Close_norm,0.4798,0.0162,0.4415,0.0578,0.687,0.227, D-+-+,0.124,0.293,-1.004,-16.647,0.014,0.636,3.155,53.959
7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, co-integration, time_join,0,15,1, LSTM, Close_norm, Close_norm,0.4826,0.0518,0.4402,0.0607,0.812,0.301, +-+-+,0.095,0.483,-0.352,-4.475,0.014,1.598,3.481,60.045
7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], SAX, co-integration, time_join,0,15,1, LSTM, Close_norm, Close_norm,0.4856,0.0389,0.4489,0.0139,0.824,0.404, +-+--,0.162,0.641,-0.662,-14.835,0.014,1.226,3.327,54.865
3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, co-integration, time_join,0,5,1, LSTM, Close_norm, Close_norm,0.4938,0.0407,0.4437,0.0773,0.488,0.23, D-++-,0.184,1.237,-0.042,-0.822,0.012,1.687,3.948,65.119
