No. of features, selected_features, transformer, sim_func, fix_len_func, k stock, window_len, next_t, model, target_col, sim_col, mean_accuracy, std_accuracy, mean_f1, std_f1, mean_rmse, std_rmse, folds_result, mean_orders_count_per_hours, mean_sharpe_ratio, mean_profit_%, mean_profit, mean_L_orders_count_per_hours, mean_L_sharpe_ratio, mean_L_profit_%, mean_L_profit
1, ['Close_norm'], None, co-integration, time_join,0,5,1, LSTM, Close_norm, Close_norm,0.4699,0.0475,0.4101,0.0705,0.524,0.425, D---+,0.139,-0.567,-5.904,-37.4,0.018,0.445,0.589,2.062
1, ['Close_norm'], SAX, co-integration, time_join,0,5,1, LSTM, Close_norm, Close_norm,0.4698,0.0191,0.38,0.0513,1.2,0.847, D--+D,0.139,-0.561,-5.061,-26.348,0.018,-0.279,1.011,7.588
1, ['Close_norm'], None, co-integration, time_join,0,10,1, LSTM, Close_norm, Close_norm,0.5158,0.038,0.4233,0.0985,0.708,0.515, DD-++,0.102,-0.102,0.225,8.936,0.02,0.221,2.848,18.516
1, ['Close_norm'], SAX, co-integration, time_join,0,10,1, LSTM, Close_norm, Close_norm,0.5,0.0196,0.4146,0.0728,1.185,0.819, D+--D,0.149,0.035,-1.477,-2.62,0.02,0.706,1.998,12.738
1, ['Close_norm'], None, co-integration, time_join,0,15,1, LSTM, Close_norm, Close_norm,0.5063,0.0482,0.4177,0.0739,0.926,0.589, D--++,0.113,-0.327,-3.306,-8.656,0.022,0.241,1.141,9.112
1, ['Close_norm'], SAX, co-integration, time_join,0,15,1, LSTM, Close_norm, Close_norm,0.4846,0.0502,0.3813,0.0562,1.319,0.863, D---D,0.091,-0.812,-6.37,-31.876,0.022,-0.208,-0.391,-2.498
7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, co-integration, time_join,0,5,1, LSTM, Close_norm, Close_norm,0.511,0.0453,0.4474,0.108,1.146,0.913, D+--D,0.138,0.28,1.926,11.528,0.018,0.605,4.328,25.05
7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, co-integration, time_join,0,5,1, LSTM, Close_norm, Close_norm,0.5038,0.0435,0.4243,0.0853,1.164,0.819, D+-+D,0.098,0.112,1.388,13.636,0.018,0.421,4.059,26.104
7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], SAX, co-integration, time_join,0,5,1, LSTM, Close_norm, Close_norm,0.5001,0.0389,0.4335,0.0952,1.35,1.007, D--+D,0.098,-0.026,-3.265,-13.268,0.018,0.483,1.732,12.652
7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, co-integration, time_join,0,10,1, LSTM, Close_norm, Close_norm,0.482,0.0412,0.4086,0.0775,1.477,0.907, D+--D,0.088,0.042,-2.326,-10.048,0.02,0.11,1.441,8.1
7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, co-integration, time_join,0,10,1, LSTM, Close_norm, Close_norm,0.506,0.0496,0.4397,0.1011,1.224,0.906, D+--D,0.088,-0.116,-5.037,-28.228,0.02,-0.155,0.086,-0.99
7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], SAX, co-integration, time_join,0,10,1, LSTM, Close_norm, Close_norm,0.518,0.044,0.3961,0.0761,1.472,0.889, DD-+D,0.036,-0.249,-2.163,-4.024,0.02,-0.082,1.523,11.112
7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, co-integration, time_join,0,15,1, LSTM, Close_norm, Close_norm,0.4821,0.0325,0.3792,0.0526,1.434,0.874, DD--D,0.058,-0.667,-5.412,-25.702,0.022,-0.308,0.031,0.724
7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, co-integration, time_join,0,15,1, LSTM, Close_norm, Close_norm,0.5088,0.0622,0.4371,0.1032,1.483,0.82, D+--D,0.071,-0.371,-2.771,-14.502,0.022,-0.13,1.352,6.324
