No. of features, selected_features, transformer, sim_func, fix_len_func, k stock, window_len, next_t, model, target_col, sim_col, mean_accuracy, std_accuracy, mean_f1, std_f1, mean_rmse, std_rmse,mean_orders_count_per_hours, folds_result, mean_sharpe_ratio, mean_profit_%, mean_profit
1, ['Close_norm'], None, euclidean, padding, 50, 5, 1, GradientBoostingRegressor, Close_proc, Close_norm, 0.4986, 0.0416, 0.4766, 0.0636, 0.009, 0.003, 0.17, -+-++, 0.842, -2.375, -32.36
 1, ['Close_norm'], None, euclidean, padding, 50, 10, 1, GradientBoostingRegressor, Close_proc, Close_norm, 0.4815, 0.0567, 0.3974, 0.0924, 0.008, 0.003, 0.085, ++-+-, 0.72, 0.846, 11.357
 1, ['Close_norm'], None, euclidean, padding, 50, 15, 1, GradientBoostingRegressor, Close_proc, Close_norm, 0.4901, 0.0413, 0.408, 0.0811, 0.008, 0.003, 0.106, X--+-, 0.226, -3.789, -60.548
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, euclidean, padding, 50, 5, 1, GradientBoostingRegressor, Close_proc, Close_norm, 0.4949, 0.0467, 0.4796, 0.0462, 0.008, 0.003, 0.255, +---+, 0.362, -2.805, -44.222
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, euclidean, padding, 50, 5, 1, GradientBoostingRegressor, Close_proc, Close_norm, 0.5153, 0.0636, 0.4518, 0.0825, 0.008, 0.003, 0.162, +-++-, 0.054, 2.806, 45.752
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, euclidean, padding, 50, 10, 1, GradientBoostingRegressor, Close_proc, Close_norm, 0.5122, 0.0708, 0.4806, 0.0666, 0.008, 0.002, 0.375, +-+--, -0.143, 3.534, 53.492
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, euclidean, padding, 50, 10, 1, GradientBoostingRegressor, Close_proc, Close_norm, 0.4742, 0.0362, 0.4418, 0.0397, 0.008, 0.003, 0.11, ----+, 0.888, -3.824, -61.822
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, euclidean, padding, 50, 15, 1, GradientBoostingRegressor, Close_proc, Close_norm, 0.5146, 0.0452, 0.4749, 0.0843, 0.008, 0.003, 0.281, +++--, 0.543, 1.325, 14.232
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, euclidean, padding, 50, 15, 1, GradientBoostingRegressor, Close_proc, Close_norm, 0.4971, 0.0424, 0.3934, 0.0879, 0.008, 0.003, 0.081, X-X+X, 0.112, 1.433, 33.575
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, euclidean, padding, 50, 5, 1, GradientBoostingRegressor, Close_proc, Close_norm, 0.4663, 0.0295, 0.4514, 0.0406, 0.008, 0.003, 0.147, ---+-, 0.084, -4.538, -74.502
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, euclidean, padding, 50, 10, 1, GradientBoostingRegressor, Close_proc, Close_norm, 0.5135, 0.0624, 0.4462, 0.0862, 0.009, 0.003, 0.096, ++-+-, 0.687, 1.636, 26.57
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, euclidean, padding, 50, 15, 1, GradientBoostingRegressor, Close_proc, Close_norm, 0.49, 0.0585, 0.4589, 0.0901, 0.008, 0.003, 0.145, +---+, 0.4, -1.103, -17.851
 1, ['Close_norm'], None, euclidean, time_join, 50, 5, 1, GradientBoostingRegressor, Close_proc, Close_norm, 0.4961, 0.0418, 0.4715, 0.0624, 0.009, 0.003, 0.162, -+--+, 0.806, -1.768, -19.124
 1, ['Close_norm'], None, euclidean, time_join, 50, 10, 1, GradientBoostingRegressor, Close_proc, Close_norm, 0.4868, 0.0519, 0.4017, 0.0872, 0.008, 0.003, 0.106, ++-+-, 0.69, 0.973, 13.892
 1, ['Close_norm'], None, euclidean, time_join, 50, 15, 1, GradientBoostingRegressor, Close_proc, Close_norm, 0.4758, 0.0246, 0.3952, 0.0585, 0.008, 0.003, 0.105, X----, 0.24, -4.247, -68.829
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, euclidean, time_join, 50, 5, 1, GradientBoostingRegressor, Close_proc, Close_norm, 0.4773, 0.0469, 0.4554, 0.0575, 0.008, 0.003, 0.23, +----, 0.009, -3.505, -60.81
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, euclidean, time_join, 50, 5, 1, GradientBoostingRegressor, Close_proc, Close_norm, 0.5254, 0.0712, 0.4628, 0.0915, 0.008, 0.003, 0.172, +-++-, 0.034, 4.034, 67.254
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, euclidean, time_join, 50, 10, 1, GradientBoostingRegressor, Close_proc, Close_norm, 0.5337, 0.0604, 0.4991, 0.0647, 0.008, 0.002, 0.321, +-+++, 0.777, 7.174, 117.71
