No. of features, selected_features, transformer, sim_func, fix_len_func, k stock, window_len, next_t, model, target_col, sim_col, mean_accuracy, std_accuracy, mean_f1, std_f1, mean_rmse, std_rmse,mean_orders_count_per_hours, folds_result, mean_sharpe_ratio, mean_profit_%, mean_profit
1, ['Close_norm'], None, euclidean, padding, 25, 10, 1, RandomForestClassifier, Close_norm, Close_norm, 0.5, 0.0253, 0.4824, 0.0194, NaN, NaN, 0.25, ++---, 0.53, 0.654, 4.949
 1, ['Close_norm'], None, euclidean, padding, 25, 15, 1, RandomForestClassifier, Close_norm, Close_norm, 0.47, 0.0429, 0.4401, 0.0633, NaN, NaN, 0.222, ----+, -0.43, -5.157, -78.63
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, euclidean, padding, 25, 10, 1, RandomForestClassifier, Close_norm, Close_norm, 0.5012, 0.0559, 0.4943, 0.051, NaN, NaN, 0.315, +-+-+, 0.524, 2.646, 45.287
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, euclidean, padding, 25, 10, 1, RandomForestClassifier, Close_norm, Close_norm, 0.4798, 0.0502, 0.4602, 0.0415, NaN, NaN, 0.261, +-++-, -0.256, 1.797, 28.051
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, euclidean, padding, 25, 15, 1, RandomForestClassifier, Close_norm, Close_norm, 0.4913, 0.0319, 0.462, 0.0523, NaN, NaN, 0.336, --+-+, 0.125, 0.107, 3.207
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, euclidean, padding, 25, 15, 1, RandomForestClassifier, Close_norm, Close_norm, 0.5115, 0.0582, 0.4731, 0.0592, NaN, NaN, 0.185, +---+, 0.771, -1.906, -24.591
 1, ['Close_norm'], None, euclidean, time_join, 25, 10, 1, RandomForestClassifier, Close_norm, Close_norm, 0.4998, 0.0402, 0.485, 0.0424, NaN, NaN, 0.255, ++---, 0.628, 0.366, 1.777
 1, ['Close_norm'], None, euclidean, time_join, 25, 15, 1, RandomForestClassifier, Close_norm, Close_norm, 0.4616, 0.0432, 0.4375, 0.066, NaN, NaN, 0.211, -----, -0.831, -7.99, -135.346
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, euclidean, time_join, 25, 10, 1, RandomForestClassifier, Close_norm, Close_norm, 0.4878, 0.0488, 0.4748, 0.0452, NaN, NaN, 0.288, +-+-+, 0.281, 3.064, 52.476
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, euclidean, time_join, 25, 10, 1, RandomForestClassifier, Close_norm, Close_norm, 0.4959, 0.0475, 0.4799, 0.0415, NaN, NaN, 0.256, +-+++, -0.025, 3.934, 69.915
