No. of features, selected_features, transformer, sim_func, fix_len_func, k stock, window_len, next_t, model, target_col, sim_col, mean_accuracy, std_accuracy, mean_f1, std_f1, mean_rmse, std_rmse,mean_orders_count_per_hours, folds_result, mean_sharpe_ratio, mean_profit_%, mean_profit
1, ['Close_norm'], None, euclidean, padding, 50, 5, 1, RandomForestRegressor, Close_norm, Close_norm, 0.531, 0.0653, 0.5259, 0.0611, 0.394, 0.212, 0.376, +-+++, 1.24, 4.566, 78.134
 1, ['Close_norm'], None, euclidean, padding, 50, 10, 1, RandomForestRegressor, Close_norm, Close_norm, 0.4972, 0.0384, 0.4844, 0.0359, 0.35, 0.179, 0.333, --+++, 0.464, 1.127, 20.965
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, euclidean, padding, 50, 5, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5153, 0.0482, 0.5038, 0.0362, 0.401, 0.195, 0.318, +-++-, 0.839, 4.114, 60.802
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, euclidean, padding, 50, 10, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5067, 0.0325, 0.4916, 0.0304, 0.385, 0.19, 0.288, ++-++, 1.368, 1.651, 30.925
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, euclidean, padding, 50, 5, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5187, 0.044, 0.5138, 0.0415, 0.389, 0.202, 0.304, +-+++, 0.765, 3.941, 64.745
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, euclidean, padding, 50, 10, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5372, 0.0682, 0.5256, 0.0635, 0.365, 0.182, 0.253, +--+-, 0.603, 1.025, 16.185
 1, ['Close_norm'], None, euclidean, time_join, 50, 5, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5335, 0.0673, 0.5269, 0.0619, 0.396, 0.218, 0.357, +-+++, 0.708, 3.612, 59.554
 1, ['Close_norm'], None, euclidean, time_join, 50, 10, 1, RandomForestRegressor, Close_norm, Close_norm, 0.484, 0.032, 0.4731, 0.0258, 0.361, 0.2, 0.367, --+++, 0.21, 1.813, 36.126
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, euclidean, time_join, 50, 5, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5077, 0.0442, 0.4957, 0.0279, 0.409, 0.21, 0.308, +-++-, 0.615, 3.164, 44.98
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, euclidean, time_join, 50, 10, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5175, 0.0381, 0.5014, 0.0389, 0.393, 0.209, 0.302, ++-++, 1.097, 3.313, 62.52
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, euclidean, time_join, 50, 5, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5161, 0.0424, 0.5102, 0.0387, 0.392, 0.209, 0.274, +-+++, 0.676, 3.343, 57.763
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, euclidean, time_join, 50, 10, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5134, 0.0571, 0.5058, 0.0523, 0.376, 0.2, 0.306, +--+-, 0.625, 0.388, 4.331
 1, ['Close_norm'], None, euclidean, delay_time_join, 50, 5, 1, RandomForestRegressor, Close_norm, Close_norm, 0.521, 0.0518, 0.5084, 0.0498, 0.4, 0.219, 0.372, +-+-+, 0.922, 1.878, 34.758
 1, ['Close_norm'], None, euclidean, delay_time_join, 50, 10, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5079, 0.0495, 0.4963, 0.0442, 0.365, 0.208, 0.33, +++++, 0.751, 5.202, 89.611
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, euclidean, delay_time_join, 50, 5, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5027, 0.0377, 0.4916, 0.0298, 0.411, 0.208, 0.29, ++-+-, 0.472, -1.066, -24.02
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, euclidean, delay_time_join, 50, 10, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5121, 0.0611, 0.4969, 0.0684, 0.402, 0.212, 0.283, +--++, 1.172, 1.394, 33.939
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, euclidean, delay_time_join, 50, 5, 1, RandomForestRegressor, Close_norm, Close_norm, 0.4812, 0.0477, 0.4721, 0.0433, 0.394, 0.206, 0.23, ---++, 0.014, -3.585, -48.027
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, euclidean, delay_time_join, 50, 10, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5319, 0.0305, 0.5222, 0.0236, 0.38, 0.204, 0.29, +++++, 0.924, 4.802, 79.348
 1, ['Close_norm'], None, euclidean, pip, 50, 5, 1, RandomForestRegressor, Close_norm, Close_norm, 0.541, 0.0668, 0.5358, 0.0652, 0.396, 0.221, 0.379, +-+++, 1.049, 5.149, 89.088
 1, ['Close_norm'], None, euclidean, pip, 50, 10, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5027, 0.0308, 0.4972, 0.0264, 0.365, 0.21, 0.346, ++++-, 0.683, 5.402, 84.871
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, euclidean, pip, 50, 5, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5152, 0.0218, 0.5005, 0.0134, 0.413, 0.215, 0.285, +-+++, 0.9, 4.821, 75.855
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, euclidean, pip, 50, 10, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5068, 0.0527, 0.4876, 0.0606, 0.399, 0.218, 0.294, +-+++, 1.315, 3.502, 59.705
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, euclidean, pip, 50, 5, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5286, 0.0622, 0.5247, 0.0625, 0.394, 0.212, 0.282, +--++, 0.695, 0.123, 4.007
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, euclidean, pip, 50, 10, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5426, 0.0536, 0.5311, 0.0537, 0.384, 0.207, 0.284, ++++-, 0.957, 5.786, 92.397
 1, ['Close_norm'], None, pearson, padding, 50, 5, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5187, 0.0573, 0.5117, 0.0484, 0.403, 0.219, 0.367, +--++, 0.617, 0.9, 12.216
 1, ['Close_norm'], None, pearson, padding, 50, 10, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5159, 0.0296, 0.5058, 0.0217, 0.356, 0.183, 0.343, +-+++, 0.924, 4.706, 78.978
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, pearson, padding, 50, 5, 1, RandomForestRegressor, Close_norm, Close_norm, 0.4824, 0.0407, 0.4607, 0.0418, 0.401, 0.196, 0.268, ++---, 0.868, -0.892, -20.003
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, pearson, padding, 50, 10, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5122, 0.0513, 0.4966, 0.0524, 0.386, 0.192, 0.278, ++-++, 1.458, 2.998, 53.178
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, pearson, padding, 50, 5, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5063, 0.0468, 0.5017, 0.0437, 0.393, 0.204, 0.289, +--+-, 0.618, -0.384, -5.888
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, pearson, padding, 50, 10, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5533, 0.0775, 0.5466, 0.077, 0.366, 0.184, 0.264, +-++-, 0.853, 6.841, 105.14
 1, ['Close_norm'], None, pearson, time_join, 50, 5, 1, RandomForestRegressor, Close_norm, Close_norm, 0.546, 0.0557, 0.5369, 0.0487, 0.402, 0.221, 0.362, +--++, 1.121, 1.97, 33.961
