No. of features, selected_features, transformer, sim_func, fix_len_func, k stock, window_len, next_t, model, target_col, sim_col, mean_accuracy, std_accuracy, mean_f1, std_f1, mean_rmse, std_rmse,mean_orders_count_per_hours, folds_result, mean_sharpe_ratio, mean_profit_%, mean_profit
7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, euclidean, padding, 10, 5, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5152, 0.0814, 0.4574, 0.1201, 0.765, 0.222, 0.124, ---++, 0.837, 0.946, 21.256
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, euclidean, padding, 10, 15, 1, RandomForestRegressor, Close_norm, Close_norm, 0.4739, 0.0404, 0.413, 0.0655, 0.939, 0.354, 0.081, ----+, 0.516, -3.004, -45.699
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, euclidean, time_join, 10, 5, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5076, 0.067, 0.4499, 0.1079, 0.777, 0.241, 0.124, ---++, 0.818, 0.61, 15.463
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, euclidean, time_join, 10, 15, 1, RandomForestRegressor, Close_norm, Close_norm, 0.4913, 0.0632, 0.432, 0.0944, 0.965, 0.328, 0.101, ---+-, 0.735, -2.503, -38.993
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, euclidean, delay_time_join, 10, 5, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5126, 0.0663, 0.4583, 0.0974, 0.777, 0.23, 0.134, ---++, 0.869, 1.246, 26.396
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, euclidean, delay_time_join, 10, 15, 1, RandomForestRegressor, Close_norm, Close_norm, 0.4768, 0.0598, 0.4163, 0.0869, 1.056, 0.375, 0.095, X--+-, 0.551, -3.206, -50.166
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, euclidean, pip, 10, 5, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5227, 0.0688, 0.4761, 0.0968, 0.784, 0.245, 0.134, ---++, 0.929, 1.765, 35.783
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, euclidean, pip, 10, 15, 1, RandomForestRegressor, Close_norm, Close_norm, 0.4826, 0.0371, 0.4223, 0.0731, 0.956, 0.337, 0.093, X----, 0.692, -2.465, -38.914
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, pearson, padding, 10, 5, 1, RandomForestRegressor, Close_norm, Close_norm, 0.4974, 0.0506, 0.4404, 0.0845, 0.784, 0.246, 0.134, ---++, 0.818, 0.669, 17.552
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, pearson, padding, 10, 15, 1, RandomForestRegressor, Close_norm, Close_norm, 0.4739, 0.0453, 0.4126, 0.0714, 1.006, 0.364, 0.098, X---+, 0.492, -2.718, -40.259
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, pearson, time_join, 10, 5, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5051, 0.0684, 0.4517, 0.1037, 0.766, 0.258, 0.129, ---++, 0.83, 0.479, 12.611
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, pearson, time_join, 10, 15, 1, RandomForestRegressor, Close_norm, Close_norm, 0.4711, 0.044, 0.4115, 0.0704, 1.001, 0.34, 0.081, X----, 0.295, -4.066, -66.171
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, pearson, delay_time_join, 10, 5, 1, RandomForestRegressor, Close_norm, Close_norm, 0.4949, 0.0501, 0.4384, 0.0833, 0.763, 0.242, 0.139, ---++, 0.86, 0.405, 12.641
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, pearson, delay_time_join, 10, 15, 1, RandomForestRegressor, Close_norm, Close_norm, 0.4798, 0.0379, 0.4226, 0.0707, 1.049, 0.386, 0.093, X----, 0.798, -2.187, -35.275
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, pearson, pip, 10, 5, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5101, 0.0702, 0.4561, 0.1103, 0.798, 0.257, 0.124, X--++, 0.835, 1.328, 28.126
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, pearson, pip, 10, 15, 1, RandomForestRegressor, Close_norm, Close_norm, 0.471, 0.0514, 0.4059, 0.0877, 0.902, 0.303, 0.084, X-X--, 0.439, -3.829, -61.291
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, co-integration, padding, 10, 5, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5101, 0.0585, 0.4571, 0.0914, 0.952, 0.385, 0.156, ---++, 0.798, 0.744, 17.218
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, co-integration, padding, 10, 15, 1, RandomForestRegressor, Close_norm, Close_norm, 0.4767, 0.059, 0.4092, 0.0961, 1.116, 0.402, 0.089, X----, 0.353, -3.57, -56.27
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, co-integration, time_join, 10, 5, 1, RandomForestRegressor, Close_norm, Close_norm, 0.51, 0.0508, 0.4554, 0.0856, 0.955, 0.406, 0.146, ---++, 0.939, 0.451, 11.827
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, co-integration, time_join, 10, 15, 1, RandomForestRegressor, Close_norm, Close_norm, 0.4709, 0.0556, 0.4046, 0.0916, 1.149, 0.386, 0.089, X----, 0.355, -3.567, -56.046
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, co-integration, delay_time_join, 10, 5, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5251, 0.069, 0.4685, 0.1109, 0.982, 0.252, 0.151, ---++, 0.643, -0.603, -2.783
