No. of features, selected_features, transformer, sim_func, fix_len_func, k stock, window_len, next_t, model, target_col, sim_col, mean_accuracy, std_accuracy, mean_f1, std_f1, mean_rmse, std_rmse,mean_orders_count_per_hours, folds_result, mean_sharpe_ratio, mean_profit_%, mean_profit
7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, euclidean, padding, 50, 5, 1, RandomForestRegressor, Close_norm, Close_norm, 0.4974, 0.0407, 0.4355, 0.082, 0.988, 0.341, 0.113, X--++, 0.703, -1.53, -19.343
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, euclidean, padding, 50, 15, 1, RandomForestRegressor, Close_norm, Close_norm, 0.4884, 0.0628, 0.4213, 0.0979, 1.098, 0.548, 0.095, X--+-, 0.336, -2.386, -37.129
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, euclidean, time_join, 50, 5, 1, RandomForestRegressor, Close_norm, Close_norm, 0.4874, 0.0358, 0.4222, 0.0709, 0.987, 0.332, 0.093, X---+, 0.574, -2.685, -41.861
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, euclidean, time_join, 50, 15, 1, RandomForestRegressor, Close_norm, Close_norm, 0.4827, 0.0575, 0.4142, 0.091, 1.123, 0.511, 0.084, X--+-, 0.156, -3.209, -52.256
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, euclidean, delay_time_join, 50, 5, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5051, 0.0529, 0.4478, 0.0852, 0.941, 0.328, 0.124, ---++, 0.737, -1.798, -25.737
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, euclidean, delay_time_join, 50, 15, 1, RandomForestRegressor, Close_norm, Close_norm, 0.4855, 0.0531, 0.4134, 0.0964, 1.121, 0.514, 0.09, X-X+-, 0.038, -4.006, -65.427
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, euclidean, pip, 50, 5, 1, RandomForestRegressor, Close_norm, Close_norm, 0.4949, 0.0306, 0.438, 0.079, 0.991, 0.354, 0.119, X----, 0.943, -2.237, -36.266
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, euclidean, pip, 50, 15, 1, RandomForestRegressor, Close_norm, Close_norm, 0.4739, 0.053, 0.4073, 0.0805, 1.125, 0.475, 0.072, +-X--, 0.282, -4.459, -73.957
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, pearson, padding, 50, 5, 1, RandomForestRegressor, Close_norm, Close_norm, 0.4975, 0.0411, 0.4378, 0.0781, 0.979, 0.372, 0.129, ---+-, 0.78, -2.367, -36.444
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, pearson, padding, 50, 15, 1, RandomForestRegressor, Close_norm, Close_norm, 0.474, 0.0586, 0.4042, 0.0936, 1.139, 0.585, 0.084, X-X+-, 0.082, -4.148, -67.257
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, pearson, time_join, 50, 5, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5, 0.0456, 0.4367, 0.0788, 0.982, 0.38, 0.114, ---++, 0.692, -1.847, -25.626
