No. of features, selected_features, transformer, sim_func, fix_len_func, k stock, window_len, next_t, model, target_col, sim_col, mean_accuracy, std_accuracy, mean_f1, std_f1, mean_rmse, std_rmse,mean_orders_count_per_hours, folds_result, mean_sharpe_ratio, mean_profit_%, mean_profit
1, ['Close_norm'], SAX, euclidean, padding, 50, 5, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5185, 0.0376, 0.5045, 0.04, 0.524, 0.242, 0.292, +-+-+, 0.476, 1.832, 25.274
 1, ['Close_norm'], SAX, euclidean, padding, 50, 15, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5155, 0.045, 0.493, 0.0611, 0.53, 0.241, 0.259, --+++, 0.785, 3.837, 64.043
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], SAX, euclidean, padding, 50, 5, 1, RandomForestRegressor, Close_norm, Close_norm, 0.4923, 0.0345, 0.4727, 0.0469, 0.512, 0.194, 0.268, -+-++, 1.301, 0.919, 18.455
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], SAX, euclidean, padding, 50, 15, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5173, 0.0302, 0.4938, 0.0252, 0.562, 0.278, 0.234, ++-++, 1.4, 2.282, 41.593
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], SAX, euclidean, padding, 50, 5, 1, RandomForestRegressor, Close_norm, Close_norm, 0.4963, 0.0146, 0.4834, 0.0367, 0.49, 0.225, 0.297, +-+--, 1.013, 2.403, 34.942
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], SAX, euclidean, padding, 50, 15, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5157, 0.0321, 0.4927, 0.025, 0.532, 0.264, 0.254, +----, 0.794, -1.555, -27.838
 1, ['Close_norm'], SAX, euclidean, time_join, 50, 5, 1, RandomForestRegressor, Close_norm, Close_norm, 0.536, 0.0517, 0.5219, 0.0578, 0.523, 0.243, 0.277, +-+++, 0.754, 5.437, 92.742
 1, ['Close_norm'], SAX, euclidean, time_join, 50, 15, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5041, 0.0538, 0.4819, 0.0642, 0.525, 0.241, 0.256, --+-+, 0.329, 3.032, 50.399
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], SAX, euclidean, time_join, 50, 5, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5049, 0.0466, 0.4859, 0.0604, 0.517, 0.203, 0.278, -+-++, 1.304, 1.721, 33.9
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], SAX, euclidean, time_join, 50, 15, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5058, 0.0277, 0.4818, 0.026, 0.56, 0.264, 0.255, ++-++, 1.192, 1.489, 26.715
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], SAX, euclidean, time_join, 50, 5, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5061, 0.0235, 0.4925, 0.043, 0.491, 0.226, 0.282, +-+++, 1.096, 5.454, 92.35
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], SAX, euclidean, time_join, 50, 15, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5015, 0.0351, 0.4752, 0.0237, 0.535, 0.276, 0.248, +----, 0.67, -1.924, -34.538
 1, ['Close_norm'], SAX, euclidean, delay_time_join, 50, 5, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5286, 0.0342, 0.5132, 0.0456, 0.52, 0.24, 0.297, +-+++, 0.53, 2.711, 43.251
 1, ['Close_norm'], SAX, euclidean, delay_time_join, 50, 15, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5098, 0.0453, 0.4873, 0.0506, 0.518, 0.232, 0.265, +-+-+, 0.605, 3.015, 47.694
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], SAX, euclidean, delay_time_join, 50, 5, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5176, 0.0481, 0.5038, 0.0544, 0.511, 0.2, 0.293, ++-++, 1.429, 2.095, 37.868
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], SAX, euclidean, delay_time_join, 50, 15, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5145, 0.0145, 0.4845, 0.0249, 0.564, 0.269, 0.243, +--++, 0.988, 1.588, 29.103
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], SAX, euclidean, delay_time_join, 50, 5, 1, RandomForestRegressor, Close_norm, Close_norm, 0.4987, 0.01, 0.4859, 0.0282, 0.482, 0.227, 0.279, +-++-, 1.034, 2.964, 45.376
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], SAX, euclidean, delay_time_join, 50, 15, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5185, 0.0246, 0.4934, 0.0304, 0.52, 0.271, 0.242, +--+-, 1.03, -0.377, -6.804
 1, ['Close_norm'], SAX, euclidean, pip, 50, 5, 1, RandomForestRegressor, Close_norm, Close_norm, 0.531, 0.0446, 0.5196, 0.0511, 0.52, 0.245, 0.277, +-+-+, 0.431, 2.978, 50.004
 1, ['Close_norm'], SAX, euclidean, pip, 50, 15, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5185, 0.0219, 0.4966, 0.0424, 0.537, 0.261, 0.236, +-+--, 0.96, 4.037, 63.478
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], SAX, euclidean, pip, 50, 5, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5124, 0.056, 0.4963, 0.0641, 0.53, 0.223, 0.303, ++--+, 1.262, 0.613, 14.018
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], SAX, euclidean, pip, 50, 15, 1, RandomForestRegressor, Close_norm, Close_norm, 0.4999, 0.0424, 0.4763, 0.0349, 0.559, 0.275, 0.234, +--++, 0.702, 0.181, 9.218
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], SAX, euclidean, pip, 50, 5, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5187, 0.0326, 0.502, 0.0558, 0.49, 0.235, 0.262, +-++-, 1.265, 3.506, 52.934
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], SAX, euclidean, pip, 50, 15, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5156, 0.0307, 0.4891, 0.0377, 0.51, 0.284, 0.228, ----+, 0.707, -0.015, 4.229
 1, ['Close_norm'], SAX, pearson, padding, 50, 5, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5311, 0.03, 0.5146, 0.0426, 0.521, 0.238, 0.297, ++++-, 0.535, 2.11, 31.876
 1, ['Close_norm'], SAX, pearson, padding, 50, 15, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5241, 0.0444, 0.5051, 0.0523, 0.528, 0.244, 0.242, +-+-+, 0.846, 1.999, 32.884
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], SAX, pearson, padding, 50, 5, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5074, 0.0391, 0.4909, 0.0496, 0.514, 0.201, 0.288, ++-++, 1.348, 1.407, 28.509
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], SAX, pearson, padding, 50, 15, 1, RandomForestRegressor, Close_norm, Close_norm, 0.526, 0.0296, 0.4977, 0.0439, 0.574, 0.281, 0.243, +-+++, 1.11, 2.285, 42.526
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], SAX, pearson, padding, 50, 5, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5061, 0.0332, 0.4922, 0.0476, 0.489, 0.236, 0.289, +-+-+, 1.001, 3.089, 49.21
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], SAX, pearson, padding, 50, 15, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5098, 0.0453, 0.4884, 0.039, 0.527, 0.265, 0.236, +---+, 0.715, -2.476, -41.414
