No. of features, selected_features, transformer, sim_func, fix_len_func, k stock, window_len, next_t, model, target_col, sim_col, mean_accuracy, std_accuracy, mean_f1, std_f1, mean_rmse, std_rmse,mean_orders_count_per_hours, folds_result, mean_sharpe_ratio, mean_profit_%, mean_profit
3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, euclidean, padding, 10, 5, 1, XGBClassifier, Close_norm, Close_norm, 0.5238, 0.057, 0.5023, 0.0573, NaN, NaN, 0.22, +-++-, 0.494, 4.013, 63.296
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, euclidean, padding, 10, 10, 1, XGBClassifier, Close_norm, Close_norm, 0.532, 0.0414, 0.5102, 0.0432, NaN, NaN, 0.255, +++--, 0.711, 3.672, 52.598
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, euclidean, time_join, 10, 5, 1, XGBClassifier, Close_norm, Close_norm, 0.5361, 0.0465, 0.5202, 0.0462, NaN, NaN, 0.229, +-+++, 0.686, 4.73, 77.624
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, euclidean, time_join, 10, 10, 1, XGBClassifier, Close_norm, Close_norm, 0.5348, 0.055, 0.5088, 0.0617, NaN, NaN, 0.245, ++++-, 0.835, 5.258, 79.878
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, euclidean, delay_time_join, 10, 5, 1, XGBClassifier, Close_norm, Close_norm, 0.5135, 0.0397, 0.4879, 0.0491, NaN, NaN, 0.192, +-+++, 1.183, 3.73, 66.153
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, euclidean, delay_time_join, 10, 10, 1, XGBClassifier, Close_norm, Close_norm, 0.484, 0.0213, 0.4788, 0.0213, NaN, NaN, 0.338, ++---, 0.133, -1.467, -28.392
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, euclidean, pip, 10, 5, 1, XGBClassifier, Close_norm, Close_norm, 0.5186, 0.0356, 0.4895, 0.0429, NaN, NaN, 0.219, +-+++, 1.041, 3.05, 54.83
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, euclidean, pip, 10, 10, 1, XGBClassifier, Close_norm, Close_norm, 0.5212, 0.0206, 0.5052, 0.0243, NaN, NaN, 0.237, ++--+, 0.303, 1.792, 32.848
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, pearson, padding, 10, 5, 1, XGBClassifier, Close_norm, Close_norm, 0.5187, 0.0379, 0.5034, 0.0409, NaN, NaN, 0.222, +-++-, 1.059, 0.643, 9.29
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, pearson, padding, 10, 10, 1, XGBClassifier, Close_norm, Close_norm, 0.5347, 0.0426, 0.5107, 0.0338, NaN, NaN, 0.284, ++++-, 0.831, 3.997, 61.087
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, pearson, time_join, 10, 5, 1, XGBClassifier, Close_norm, Close_norm, 0.5285, 0.0438, 0.5135, 0.0506, NaN, NaN, 0.224, +-+++, 1.266, 1.429, 26.913
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, pearson, time_join, 10, 10, 1, XGBClassifier, Close_norm, Close_norm, 0.5321, 0.0525, 0.5116, 0.0448, NaN, NaN, 0.282, ++++-, 0.662, 3.139, 42.892
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, pearson, delay_time_join, 10, 5, 1, XGBClassifier, Close_norm, Close_norm, 0.5286, 0.0213, 0.5057, 0.0298, NaN, NaN, 0.214, +++++, 1.342, 3.284, 55.608
