No. of features, selected_features, transformer, sim_func, fix_len_func, k stock, window_len, next_t, model, target_col, sim_col, mean_accuracy, std_accuracy, mean_f1, std_f1, mean_rmse, std_rmse, folds_result, mean_orders_count_per_hours, mean_sharpe_ratio, mean_profit_%, mean_profit, mean_L_orders_count_per_hours, mean_L_sharpe_ratio, mean_L_profit_%, mean_L_profit
1, ['Close_norm'], None, co-integration, time_join,0,5,1, LSTM, Close_norm, Close_norm,0.5137,0.054,0.4591,0.0934,0.384,0.223, +--+-,0.175,0.193,-1.947,-34.227,0.012,1.22,2.996,48.417
1, ['Close_norm'], SAX, co-integration, time_join,0,5,1, LSTM, Close_norm, Close_norm,0.5286,0.042,0.4927,0.0696,0.621,0.281, +--++,0.207,0.853,0.656,16.011,0.012,1.458,4.297,73.536
1, ['Close_norm'], None, co-integration, time_join,0,10,1, LSTM, Close_norm, Close_norm,0.5081,0.0655,0.4549,0.0943,0.417,0.206, +-++-,0.194,0.625,1.131,15.572,0.013,1.974,4.224,69.221
1, ['Close_norm'], SAX, co-integration, time_join,0,10,1, LSTM, Close_norm, Close_norm,0.5108,0.0283,0.485,0.0386,0.665,0.305, +-++-,0.207,1.193,1.915,29.779,0.013,1.41,4.617,76.324
1, ['Close_norm'], None, co-integration, time_join,0,15,1, LSTM, Close_norm, Close_norm,0.5014,0.0395,0.4287,0.0914,0.507,0.257, D-+-+,0.137,0.17,0.657,13.533,0.014,0.85,4.131,71.264
1, ['Close_norm'], SAX, co-integration, time_join,0,15,1, LSTM, Close_norm, Close_norm,0.5013,0.0664,0.4433,0.1005,0.82,0.368, +--+-,0.122,0.633,-1.057,-13.842,0.014,0.611,3.274,57.576
7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, co-integration, time_join,0,5,1, LSTM, Close_norm, Close_norm,0.5125,0.0724,0.4718,0.1019,0.545,0.203, D--+-,0.192,0.569,-0.277,-0.625,0.013,0.753,3.295,57.01
7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, co-integration, time_join,0,5,1, LSTM, Close_norm, Close_norm,0.5101,0.0298,0.485,0.0273,0.552,0.22, +-+++,0.169,1.337,3.694,61.464,0.013,0.981,5.28,88.055
7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], SAX, co-integration, time_join,0,5,1, LSTM, Close_norm, Close_norm,0.51,0.0365,0.4689,0.0878,0.619,0.225, D----,0.2,0.603,-5.14,-84.489,0.013,0.59,0.863,15.078
7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, co-integration, time_join,0,10,1, LSTM, Close_norm, Close_norm,0.4825,0.0422,0.4472,0.0485,0.654,0.272, ---++,0.143,0.681,-4.39,-67.265,0.013,1.72,1.534,28.788
7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, co-integration, time_join,0,10,1, LSTM, Close_norm, Close_norm,0.4959,0.0262,0.4603,0.057,0.681,0.288, ----+,0.121,0.946,-1.676,-24.081,0.013,1.597,2.892,50.381
7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], SAX, co-integration, time_join,0,10,1, LSTM, Close_norm, Close_norm,0.4798,0.012,0.4349,0.0582,0.743,0.326, D-+--,0.154,0.744,-1.355,-26.259,0.013,0.835,3.052,49.291
7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, co-integration, time_join,0,15,1, LSTM, Close_norm, Close_norm,0.4653,0.0441,0.4217,0.0631,0.731,0.249, D--+-,0.127,-0.194,-3.271,-51.665,0.014,0.517,2.022,36.449
7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, co-integration, time_join,0,15,1, LSTM, Close_norm, Close_norm,0.4768,0.0305,0.4415,0.0351,0.77,0.342, --+-+,0.095,0.466,-0.91,-12.801,0.014,0.746,3.202,55.882
7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], SAX, co-integration, time_join,0,15,1, LSTM, Close_norm, Close_norm,0.4856,0.0434,0.4396,0.0456,0.873,0.4, +----,0.13,0.626,-3.06,-52.393,0.014,1.284,2.128,36.086
3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, co-integration, time_join,0,5,1, LSTM, Close_norm, Close_norm,0.4887,0.0332,0.4421,0.0667,0.499,0.215, D-+--,0.179,0.838,-1.689,-28.543,0.012,1.56,3.125,51.259
3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], SAX, co-integration, time_join,0,5,1, LSTM, Close_norm, Close_norm,0.4912,0.0334,0.4413,0.0753,0.734,0.328, --++-,0.142,0.996,1.326,21.061,0.012,1.348,4.632,76.061
3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, co-integration, time_join,0,10,1, LSTM, Close_norm, Close_norm,0.5159,0.0586,0.4795,0.0982,0.577,0.221, D--+-,0.17,0.32,-4.513,-73.838,0.013,0.722,1.402,24.516
3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], SAX, co-integration, time_join,0,10,1, LSTM, Close_norm, Close_norm,0.46,0.0608,0.3988,0.0747,0.796,0.354, D-+-+,0.112,0.225,-2.12,-33.187,0.013,0.651,2.599,44.841
3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, co-integration, time_join,0,15,1, LSTM, Close_norm, Close_norm,0.5155,0.0277,0.4769,0.0762,0.611,0.217, D--+-,0.168,1.103,0.247,5.265,0.014,1.154,3.926,67.13
3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], SAX, co-integration, time_join,0,15,1, LSTM, Close_norm, Close_norm,0.4759,0.0342,0.4113,0.0426,0.83,0.326, +-+-+,0.1,0.613,-0.32,-5.975,0.014,1.333,3.643,61.51
1, ['Close_norm'], None, co-integration, time_join,0,5,1, LSTM, Close_proc, Close_norm,0.5063,0.0548,0.4611,0.0841,0.008,0.003, +D++-,0.122,1.018,0.896,13.642,0.012,1.092,4.417,72.351
1, ['Close_norm'], SAX, co-integration, time_join,0,5,1, LSTM, Close_proc, Close_norm,0.5087,0.0483,0.4298,0.086,0.155,0.058, U-++-,0.072,0.404,0.46,5.313,0.012,1.089,4.199,68.186
1, ['Close_norm'], None, co-integration, time_join,0,10,1, LSTM, Close_proc, Close_norm,0.5159,0.0498,0.452,0.0626,0.008,0.003, +-++-,0.103,0.731,2.198,34.165,0.013,1.408,4.758,78.517
1, ['Close_norm'], SAX, co-integration, time_join,0,10,1, LSTM, Close_proc, Close_norm,0.5002,0.0594,0.371,0.0911,0.154,0.055, UDU++,0.035,-0.099,1.224,22.749,0.013,0.251,4.271,72.809
1, ['Close_norm'], None, co-integration, time_join,0,15,1, LSTM, Close_proc, Close_norm,0.5129,0.0661,0.4315,0.0751,0.008,0.003, +D+--,0.048,0.066,0.493,4.519,0.014,0.565,4.049,66.757
1, ['Close_norm'], SAX, co-integration, time_join,0,15,1, LSTM, Close_proc, Close_norm,0.5328,0.0262,0.3906,0.0681,0.154,0.061, U+U+U,0.046,1.002,7.676,130.519,0.014,0.883,7.641,129.757
