No. of features, selected_features, transformer, sim_func, fix_len_func, k stock, window_len, next_t, model, target_col, sim_col, mean_accuracy, std_accuracy, mean_f1, std_f1, mean_rmse, std_rmse, folds_result, mean_orders_count_per_hours, mean_sharpe_ratio, mean_profit_%, mean_profit, mean_L_orders_count_per_hours, mean_L_sharpe_ratio, mean_L_profit_%, mean_L_profit
1, ['Close_norm'], None, co-integration, time_join, 0, 5, 1, XGBClassifier, Close_norm, Close_norm, 0.4984, 0.0423, 0.4274, 0.0904, NaN, NaN, D---D, 0.236, 0.13, -3.292, -17.16, 0.018, 0.882, 1.896, 12.182
 1, ['Close_norm'], SAX, co-integration, time_join, 0, 5, 1, XGBClassifier, Close_norm, Close_norm, 0.5302, 0.0154, 0.4524, 0.0899, NaN, NaN, D+--U, 0.204, 0.479, -2.695, -17.996, 0.018, 0.637, 2.194, 11.764
 1, ['Close_norm'], None, co-integration, time_join, 0, 10, 1, XGBClassifier, Close_norm, Close_norm, 0.4765, 0.051, 0.4066, 0.0789, NaN, NaN, D+--U, 0.196, -0.886, -7.158, -48.668, 0.02, -0.076, -0.843, -10.286
 1, ['Close_norm'], SAX, co-integration, time_join, 0, 10, 1, XGBClassifier, Close_norm, Close_norm, 0.5235, 0.0553, 0.4468, 0.1174, NaN, NaN, D+--D, 0.176, -0.147, -1.183, -2.608, 0.02, 0.312, 2.145, 12.744
 1, ['Close_norm'], None, co-integration, time_join, 0, 15, 1, XGBClassifier, Close_norm, Close_norm, 0.5064, 0.027, 0.4233, 0.077, NaN, NaN, D+--D, 0.169, -0.32, -3.692, -18.424, 0.022, 0.213, 0.948, 4.228
 1, ['Close_norm'], SAX, co-integration, time_join, 0, 15, 1, XGBClassifier, Close_norm, Close_norm, 0.5455, 0.0668, 0.4612, 0.1255, NaN, NaN, D+--D, 0.156, -0.142, -0.127, 4.292, 0.022, 0.335, 2.731, 15.586
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, co-integration, time_join, 0, 5, 1, XGBClassifier, Close_norm, Close_norm, 0.5145, 0.0916, 0.4992, 0.098, NaN, NaN, -++-+, 0.435, 0.013, 3.587, 20.66, 0.018, 0.319, 5.158, 29.616
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, co-integration, time_join, 0, 5, 1, XGBClassifier, Close_norm, Close_norm, 0.5069, 0.0477, 0.4216, 0.0811, NaN, NaN, D---+, 0.126, -0.201, -5.474, -22.66, 0.018, 0.281, 0.628, 7.956
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], SAX, co-integration, time_join, 0, 5, 1, XGBClassifier, Close_norm, Close_norm, 0.5215, 0.0489, 0.5184, 0.0488, NaN, NaN, -++-+, 0.329, -0.241, 1.764, 15.652, 0.018, 0.214, 4.247, 27.112
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, co-integration, time_join, 0, 10, 1, XGBClassifier, Close_norm, Close_norm, 0.5417, 0.0651, 0.5257, 0.0682, NaN, NaN, ++-+-, 0.463, 0.348, 2.143, 12.94, 0.02, 0.487, 3.676, 19.594
