No. of features, selected_features, transformer, sim_func, fix_len_func, k stock, window_len, next_t, model, target_col, sim_col, mean_accuracy, std_accuracy, mean_f1, std_f1, mean_rmse, std_rmse, folds_result, mean_orders_count_per_hours, mean_sharpe_ratio, mean_profit_%, mean_profit, mean_L_orders_count_per_hours, mean_L_sharpe_ratio, mean_L_profit_%, mean_L_profit
1, ['Close_norm'], None, co-integration, time_join, 0, 5, 1, XGBClassifier, Close_norm, Close_norm, 0.5061, 0.0553, 0.4956, 0.0568, NaN, NaN, +++-+, 0.284, 1.08, 2.832, 47.386, 0.012, 1.17, 5.385, 89.223
 1, ['Close_norm'], SAX, co-integration, time_join, 0, 5, 1, XGBClassifier, Close_norm, Close_norm, 0.4663, 0.0374, 0.4163, 0.0575, NaN, NaN, +-++-, 0.205, 0.109, -0.672, -12.771, 0.012, 0.745, 3.633, 59.145
 1, ['Close_norm'], None, co-integration, time_join, 0, 10, 1, XGBClassifier, Close_norm, Close_norm, 0.5027, 0.0229, 0.4909, 0.023, NaN, NaN, ++--+, 0.239, 1.259, -1.183, -18.374, 0.013, 1.245, 3.067, 52.247
 1, ['Close_norm'], SAX, co-integration, time_join, 0, 10, 1, XGBClassifier, Close_norm, Close_norm, 0.492, 0.0136, 0.4654, 0.0413, NaN, NaN, +--++, 0.21, 0.934, 0.499, 7.897, 0.013, 0.944, 3.908, 65.383
 1, ['Close_norm'], None, co-integration, time_join, 0, 15, 1, XGBClassifier, Close_norm, Close_norm, 0.4843, 0.0241, 0.4611, 0.0245, NaN, NaN, +----, 0.171, 0.769, -4.032, -66.623, 0.014, 0.94, 1.787, 31.186
 1, ['Close_norm'], SAX, co-integration, time_join, 0, 15, 1, XGBClassifier, Close_norm, Close_norm, 0.4729, 0.0204, 0.4328, 0.0275, NaN, NaN, +-+--, 0.194, 0.467, 1.073, 16.293, 0.014, 0.991, 4.339, 72.644
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, co-integration, time_join, 0, 5, 1, XGBClassifier, Close_norm, Close_norm, 0.5303, 0.0345, 0.5217, 0.0288, NaN, NaN, ++-++, 0.445, 0.493, 4.941, 79.98, 0.013, 0.488, 5.903, 97.313
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, co-integration, time_join, 0, 5, 1, XGBClassifier, Close_norm, Close_norm, 0.5227, 0.0686, 0.5181, 0.0699, NaN, NaN, +--++, 0.283, 0.257, 3.924, 68.064, 0.013, 0.364, 5.395, 91.355
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], SAX, co-integration, time_join, 0, 5, 1, XGBClassifier, Close_norm, Close_norm, 0.5277, 0.0425, 0.5219, 0.0447, NaN, NaN, +++-+, 0.328, 1.104, 2.998, 47.005, 0.013, 1.068, 4.932, 80.825
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, co-integration, time_join, 0, 10, 1, XGBClassifier, Close_norm, Close_norm, 0.4933, 0.0432, 0.4829, 0.0416, NaN, NaN, -++--, 0.404, 0.323, -0.466, -14.166, 0.013, 0.272, 3.496, 55.338
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, co-integration, time_join, 0, 10, 1, XGBClassifier, Close_norm, Close_norm, 0.512, 0.0314, 0.5051, 0.0268, NaN, NaN, -+-++, 0.256, 0.711, -0.521, 1.972, 0.013, 0.519, 3.469, 63.407
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], SAX, co-integration, time_join, 0, 10, 1, XGBClassifier, Close_norm, Close_norm, 0.5309, 0.0596, 0.5173, 0.0542, NaN, NaN, +--++, 0.353, -0.258, -1.311, -17.019, 0.013, 0.557, 3.074, 53.911
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, co-integration, time_join, 0, 15, 1, XGBClassifier, Close_norm, Close_norm, 0.5087, 0.0477, 0.494, 0.0421, NaN, NaN, +-+--, 0.384, 0.403, 2.531, 36.164, 0.014, 0.99, 4.923, 80.364
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, co-integration, time_join, 0, 15, 1, XGBClassifier, Close_norm, Close_norm, 0.5031, 0.0953, 0.4847, 0.0881, NaN, NaN, +-+-+, 0.188, 0.293, 2.843, 44.121, 0.014, 0.738, 5.079, 84.343
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], SAX, co-integration, time_join, 0, 15, 1, XGBClassifier, Close_norm, Close_norm, 0.523, 0.0534, 0.5059, 0.0524, NaN, NaN, +-++-, 0.35, 0.149, 1.498, 26.329, 0.014, -0.033, 4.407, 75.447
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, co-integration, time_join, 0, 5, 1, XGBClassifier, Close_norm, Close_norm, 0.5088, 0.0329, 0.4968, 0.0419, NaN, NaN, +++--, 0.304, 1.171, 3.072, 43.501, 0.012, 1.14, 5.505, 87.281
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], SAX, co-integration, time_join, 0, 5, 1, XGBClassifier, Close_norm, Close_norm, 0.5212, 0.0484, 0.5093, 0.045, NaN, NaN, +++--, 0.264, 1.092, 3.598, 53.538, 0.012, 1.0, 5.768, 92.299
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, co-integration, time_join, 0, 10, 1, XGBClassifier, Close_norm, Close_norm, 0.5347, 0.047, 0.5137, 0.0522, NaN, NaN, +---+, 0.295, 0.096, 0.288, 3.615, 0.013, 0.457, 3.803, 63.242
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], SAX, co-integration, time_join, 0, 10, 1, XGBClassifier, Close_norm, Close_norm, 0.4946, 0.0523, 0.4788, 0.0599, NaN, NaN, +-+-+, 0.221, 0.532, 1.688, 29.967, 0.013, 1.189, 4.503, 76.418
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, co-integration, time_join, 0, 15, 1, XGBClassifier, Close_norm, Close_norm, 0.5043, 0.021, 0.4848, 0.0302, NaN, NaN, ++---, 0.268, 0.004, -2.972, -49.798, 0.014, 0.397, 2.317, 39.598
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], SAX, co-integration, time_join, 0, 15, 1, XGBClassifier, Close_norm, Close_norm, 0.4955, 0.0539, 0.4732, 0.0681, NaN, NaN, +---+, 0.219, 0.165, -1.556, -22.267, 0.014, 0.879, 3.025, 53.364
 1, ['Close_norm'], None, co-integration, time_join, 0, 5, 1, XGBClassifier, Close_proc, Close_norm, 0.5061, 0.0553, 0.4956, 0.0568, NaN, NaN, +++-+, 0.284, 1.08, 2.832, 47.386, 0.012, 1.17, 5.385, 89.223
 1, ['Close_norm'], SAX, co-integration, time_join, 0, 5, 1, XGBClassifier, Close_proc, Close_norm, 0.4663, 0.0374, 0.4163, 0.0575, NaN, NaN, +-++-, 0.205, 0.109, -0.672, -12.771, 0.012, 0.745, 3.633, 59.145
 1, ['Close_norm'], None, co-integration, time_join, 0, 10, 1, XGBClassifier, Close_proc, Close_norm, 0.5027, 0.0229, 0.4909, 0.023, NaN, NaN, ++--+, 0.239, 1.259, -1.183, -18.374, 0.013, 1.245, 3.067, 52.247
 1, ['Close_norm'], SAX, co-integration, time_join, 0, 10, 1, XGBClassifier, Close_proc, Close_norm, 0.492, 0.0136, 0.4654, 0.0413, NaN, NaN, +--++, 0.21, 0.934, 0.499, 7.897, 0.013, 0.944, 3.908, 65.383
 1, ['Close_norm'], None, co-integration, time_join, 0, 15, 1, XGBClassifier, Close_proc, Close_norm, 0.4843, 0.0241, 0.4611, 0.0245, NaN, NaN, +----, 0.171, 0.769, -4.032, -66.623, 0.014, 0.94, 1.787, 31.186
 1, ['Close_norm'], SAX, co-integration, time_join, 0, 15, 1, XGBClassifier, Close_proc, Close_norm, 0.4729, 0.0204, 0.4328, 0.0275, NaN, NaN, +-+--, 0.194, 0.467, 1.073, 16.293, 0.014, 0.991, 4.339, 72.644
 1, ['Close_proc'], None, co-integration, time_join, 0, 5, 1, XGBClassifier, Close_proc, Close_norm, 0.5025, 0.0434, 0.497, 0.0412, NaN, NaN, -++-+, 0.46, -0.203, 2.074, 32.27, 0.013, -0.135, 4.47, 73.458
 1, ['Close_proc'], SAX, co-integration, time_join, 0, 5, 1, XGBClassifier, Close_proc, Close_norm, 0.5278, 0.0387, 0.4802, 0.0252, NaN, NaN, +++-+, 0.288, 0.376, 5.665, 90.602, 0.013, 0.516, 6.266, 102.624
 1, ['Close_proc'], None, co-integration, time_join, 0, 10, 1, XGBClassifier, Close_proc, Close_norm, 0.547, 0.0506, 0.5435, 0.0499, NaN, NaN, +++++, 0.496, 0.485, 4.088, 63.941, 0.013, 0.556, 5.773, 94.391
 1, ['Close_proc'], SAX, co-integration, time_join, 0, 10, 1, XGBClassifier, Close_proc, Close_norm, 0.5472, 0.0263, 0.5252, 0.0372, NaN, NaN, ++-++, 0.337, 0.815, 1.578, 23.211, 0.013, 0.678, 4.518, 74.027
 1, ['Close_proc'], None, co-integration, time_join, 0, 15, 1, XGBClassifier, Close_proc, Close_norm, 0.5027, 0.0789, 0.4978, 0.0783, NaN, NaN, +++-+, 0.512, 0.107, 2.261, 36.766, 0.014, 0.41, 4.788, 80.665
 1, ['Close_proc'], SAX, co-integration, time_join, 0, 15, 1, XGBClassifier, Close_proc, Close_norm, 0.5232, 0.0477, 0.5054, 0.049, NaN, NaN, ++-+-, 0.387, 0.24, 1.952, 29.547, 0.014, 0.519, 4.633, 77.056
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, co-integration, time_join, 0, 5, 1, XGBClassifier, Close_proc, Close_norm, 0.5303, 0.0345, 0.5217, 0.0288, NaN, NaN, ++-++, 0.445, 0.493, 4.941, 79.98, 0.013, 0.488, 5.903, 97.313
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, co-integration, time_join, 0, 5, 1, XGBClassifier, Close_proc, Close_norm, 0.5227, 0.0686, 0.5181, 0.0699, NaN, NaN, +--++, 0.283, 0.257, 3.924, 68.064, 0.013, 0.364, 5.395, 91.355
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], SAX, co-integration, time_join, 0, 5, 1, XGBClassifier, Close_proc, Close_norm, 0.5277, 0.0425, 0.5219, 0.0447, NaN, NaN, +++-+, 0.328, 1.104, 2.998, 47.005, 0.013, 1.068, 4.932, 80.825
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, co-integration, time_join, 0, 10, 1, XGBClassifier, Close_proc, Close_norm, 0.4933, 0.0432, 0.4829, 0.0416, NaN, NaN, -++--, 0.404, 0.323, -0.466, -14.166, 0.013, 0.272, 3.496, 55.338
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, co-integration, time_join, 0, 10, 1, XGBClassifier, Close_proc, Close_norm, 0.512, 0.0314, 0.5051, 0.0268, NaN, NaN, -+-++, 0.256, 0.711, -0.521, 1.972, 0.013, 0.519, 3.469, 63.407
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], SAX, co-integration, time_join, 0, 10, 1, XGBClassifier, Close_proc, Close_norm, 0.5309, 0.0596, 0.5173, 0.0542, NaN, NaN, +--++, 0.353, -0.258, -1.311, -17.019, 0.013, 0.557, 3.074, 53.911
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, co-integration, time_join, 0, 15, 1, XGBClassifier, Close_proc, Close_norm, 0.5087, 0.0477, 0.494, 0.0421, NaN, NaN, +-+--, 0.384, 0.403, 2.531, 36.164, 0.014, 0.99, 4.923, 80.364
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, co-integration, time_join, 0, 15, 1, XGBClassifier, Close_proc, Close_norm, 0.5031, 0.0953, 0.4847, 0.0881, NaN, NaN, +-+-+, 0.188, 0.293, 2.843, 44.121, 0.014, 0.738, 5.079, 84.343
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], SAX, co-integration, time_join, 0, 15, 1, XGBClassifier, Close_proc, Close_norm, 0.523, 0.0534, 0.5059, 0.0524, NaN, NaN, +-++-, 0.35, 0.149, 1.498, 26.329, 0.014, -0.033, 4.407, 75.447
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, co-integration, time_join, 0, 5, 1, XGBClassifier, Close_proc, Close_norm, 0.5088, 0.0329, 0.4968, 0.0419, NaN, NaN, +++--, 0.304, 1.171, 3.072, 43.501, 0.012, 1.14, 5.505, 87.281
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], SAX, co-integration, time_join, 0, 5, 1, XGBClassifier, Close_proc, Close_norm, 0.5212, 0.0484, 0.5093, 0.045, NaN, NaN, +++--, 0.264, 1.092, 3.598, 53.538, 0.012, 1.0, 5.768, 92.299
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, co-integration, time_join, 0, 10, 1, XGBClassifier, Close_proc, Close_norm, 0.5347, 0.047, 0.5137, 0.0522, NaN, NaN, +---+, 0.295, 0.096, 0.288, 3.615, 0.013, 0.457, 3.803, 63.242
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], SAX, co-integration, time_join, 0, 10, 1, XGBClassifier, Close_proc, Close_norm, 0.4946, 0.0523, 0.4788, 0.0599, NaN, NaN, +-+-+, 0.221, 0.532, 1.688, 29.967, 0.013, 1.189, 4.503, 76.418
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, co-integration, time_join, 0, 15, 1, XGBClassifier, Close_proc, Close_norm, 0.5043, 0.021, 0.4848, 0.0302, NaN, NaN, ++---, 0.268, 0.004, -2.972, -49.798, 0.014, 0.397, 2.317, 39.598
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], SAX, co-integration, time_join, 0, 15, 1, XGBClassifier, Close_proc, Close_norm, 0.4955, 0.0539, 0.4732, 0.0681, NaN, NaN, +---+, 0.219, 0.165, -1.556, -22.267, 0.014, 0.879, 3.025, 53.364
 
