No. of features, selected_features, transformer, sim_func, fix_len_func, k stock, window_len, next_t, model, target_col, sim_col, mean_accuracy, std_accuracy, mean_f1, std_f1, mean_rmse, std_rmse, folds_result, mean_orders_count_per_hours, mean_sharpe_ratio, mean_profit_%, mean_profit, mean_L_orders_count_per_hours, mean_L_sharpe_ratio, mean_L_profit_%, mean_L_profit
1, ['Close_norm'], None, co-integration, time_join, 0, 5, 1, XGBRegressor, Close_norm, Close_norm, 0.5062, 0.033, 0.4846, 0.0233, 0.511, 0.225, +-+++, 0.272, 0.619, 2.739, 42.741, 0.012, 0.804, 5.339, 86.901
 1, ['Close_norm'], SAX, co-integration, time_join, 0, 5, 1, XGBRegressor, Close_norm, Close_norm, 0.526, 0.0662, 0.5073, 0.0796, 0.524, 0.232, +-+++, 0.277, 0.979, 4.973, 80.682, 0.012, 1.153, 6.456, 105.871
 1, ['Close_norm'], None, co-integration, time_join, 0, 10, 1, XGBRegressor, Close_norm, Close_norm, 0.5425, 0.0319, 0.519, 0.0609, 0.514, 0.207, +++++, 0.279, 1.255, 5.831, 93.687, 0.013, 1.165, 6.574, 108.278
 1, ['Close_norm'], SAX, co-integration, time_join, 0, 10, 1, XGBRegressor, Close_norm, Close_norm, 0.4973, 0.0195, 0.4784, 0.0339, 0.538, 0.23, +-+--, 0.192, 0.846, 1.712, 26.605, 0.013, 1.134, 4.515, 74.737
 1, ['Close_norm'], None, co-integration, time_join, 0, 15, 1, XGBRegressor, Close_norm, Close_norm, 0.5157, 0.0434, 0.4945, 0.0302, 0.542, 0.232, +-+-+, 0.225, 0.842, 2.839, 43.593, 0.014, 1.163, 5.222, 86.294
 1, ['Close_norm'], SAX, co-integration, time_join, 0, 15, 1, XGBRegressor, Close_norm, Close_norm, 0.4871, 0.0439, 0.4613, 0.0534, 0.55, 0.229, --++-, 0.2, 0.611, 0.795, 13.043, 0.014, 0.923, 4.2, 71.019
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, co-integration, time_join, 0, 5, 1, XGBRegressor, Close_norm, Close_norm, 0.4846, 0.0612, 0.4713, 0.0665, 0.486, 0.198, --+++, 0.232, 0.881, 1.739, 33.858, 0.013, 0.85, 4.302, 74.252
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, co-integration, time_join, 0, 5, 1, XGBRegressor, Close_norm, Close_norm, 0.5102, 0.0509, 0.4554, 0.0885, 0.704, 0.232, -+-++, 0.134, 0.877, 0.883, 16.841, 0.013, 0.439, 3.875, 65.743
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], SAX, co-integration, time_join, 0, 5, 1, XGBRegressor, Close_norm, Close_norm, 0.515, 0.0425, 0.5, 0.0428, 0.523, 0.21, +-+++, 0.258, 1.308, 4.079, 65.431, 0.013, 1.195, 5.472, 90.039
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, co-integration, time_join, 0, 10, 1, XGBRegressor, Close_norm, Close_norm, 0.5121, 0.0219, 0.497, 0.0225, 0.494, 0.193, +++--, 0.251, 1.298, 5.418, 83.58, 0.013, 1.178, 6.438, 104.211
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, co-integration, time_join, 0, 10, 1, XGBRegressor, Close_norm, Close_norm, 0.5041, 0.0391, 0.4636, 0.068, 0.742, 0.287, -+-++, 0.111, 1.465, -0.268, -2.395, 0.013, 1.485, 3.596, 61.223
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], SAX, co-integration, time_join, 0, 10, 1, XGBRegressor, Close_norm, Close_norm, 0.4987, 0.0308, 0.4734, 0.0464, 0.545, 0.205, +-++-, 0.213, 1.413, 2.138, 31.06, 0.013, 1.5, 4.798, 77.951
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, co-integration, time_join, 0, 15, 1, XGBRegressor, Close_norm, Close_norm, 0.4912, 0.0337, 0.4779, 0.0254, 0.558, 0.245, +-+++, 0.228, 1.619, 3.848, 62.332, 0.014, 1.27, 5.581, 93.448
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, co-integration, time_join, 0, 15, 1, XGBRegressor, Close_norm, Close_norm, 0.4796, 0.0349, 0.4548, 0.045, 0.81, 0.338, ----+, 0.133, 0.134, -4.72, -73.772, 0.014, 0.71, 1.297, 25.396
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], SAX, co-integration, time_join, 0, 15, 1, XGBRegressor, Close_norm, Close_norm, 0.5144, 0.0259, 0.5017, 0.0223, 0.615, 0.322, ++++-, 0.223, 1.379, 4.21, 66.619, 0.014, 1.414, 5.762, 95.591
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, co-integration, time_join, 0, 5, 1, XGBRegressor, Close_norm, Close_norm, 0.5088, 0.0425, 0.4823, 0.0432, 0.519, 0.192, +-+++, 0.227, 1.25, 5.656, 94.551, 0.012, 1.138, 6.797, 112.806
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], SAX, co-integration, time_join, 0, 5, 1, XGBRegressor, Close_norm, Close_norm, 0.5037, 0.0248, 0.4826, 0.049, 0.551, 0.25, +++-+, 0.224, 1.454, 3.316, 51.229, 0.012, 1.408, 5.627, 91.144
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, co-integration, time_join, 0, 10, 1, XGBRegressor, Close_norm, Close_norm, 0.4894, 0.01, 0.4578, 0.0399, 0.515, 0.202, +-+--, 0.189, 0.699, 3.249, 49.783, 0.013, 0.666, 5.283, 86.326
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], SAX, co-integration, time_join, 0, 10, 1, XGBRegressor, Close_norm, Close_norm, 0.484, 0.0291, 0.4648, 0.0253, 0.526, 0.218, +++--, 0.199, 1.013, 1.189, 15.587, 0.013, 1.049, 4.253, 69.228
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, co-integration, time_join, 0, 15, 1, XGBRegressor, Close_norm, Close_norm, 0.5186, 0.0237, 0.493, 0.0137, 0.579, 0.268, +-++-, 0.18, 1.15, 5.384, 84.321, 0.014, 1.325, 6.495, 106.658
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], SAX, co-integration, time_join, 0, 15, 1, XGBRegressor, Close_norm, Close_norm, 0.5157, 0.0301, 0.4912, 0.0318, 0.599, 0.279, ++-+-, 0.202, 1.547, 0.632, 7.775, 0.014, 1.709, 4.119, 68.385
 1, ['Close_norm'], None, co-integration, time_join, 0, 5, 1, XGBRegressor, Close_proc, Close_norm, 0.5363, 0.0399, 0.3487, 0.0172, 0.012, 0.002, UUUUU, 0.012, 0.551, 7.938, 131.06, 0.012, 0.551, 7.938, 131.06
 1, ['Close_norm'], SAX, co-integration, time_join, 0, 5, 1, XGBRegressor, Close_proc, Close_norm, 0.4739, 0.0522, 0.413, 0.0431, 0.159, 0.056, +-++-, 0.145, 0.394, 0.117, -1.487, 0.012, 0.832, 4.028, 64.787
 1, ['Close_norm'], None, co-integration, time_join, 0, 10, 1, XGBRegressor, Close_proc, Close_norm, 0.5427, 0.0402, 0.3514, 0.0173, 0.012, 0.002, UUUUU, 0.013, 0.487, 7.318, 122.869, 0.013, 0.487, 7.318, 122.869
 1, ['Close_norm'], SAX, co-integration, time_join, 0, 10, 1, XGBRegressor, Close_proc, Close_norm, 0.4813, 0.0299, 0.439, 0.0331, 0.159, 0.052, +-+--, 0.191, 0.77, -0.11, -3.938, 0.013, 1.011, 3.604, 59.466
 1, ['Close_norm'], None, co-integration, time_join, 0, 15, 1, XGBRegressor, Close_proc, Close_norm, 0.5471, 0.036, 0.3533, 0.0152, 0.012, 0.002, UUUUU, 0.014, 0.713, 7.606, 128.995, 0.014, 0.713, 7.606, 128.995
 1, ['Close_norm'], SAX, co-integration, time_join, 0, 15, 1, XGBRegressor, Close_proc, Close_norm, 0.5043, 0.0398, 0.4614, 0.0447, 0.164, 0.057, +-++-, 0.188, 0.65, 1.036, 15.459, 0.014, 1.01, 4.321, 72.227
 1, ['Close_proc'], None, co-integration, time_join, 0, 5, 1, XGBRegressor, Close_proc, Close_norm, 0.5355, 0.041, 0.3483, 0.0178, 0.011, 0.002, UUUUU, 0.013, 0.246, 6.866, 114.646, 0.013, 0.246, 6.866, 114.646
 1, ['Close_proc'], SAX, co-integration, time_join, 0, 5, 1, XGBRegressor, Close_proc, Close_norm, 0.5506, 0.0558, 0.4584, 0.0812, 0.151, 0.055, +++++, 0.184, 0.726, 8.616, 140.763, 0.013, 0.595, 7.741, 127.704
 1, ['Close_proc'], None, co-integration, time_join, 0, 10, 1, XGBRegressor, Close_proc, Close_norm, 0.5419, 0.0387, 0.3511, 0.0165, 0.011, 0.002, UUUUU, 0.013, 0.558, 7.459, 124.842, 0.013, 0.558, 7.459, 124.842
 1, ['Close_proc'], SAX, co-integration, time_join, 0, 10, 1, XGBRegressor, Close_proc, Close_norm, 0.5716, 0.0325, 0.5061, 0.0536, 0.154, 0.061, +++++, 0.253, 0.802, 8.886, 143.831, 0.013, 0.801, 8.173, 134.337
 1, ['Close_proc'], None, co-integration, time_join, 0, 15, 1, XGBRegressor, Close_proc, Close_norm, 0.5435, 0.033, 0.3518, 0.014, 0.011, 0.002, UUUUU, 0.014, 0.628, 7.315, 124.564, 0.014, 0.628, 7.315, 124.564
 1, ['Close_proc'], SAX, co-integration, time_join, 0, 15, 1, XGBRegressor, Close_proc, Close_norm, 0.5261, 0.0323, 0.4784, 0.0441, 0.159, 0.058, +++++, 0.339, 0.667, 4.658, 74.329, 0.014, 0.762, 5.986, 99.447
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, co-integration, time_join, 0, 5, 1, XGBRegressor, Close_proc, Close_norm, 0.5355, 0.041, 0.3483, 0.0178, 0.012, 0.002, UUUUU, 0.013, 0.246, 6.866, 114.646, 0.013, 0.246, 6.866, 114.646
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, co-integration, time_join, 0, 5, 1, XGBRegressor, Close_proc, Close_norm, 0.5355, 0.041, 0.3483, 0.0178, 0.012, 0.002, UUUUU, 0.013, 0.246, 6.866, 114.646, 0.013, 0.246, 6.866, 114.646
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], SAX, co-integration, time_join, 0, 5, 1, XGBRegressor, Close_proc, Close_norm, 0.4977, 0.0566, 0.4706, 0.0651, 0.161, 0.055, +-++-, 0.275, 0.079, 2.539, 32.743, 0.013, 0.156, 4.702, 73.695
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, co-integration, time_join, 0, 10, 1, XGBRegressor, Close_proc, Close_norm, 0.5419, 0.0387, 0.3511, 0.0165, 0.012, 0.002, UUUUU, 0.013, 0.558, 7.459, 124.842, 0.013, 0.558, 7.459, 124.842
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, co-integration, time_join, 0, 10, 1, XGBRegressor, Close_proc, Close_norm, 0.5419, 0.0387, 0.3511, 0.0165, 0.012, 0.002, UUUUU, 0.013, 0.558, 7.459, 124.842, 0.013, 0.558, 7.459, 124.842
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], SAX, co-integration, time_join, 0, 10, 1, XGBRegressor, Close_proc, Close_norm, 0.5122, 0.0342, 0.4885, 0.0404, 0.164, 0.045, +++--, 0.326, 0.837, 1.992, 26.049, 0.013, 0.825, 4.726, 75.446
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, co-integration, time_join, 0, 15, 1, XGBRegressor, Close_proc, Close_norm, 0.5435, 0.033, 0.3518, 0.014, 0.012, 0.002, UUUUU, 0.014, 0.628, 7.315, 124.564, 0.014, 0.628, 7.315, 124.564
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, co-integration, time_join, 0, 15, 1, XGBRegressor, Close_proc, Close_norm, 0.5435, 0.033, 0.3518, 0.014, 0.011, 0.002, UUUUU, 0.014, 0.628, 7.315, 124.564, 0.014, 0.628, 7.315, 124.564
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], SAX, co-integration, time_join, 0, 15, 1, XGBRegressor, Close_proc, Close_norm, 0.526, 0.0169, 0.4961, 0.0376, 0.162, 0.047, +-++-, 0.347, 0.177, 6.088, 96.918, 0.014, 0.723, 6.701, 110.741
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, co-integration, time_join, 0, 5, 1, XGBRegressor, Close_proc, Close_norm, 0.5363, 0.0399, 0.3487, 0.0172, 0.012, 0.002, UUUUU, 0.012, 0.551, 7.938, 131.06, 0.012, 0.551, 7.938, 131.06
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], SAX, co-integration, time_join, 0, 5, 1, XGBRegressor, Close_proc, Close_norm, 0.5062, 0.063, 0.4935, 0.0534, 0.165, 0.061, +--++, 0.175, 0.78, -0.35, -1.115, 0.012, 1.183, 3.794, 64.973
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, co-integration, time_join, 0, 10, 1, XGBRegressor, Close_proc, Close_norm, 0.5427, 0.0402, 0.3514, 0.0173, 0.012, 0.002, UUUUU, 0.013, 0.487, 7.318, 122.869, 0.013, 0.487, 7.318, 122.869
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], SAX, co-integration, time_join, 0, 10, 1, XGBRegressor, Close_proc, Close_norm, 0.5079, 0.0616, 0.4777, 0.0471, 0.169, 0.057, +++++, 0.215, 1.444, 4.43, 74.243, 0.013, 1.099, 5.874, 98.556
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, co-integration, time_join, 0, 15, 1, XGBRegressor, Close_proc, Close_norm, 0.5471, 0.036, 0.3533, 0.0152, 0.012, 0.002, UUUUU, 0.014, 0.713, 7.606, 128.995, 0.014, 0.713, 7.606, 128.995
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], SAX, co-integration, time_join, 0, 15, 1, XGBRegressor, Close_proc, Close_norm, 0.5128, 0.0362, 0.4875, 0.025, 0.172, 0.062, ++++-, 0.225, 1.009, 3.422, 54.542, 0.014, 0.979, 5.514, 91.769
 
