No. of features, selected_features, transformer, sim_func, fix_len_func, k stock, window_len, next_t, model, target_col, sim_col, mean_accuracy, std_accuracy, mean_f1, std_f1, mean_rmse, std_rmse, folds_result, mean_orders_count_per_hours, mean_sharpe_ratio, mean_profit_%, mean_profit, mean_L_orders_count_per_hours, mean_L_sharpe_ratio, mean_L_profit_%, mean_L_profit
1, ['Close_norm'], None, co-integration, time_join,0,5,1, XGBRegressor, Close_norm, Close_norm,0.541,0.0682,0.5267,0.0636,0.655,0.568, +--++,0.264,0.768,-1.229,3.516,0.018,1.071,2.927,22.52
1, ['Close_norm'], SAX, co-integration, time_join,0,5,1, XGBRegressor, Close_norm, Close_norm,0.4877,0.027,0.4393,0.0587,0.828,0.576, D---+,0.2,-0.697,-6.103,-33.072,0.018,0.296,0.49,4.226
1, ['Close_norm'], None, co-integration, time_join,0,10,1, XGBRegressor, Close_norm, Close_norm,0.5312,0.0527,0.5171,0.0485,0.71,0.629, +---+,0.239,0.206,-1.077,5.256,0.02,0.765,2.198,16.676
1, ['Close_norm'], SAX, co-integration, time_join,0,10,1, XGBRegressor, Close_norm, Close_norm,0.4998,0.0338,0.4641,0.0771,0.902,0.668, D--++,0.231,-0.257,-3.406,-5.88,0.02,0.125,1.033,11.108
1, ['Close_norm'], None, co-integration, time_join,0,15,1, XGBRegressor, Close_norm, Close_norm,0.541,0.055,0.5076,0.0637,0.723,0.676, ++--+,0.199,0.379,0.558,12.056,0.022,1.208,3.073,19.468
1, ['Close_norm'], SAX, co-integration, time_join,0,15,1, XGBRegressor, Close_norm, Close_norm,0.5105,0.0596,0.4625,0.0965,0.966,0.725, D+--+,0.199,0.026,-1.818,3.744,0.022,0.284,1.885,15.312
7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, co-integration, time_join,0,5,1, XGBRegressor, Close_norm, Close_norm,0.5292,0.0391,0.5066,0.0397,0.686,0.592, ++--+,0.265,0.913,1.771,14.088,0.018,1.221,4.25,26.33
7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, co-integration, time_join,0,5,1, XGBRegressor, Close_norm, Close_norm,0.5074,0.043,0.4277,0.0871,1.178,0.667, D+-+D,0.098,0.171,-1.379,-3.1,0.018,0.54,2.676,17.736
7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], SAX, co-integration, time_join,0,5,1, XGBRegressor, Close_norm, Close_norm,0.5146,0.029,0.4635,0.0763,0.989,0.616, D+-++,0.196,0.24,-0.587,2.12,0.018,0.753,3.071,20.346
7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, co-integration, time_join,0,10,1, XGBRegressor, Close_norm, Close_norm,0.5218,0.0347,0.4968,0.0533,0.712,0.65, +---+,0.259,0.426,-1.03,3.332,0.02,0.762,2.09,14.79
7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, co-integration, time_join,0,10,1, XGBRegressor, Close_norm, Close_norm,0.5539,0.0536,0.4795,0.1006,1.289,0.8, D+-++,0.123,0.43,1.753,17,0.02,0.487,3.481,21.624
