No. of features, selected_features, transformer, sim_func, fix_len_func, k stock, window_len, next_t, model, target_col, sim_col, mean_accuracy, std_accuracy, mean_f1, std_f1, mean_rmse, std_rmse, folds_result, mean_orders_count_per_hours, mean_sharpe_ratio, mean_profit_%, mean_profit, mean_L_orders_count_per_hours, mean_L_sharpe_ratio, mean_L_profit_%, mean_L_profit
1, ['Close_norm'], None, co-integration, time_join,0,5,1, XGBRegressor, Close_norm, Close_norm,0.541,0.0769,0.5266,0.0717,0.653,0.566, +--++,0.257,0.735,-0.817,7.5,0.018,1.017,3.133,24.512
1, ['Close_norm'], SAX, co-integration, time_join,0,5,1, XGBRegressor, Close_norm, Close_norm,0.502,0.0337,0.454,0.0699,0.829,0.576, D---+,0.214,-0.494,-5.177,-27.928,0.018,0.498,0.953,6.798
1, ['Close_norm'], None, co-integration, time_join,0,10,1, XGBRegressor, Close_norm, Close_norm,0.5273,0.0489,0.5125,0.0433,0.709,0.629, +---+,0.231,0.127,-1.83,1.08,0.02,0.647,1.821,14.588
1, ['Close_norm'], SAX, co-integration, time_join,0,10,1, XGBRegressor, Close_norm, Close_norm,0.5038,0.0358,0.4674,0.0788,0.904,0.669, D--++,0.231,-0.254,-3.319,-5.396,0.02,0.151,1.077,11.35
1, ['Close_norm'], None, co-integration, time_join,0,15,1, XGBRegressor, Close_norm, Close_norm,0.541,0.055,0.5076,0.0637,0.721,0.675, ++--+,0.199,0.379,0.558,12.056,0.022,1.208,3.073,19.468
1, ['Close_norm'], SAX, co-integration, time_join,0,15,1, XGBRegressor, Close_norm, Close_norm,0.5062,0.0625,0.4592,0.0975,0.967,0.724, D+--+,0.208,0.026,-1.825,3.692,0.022,0.284,1.882,15.286
7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, co-integration, time_join,0,5,1, XGBRegressor, Close_norm, Close_norm,0.5292,0.0423,0.507,0.0425,0.685,0.592, ++--+,0.265,0.908,1.799,14.08,0.018,1.195,4.264,26.326
7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, co-integration, time_join,0,5,1, XGBRegressor, Close_norm, Close_norm,0.5074,0.043,0.4277,0.0871,1.177,0.667, D+-+D,0.098,0.171,-1.379,-3.1,0.018,0.54,2.676,17.736
7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], SAX, co-integration, time_join,0,5,1, XGBRegressor, Close_norm, Close_norm,0.5073,0.0246,0.457,0.0717,0.99,0.615, D--++,0.203,0.081,-2.362,-7.648,0.018,0.636,2.184,15.462
7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, co-integration, time_join,0,10,1, XGBRegressor, Close_norm, Close_norm,0.5258,0.0306,0.5032,0.0423,0.71,0.65, +---+,0.267,0.43,-0.934,4.036,0.02,0.767,2.137,15.142
