No. of features, selected_features, transformer, sim_func, fix_len_func, k stock, window_len, next_t, model, target_col, sim_col, mean_accuracy, std_accuracy, mean_f1, std_f1, mean_rmse, std_rmse, folds_result, mean_orders_count_per_hours, mean_sharpe_ratio, mean_profit_%, mean_profit, mean_L_orders_count_per_hours, mean_L_sharpe_ratio, mean_L_profit_%, mean_L_profit
1, ['Close_norm'], None, co-integration, time_join,0,5,1, XGBRegressor, Close_norm, Close_norm,0.5213,0.0544,0.5078,0.0427,0.497,0.219, +-+++,0.339,0.573,3.598,55.3,0.012,0.802,5.768,93.18
1, ['Close_norm'], SAX, co-integration, time_join,0,5,1, XGBRegressor, Close_norm, Close_norm,0.5383,0.0831,0.5196,0.0962,0.521,0.236, +-+++,0.276,1.048,4.854,84.614,0.012,1.274,6.396,107.837
1, ['Close_norm'], None, co-integration, time_join,0,10,1, XGBRegressor, Close_norm, Close_norm,0.5452,0.0299,0.5297,0.0424,0.49,0.196, +++++,0.298,1.257,6.673,106.924,0.013,1.149,6.995,114.896
1, ['Close_norm'], SAX, co-integration, time_join,0,10,1, XGBRegressor, Close_norm, Close_norm,0.5026,0.008,0.4885,0.0243,0.535,0.231, +-+--,0.218,1.02,3.773,58.385,0.013,1.142,5.545,90.627
1, ['Close_norm'], None, co-integration, time_join,0,15,1, XGBRegressor, Close_norm, Close_norm,0.5099,0.0472,0.4963,0.0382,0.525,0.227, +-+-+,0.214,0.352,2.863,47.265,0.014,0.887,5.234,88.13
1, ['Close_norm'], SAX, co-integration, time_join,0,15,1, XGBRegressor, Close_norm, Close_norm,0.4843,0.0443,0.4611,0.0483,0.549,0.231, +-+--,0.22,0.025,1.065,14.666,0.014,0.553,4.335,71.83
7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, co-integration, time_join,0,5,1, XGBRegressor, Close_norm, Close_norm,0.4872,0.0628,0.4768,0.0642,0.476,0.197, ---++,0.225,0.975,1.848,35.668,0.013,0.834,4.357,75.157
7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, co-integration, time_join,0,5,1, XGBRegressor, Close_norm, Close_norm,0.5026,0.0438,0.4477,0.0795,0.692,0.225, -+-++,0.129,0.867,0.605,12.669,0.013,0.433,3.735,63.657
7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], SAX, co-integration, time_join,0,5,1, XGBRegressor, Close_norm, Close_norm,0.5024,0.045,0.4905,0.0495,0.521,0.216, +-+++,0.257,1.185,3.198,53.133,0.013,1.09,5.032,83.889
7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, co-integration, time_join,0,10,1, XGBRegressor, Close_norm, Close_norm,0.4985,0.0307,0.4867,0.0273,0.484,0.193, +++--,0.251,1.063,3.759,56.964,0.013,1.095,5.609,90.903
7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, co-integration, time_join,0,10,1, XGBRegressor, Close_norm, Close_norm,0.5256,0.0449,0.4974,0.0641,0.735,0.284, ++-++,0.137,1.824,0.177,4.056,0.013,1.75,3.818,64.449
7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], SAX, co-integration, time_join,0,10,1, XGBRegressor, Close_norm, Close_norm,0.496,0.0255,0.4756,0.0454,0.54,0.203, --++-,0.235,1.424,2.724,42.171,0.013,1.383,5.091,83.506
7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, co-integration, time_join,0,15,1, XGBRegressor, Close_norm, Close_norm,0.4941,0.0348,0.4828,0.0263,0.549,0.245, +++++,0.24,1.29,6.073,96.302,0.014,1.201,6.694,110.433
7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, co-integration, time_join,0,15,1, XGBRegressor, Close_norm, Close_norm,0.4911,0.0443,0.4663,0.0573,0.806,0.338, ----+,0.136,0.409,-3.258,-47.142,0.014,0.96,2.028,38.711
7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], SAX, co-integration, time_join,0,15,1, XGBRegressor, Close_norm, Close_norm,0.5087,0.0185,0.497,0.0099,0.609,0.321, +-++-,0.217,1.056,4.476,69.93,0.014,1.193,5.896,97.247
3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, co-integration, time_join,0,5,1, XGBRegressor, Close_norm, Close_norm,0.5088,0.0382,0.4897,0.043,0.506,0.19, +-++-,0.247,1.416,6.008,96.373,0.012,1.187,6.973,113.716
3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], SAX, co-integration, time_join,0,5,1, XGBRegressor, Close_norm, Close_norm,0.4962,0.0208,0.4784,0.037,0.551,0.253, +++-+,0.229,1.473,4.018,60.91,0.012,1.404,5.978,95.985
3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, co-integration, time_join,0,10,1, XGBRegressor, Close_norm, Close_norm,0.4893,0.008,0.4606,0.0283,0.505,0.2, +-+-+,0.168,0.128,2.798,43.778,0.013,0.522,5.058,83.323
3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], SAX, co-integration, time_join,0,10,1, XGBRegressor, Close_norm, Close_norm,0.4972,0.0324,0.4831,0.035,0.527,0.22, +++-+,0.215,0.729,1.358,19.407,0.013,0.817,4.338,71.138
3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, co-integration, time_join,0,15,1, XGBRegressor, Close_norm, Close_norm,0.4986,0.0287,0.4795,0.0185,0.56,0.258, +-+--,0.174,0.462,3.238,48.011,0.014,1.014,5.422,88.503
3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], SAX, co-integration, time_join,0,15,1, XGBRegressor, Close_norm, Close_norm,0.5014,0.0265,0.4814,0.0165,0.59,0.278, +--++,0.216,1.301,-0.599,-9.544,0.014,1.631,3.503,59.725
1, ['Close_norm'], None, co-integration, time_join,0,5,1, XGBRegressor, Close_proc, Close_norm,0.5112,0.0317,0.4999,0.0363,0.009,0.003, ++--+,0.279,0.533,2.285,38.148,0.012,0.797,5.112,84.604
1, ['Close_norm'], SAX, co-integration, time_join,0,5,1, XGBRegressor, Close_proc, Close_norm,0.4838,0.053,0.4404,0.0528,0.163,0.055, +-+--,0.202,1.003,0.305,3.856,0.012,1.391,4.122,67.458
1, ['Close_norm'], None, co-integration, time_join,0,10,1, XGBRegressor, Close_proc, Close_norm,0.5425,0.0201,0.5289,0.0223,0.008,0.002, +++++,0.279,1.511,8.778,144.244,0.013,1.259,8.048,133.557
1, ['Close_norm'], SAX, co-integration, time_join,0,10,1, XGBRegressor, Close_proc, Close_norm,0.4867,0.04,0.4571,0.0289,0.165,0.052, +-+--,0.229,0.454,-0.171,-10.928,0.013,0.956,3.573,55.97
1, ['Close_norm'], None, co-integration, time_join,0,15,1, XGBRegressor, Close_proc, Close_norm,0.5414,0.0466,0.513,0.0536,0.008,0.003, ++-++,0.203,1.25,4.682,76.282,0.014,1.115,6.144,102.639
1, ['Close_norm'], SAX, co-integration, time_join,0,15,1, XGBRegressor, Close_proc, Close_norm,0.4701,0.0159,0.4377,0.0337,0.172,0.057, +-++-,0.194,0.296,-0.722,-14.605,0.014,1,3.442,57.195
1, ['Close_proc'], None, co-integration, time_join,0,5,1, XGBRegressor, Close_proc, Close_norm,0.4976,0.0418,0.4939,0.0419,0.008,0.003, +++--,0.51,0.254,-0.447,-17.833,0.013,0.33,3.209,48.406
1, ['Close_proc'], SAX, co-integration, time_join,0,5,1, XGBRegressor, Close_proc, Close_norm,0.5253,0.0591,0.4781,0.062,0.152,0.058, +++-+,0.212,0.711,6.59,106.4,0.013,0.689,6.728,110.523
1, ['Close_proc'], None, co-integration, time_join,0,10,1, XGBRegressor, Close_proc, Close_norm,0.5123,0.0472,0.5058,0.0463,0.008,0.002, ++++-,0.483,0.748,3.356,47.114,0.013,0.48,5.407,85.978
1, ['Close_proc'], SAX, co-integration, time_join,0,10,1, XGBRegressor, Close_proc, Close_norm,0.5445,0.0146,0.5184,0.0142,0.156,0.063, +++-+,0.34,0.658,7.12,115.952,0.013,0.765,7.29,120.397
1, ['Close_proc'], None, co-integration, time_join,0,15,1, XGBRegressor, Close_proc, Close_norm,0.5347,0.0332,0.5291,0.0325,0.008,0.003, ++++-,0.494,0.433,5.304,78.782,0.014,0.509,6.309,101.673
1, ['Close_proc'], SAX, co-integration, time_join,0,15,1, XGBRegressor, Close_proc, Close_norm,0.4972,0.0272,0.4884,0.0255,0.171,0.059, +----,0.405,-0.452,-1.16,-24.43,0.014,0.41,3.077,50.067
7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, co-integration, time_join,0,5,1, XGBRegressor, Close_proc, Close_norm,0.4873,0.0212,0.4804,0.0157,0.008,0.003, +----,0.359,-0.33,-4.213,-74.372,0.013,0.186,1.326,20.137
7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, co-integration, time_join,0,5,1, XGBRegressor, Close_proc, Close_norm,0.5178,0.0721,0.5113,0.0741,0.008,0.003, ++-+-,0.273,-0.056,-3.16,-55.382,0.013,0.069,1.853,29.632
7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], SAX, co-integration, time_join,0,5,1, XGBRegressor, Close_proc, Close_norm,0.5075,0.0379,0.5027,0.0363,0.168,0.055, ++-+-,0.323,0.728,0.582,8.755,0.013,0.855,3.724,61.7
7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, co-integration, time_join,0,10,1, XGBRegressor, Close_proc, Close_norm,0.5067,0.0396,0.4959,0.0425,0.008,0.002, ++++-,0.364,0.103,6.063,98.703,0.013,0.379,6.761,111.773
7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, co-integration, time_join,0,10,1, XGBRegressor, Close_proc, Close_norm,0.4635,0.018,0.4585,0.0163,0.009,0.004, -+-+-,0.28,0.987,-2.153,-37.763,0.013,0.835,2.653,43.54
7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], SAX, co-integration, time_join,0,10,1, XGBRegressor, Close_proc, Close_norm,0.531,0.0168,0.5209,0.0207,0.169,0.047, +-+-+,0.364,1.189,2.663,40.437,0.013,1.372,5.061,82.639
7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, co-integration, time_join,0,15,1, XGBRegressor, Close_proc, Close_norm,0.4998,0.0648,0.4935,0.0674,0.008,0.002, --+++,0.416,0.048,4.811,80.984,0.014,0.566,6.063,102.774
7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, co-integration, time_join,0,15,1, XGBRegressor, Close_proc, Close_norm,0.5203,0.026,0.4929,0.0269,0.008,0.003, +-+++,0.245,1.113,5.593,94.358,0.014,1.004,6.454,109.461
7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], SAX, co-integration, time_join,0,15,1, XGBRegressor, Close_proc, Close_norm,0.5116,0.0488,0.495,0.0646,0.167,0.046, +-++-,0.376,-0.149,4.254,65.961,0.014,0.563,5.784,95.263
3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, co-integration, time_join,0,5,1, XGBRegressor, Close_proc, Close_norm,0.5337,0.0348,0.513,0.0218,0.008,0.003, ++++-,0.237,1.067,5.24,82.112,0.012,0.945,6.589,106.586
3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], SAX, co-integration, time_join,0,5,1, XGBRegressor, Close_proc, Close_norm,0.4737,0.0635,0.4664,0.0615,0.173,0.062, +--++,0.254,0.4,-2.728,-35.461,0.012,0.81,2.605,47.8
3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, co-integration, time_join,0,10,1, XGBRegressor, Close_proc, Close_norm,0.5479,0.0609,0.5223,0.0625,0.008,0.002, ++++-,0.261,1.29,7.102,110.954,0.013,1.112,7.21,116.911
3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], SAX, co-integration, time_join,0,10,1, XGBRegressor, Close_proc, Close_norm,0.4972,0.0672,0.4838,0.0574,0.181,0.062, +-+++,0.25,0.913,5.184,88.959,0.013,1.077,6.251,105.914
3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, co-integration, time_join,0,15,1, XGBRegressor, Close_proc, Close_norm,0.5243,0.0284,0.5114,0.0313,0.008,0.003, ++-++,0.242,1.458,2.594,40.198,0.014,1.366,5.1,84.596
3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], SAX, co-integration, time_join,0,15,1, XGBRegressor, Close_proc, Close_norm,0.5012,0.0605,0.4839,0.06,0.178,0.063, --++-,0.236,0.494,-0.36,-3.887,0.014,1.003,3.623,62.554
 ,,,,,,,,,,,,,,,,,,,,,,,,,
