No. of features, selected_features, transformer, sim_func, fix_len_func, k stock, window_len, next_t, model, target_col, sim_col, mean_accuracy, std_accuracy, mean_f1, std_f1, mean_rmse, std_rmse, folds_result, mean_orders_count_per_hours, mean_sharpe_ratio, mean_profit_%, mean_profit, mean_L_orders_count_per_hours, mean_L_sharpe_ratio, mean_L_profit_%, mean_L_profit,,,,,
7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, co-integration, time_join,25,15,1, LSTM, Close_proc, Close_norm,0.5482,0.0772,0.5246,0.1116,1.821,0.836, +++-+,0.266,0.919,9.768,58.566,0.022,0.996,7.621,42.858,1.01,0.022,0.205,2.933,14.08
7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, sax, time_join,50,15,1, LSTM, Close_proc, Close_norm,0.5133,0.0267,0.4614,0.0479,1.767,0.676, +-++-,0.191,0.643,6.617,36.054,0.022,0.626,6.046,31.602,-26.826,0.022,0.16,0.764,0.162
7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, sax, time_join,25,5,1, LSTM, Close_norm, Close_norm,0.5074,0.043,0.4247,0.0874,0.968,0.606, D++-D,0.16,0.149,6.143,35.444,0.018,0.373,6.436,37.008,35.444,0.018,0.373,6.436,37.008
7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, sax, time_join,10,10,1, LSTM, Close_norm, Close_norm,0.554,0.0907,0.4876,0.1494,1.206,0.856, D+-+D,0.14,0.547,2.225,18.952,0.02,0.424,3.717,22.6,18.952,0.02,0.424,3.717,22.6
7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, sax, time_join,25,10,1, LSTM, Close_proc, Close_norm,0.5456,0.0483,0.5122,0.0566,1.747,0.5, +++--,0.259,0.143,4.224,18.54,0.02,0.109,4.717,22.394,-3.416,0.02,0.453,1.987,11.416
7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, co-integration, time_join,10,10,1, LSTM, Close_norm, Close_norm,0.53,0.0566,0.4593,0.1169,1.147,0.762, D+-+D,0.148,0.228,0.914,12.868,0.02,0.077,3.061,19.558,12.868,0.02,0.077,3.061,19.558
7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, co-integration, time_join,25,10,1, LSTM, Close_proc, Close_norm,0.5139,0.0118,0.4666,0.0716,1.869,0.925, --++-,0.294,0.438,2.718,12.404,0.02,0.345,3.964,19.326,30.792,0.02,0.737,3.679,28.52
7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, sax, time_join,10,5,1, LSTM, Close_proc, Close_norm,0.4931,0.0887,0.4701,0.106,1.785,0.533, -+-+-,0.239,0.436,1.993,11.852,0.018,0.585,4.361,25.212,2.528,0.018,0.699,4.004,20.55
7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, sax, time_join,10,10,1, LSTM, Close_proc, Close_norm,0.526,0.0496,0.4718,0.0835,1.876,0.568, ++-++,0.171,0.665,0.834,10.768,0.02,0.221,3.021,18.508,38.64,0.02,0.722,5.639,32.444
7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, co-integration, time_join,50,10,1, LSTM, Close_norm, Close_norm,0.534,0.0505,0.4446,0.112,1.102,0.78, D+-+D,0.136,0.492,0.809,10.624,0.02,0.762,3.009,18.436,10.624,0.02,0.762,3.009,18.436
