No. of features, selected_features, transformer, sim_func, fix_len_func, k stock, window_len, next_t, model, target_col, sim_col, mean_accuracy, std_accuracy, mean_f1, std_f1, mean_rmse, std_rmse, folds_result, mean_orders_count_per_hours, mean_sharpe_ratio, mean_profit_%, mean_profit, mean_L_orders_count_per_hours, mean_L_sharpe_ratio, mean_L_profit_%, mean_L_profit
7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, co-integration, time_join, 10, 5, 1, tuning, Close_norm, Close_norm, 0.4746, 0.0284, 0.4096, 0.0455, 0.79, 0.587, +---+, 0.196, -0.229, -5.943, -32.344, 0.018, 0.044, 0.393, 3.114
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, co-integration, time_join, 10, 5, 1, tuning, Close_norm, Close_norm, 0.5183, 0.038, 0.4846, 0.0877, 1.755, 1.315, ++--D, 0.138, -0.132, -2.253, -14.312, 0.018, 0.486, 2.239, 12.13
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, co-integration, time_join, 10, 5, 1, tuning, Close_norm, Close_norm, 0.4746, 0.0284, 0.4096, 0.0455, 0.79, 0.587, +---+, 0.196, -0.229, -5.943, -32.344, 0.018, 0.044, 0.393, 3.114
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, co-integration, time_join, 10, 10, 1, tuning, Close_norm, Close_norm, 0.53, 0.0566, 0.4593, 0.1169, 1.147, 0.762, D+-+D, 0.148, 0.228, 0.914, 12.868, 0.02, 0.077, 3.061, 19.558
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, co-integration, time_join, 10, 15, 1, tuning, Close_norm, Close_norm, 0.5175, 0.0549, 0.425, 0.0844, 1.035, 0.628, D+--+, 0.128, 0.139, -1.578, -2.406, 0.022, 0.11, 1.948, 12.372
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, co-integration, time_join, 25, 5, 1, tuning, Close_norm, Close_norm, 0.4965, 0.0351, 0.4136, 0.0952, 1.034, 0.68, D+--D, 0.145, 0.131, -4.875, -25.456, 0.018, 0.258, 0.928, 6.558
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, co-integration, time_join, 25, 10, 1, tuning, Close_norm, Close_norm, 0.502, 0.0402, 0.4153, 0.0854, 1.113, 0.831, D---D, 0.156, 0.243, -5.497, -25.08, 0.02, -0.05, -0.144, 0.584
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, co-integration, time_join, 25, 15, 1, tuning, Close_norm, Close_norm, 0.4821, 0.043, 0.3793, 0.0635, 1.16, 0.722, D+--D, 0.124, -0.08, -3.01, -13.858, 0.022, 0.353, 1.232, 6.646
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, co-integration, time_join, 50, 5, 1, tuning, Close_norm, Close_norm, 0.4965, 0.0848, 0.4207, 0.1238, 0.918, 0.643, D+--D, 0.218, -0.197, -2.304, -10.904, 0.018, -0.116, 2.213, 13.834
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, co-integration, time_join, 50, 10, 1, tuning, Close_norm, Close_norm, 0.534, 0.0505, 0.4446, 0.112, 1.102, 0.78, D+-+D, 0.136, 0.492, 0.809, 10.624, 0.02, 0.762, 3.009, 18.436
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, co-integration, time_join, 50, 15, 1, tuning, Close_norm, Close_norm, 0.5132, 0.0317, 0.4027, 0.0613, 1.153, 0.774, D+--D, 0.111, 0.14, -3.121, -12.794, 0.022, 0.832, 1.177, 7.178
