No. of features, selected_features, transformer, sim_func, fix_len_func, k stock, window_len, next_t, model, target_col, sim_col, mean_accuracy, std_accuracy, mean_f1, std_f1, mean_rmse, std_rmse, folds_result, mean_orders_count_per_hours, mean_sharpe_ratio, mean_profit_%, mean_profit, mean_L_orders_count_per_hours, mean_L_sharpe_ratio, mean_L_profit_%, mean_L_profit
1, ['Close_norm'], None, co-integration, time_join, 0, 5, 1, XGBRegressor, Close_norm, Close_norm, 0.5234, 0.0411, 0.462, 0.0947, 0.822, 0.597, D+--+, 0.175, 0.653, 0.225, 3.94, 0.018, 1.528, 3.654, 22.732
 1, ['Close_norm'], SAX, co-integration, time_join, 0, 5, 1, XGBRegressor, Close_norm, Close_norm, 0.4912, 0.0263, 0.4266, 0.0687, 0.933, 0.606, D---+, 0.143, -0.458, -5.986, -33.412, 0.018, 0.576, 0.549, 4.056
 1, ['Close_norm'], None, co-integration, time_join, 0, 10, 1, XGBRegressor, Close_norm, Close_norm, 0.5275, 0.0404, 0.4638, 0.0957, 0.858, 0.645, D+--+, 0.145, -0.003, 0.077, 5.896, 0.02, 0.575, 2.774, 16.996
 1, ['Close_norm'], SAX, co-integration, time_join, 0, 10, 1, XGBRegressor, Close_norm, Close_norm, 0.4922, 0.0218, 0.4339, 0.0696, 0.979, 0.666, D---+, 0.141, -0.306, -5.413, -23.32, 0.02, 0.007, 0.03, 2.388
 1, ['Close_norm'], None, co-integration, time_join, 0, 15, 1, XGBRegressor, Close_norm, Close_norm, 0.5412, 0.0689, 0.4772, 0.1154, 0.87, 0.684, D+--+, 0.165, -0.223, 0.052, 5.668, 0.022, 0.543, 2.82, 16.274
 1, ['Close_norm'], SAX, co-integration, time_join, 0, 15, 1, XGBRegressor, Close_norm, Close_norm, 0.5107, 0.0363, 0.4474, 0.0746, 1.061, 0.74, D--++, 0.156, -0.081, -2.773, -5.656, 0.022, 0.538, 1.408, 10.612
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, co-integration, time_join, 0, 5, 1, XGBRegressor, Close_norm, Close_norm, 0.5256, 0.0533, 0.46, 0.1045, 0.838, 0.608, D++-+, 0.182, 0.601, 2.962, 19.648, 0.018, 0.924, 4.846, 29.11
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, co-integration, time_join, 0, 5, 1, XGBRegressor, Close_norm, Close_norm, 0.511, 0.0335, 0.4301, 0.0884, 1.21, 0.687, D+-+D, 0.098, 0.236, 1.024, 10.012, 0.018, 0.612, 3.877, 24.292
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], SAX, co-integration, time_join, 0, 5, 1, XGBRegressor, Close_norm, Close_norm, 0.5328, 0.0443, 0.4677, 0.1045, 1.067, 0.665, D--++, 0.156, 0.487, 0.046, 5.652, 0.018, 1.031, 3.388, 22.112
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, co-integration, time_join, 0, 10, 1, XGBRegressor, Close_norm, Close_norm, 0.522, 0.0349, 0.4433, 0.0852, 0.872, 0.653, D+--+, 0.132, 0.257, 0.406, 9.248, 0.02, 0.669, 2.807, 17.748
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, co-integration, time_join, 0, 10, 1, XGBRegressor, Close_norm, Close_norm, 0.542, 0.0402, 0.4526, 0.1042, 1.335, 0.799, D+-+D, 0.104, 0.512, 0.804, 12.212, 0.02, 0.622, 3.006, 19.23
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], SAX, co-integration, time_join, 0, 10, 1, XGBRegressor, Close_norm, Close_norm, 0.494, 0.0332, 0.4346, 0.0703, 1.054, 0.718, D+--+, 0.14, -0.194, -4.037, -16.864, 0.02, 0.097, 0.586, 4.692
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, co-integration, time_join, 0, 15, 1, XGBRegressor, Close_norm, Close_norm, 0.5355, 0.0388, 0.4525, 0.092, 0.924, 0.742, D--++, 0.115, -0.03, -0.499, 5.03, 0.022, 0.703, 2.488, 16.09
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, co-integration, time_join, 0, 15, 1, XGBRegressor, Close_norm, Close_norm, 0.5354, 0.0546, 0.4654, 0.0994, 1.344, 0.788, D+--+, 0.129, -0.192, -0.185, 2.802, 0.022, 0.413, 2.645, 14.976
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], SAX, co-integration, time_join, 0, 15, 1, XGBRegressor, Close_norm, Close_norm, 0.5132, 0.0675, 0.4451, 0.0852, 1.083, 0.763, D---+, 0.124, -0.35, -4.33, -16.342, 0.022, -0.157, 0.572, 5.404
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, co-integration, time_join, 0, 5, 1, XGBRegressor, Close_norm, Close_norm, 0.5162, 0.0347, 0.4529, 0.0883, 0.84, 0.622, D+-++, 0.175, 0.834, 1.393, 11.472, 0.018, 1.379, 4.238, 26.498
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], SAX, co-integration, time_join, 0, 5, 1, XGBRegressor, Close_norm, Close_norm, 0.559, 0.0637, 0.4996, 0.1317, 1.034, 0.664, D+-++, 0.143, 0.971, 4.898, 30.676, 0.018, 1.203, 5.99, 36.1
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, co-integration, time_join, 0, 10, 1, XGBRegressor, Close_norm, Close_norm, 0.5157, 0.039, 0.4473, 0.0903, 0.869, 0.65, D+--+, 0.113, -0.058, -0.127, 6.6, 0.02, 0.509, 2.673, 17.348
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], SAX, co-integration, time_join, 0, 10, 1, XGBRegressor, Close_norm, Close_norm, 0.5078, 0.0596, 0.4484, 0.0975, 1.08, 0.728, D+--+, 0.145, -0.131, -3.635, -13.992, 0.02, 0.147, 0.919, 7.052
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, co-integration, time_join, 0, 15, 1, XGBRegressor, Close_norm, Close_norm, 0.5281, 0.0374, 0.4649, 0.0882, 0.894, 0.702, D+--+, 0.139, 0.018, -0.329, 6.756, 0.022, 0.814, 2.63, 16.818
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], SAX, co-integration, time_join, 0, 15, 1, XGBRegressor, Close_norm, Close_norm, 0.5194, 0.0488, 0.4573, 0.0943, 1.087, 0.747, D---+, 0.139, -0.465, -4.589, -19.416, 0.022, 0.286, 0.5, 3.732
 1, ['Close_norm'], None, co-integration, time_join, 0, 5, 1, XGBRegressor, Close_proc, Close_norm, 0.5302, 0.0249, 0.3463, 0.0106, 0.068, 0.001, UUUUU, 0.018, 0.609, 7.083, 41.524, 0.018, 0.609, 7.083, 41.524
 1, ['Close_norm'], SAX, co-integration, time_join, 0, 5, 1, XGBRegressor, Close_proc, Close_norm, 0.5195, 0.033, 0.3852, 0.0436, 0.305, 0.103, U--+U, 0.079, 0.047, -1.62, -7.184, 0.018, 0.499, 2.731, 17.17
 1, ['Close_norm'], None, co-integration, time_join, 0, 10, 1, XGBRegressor, Close_proc, Close_norm, 0.5196, 0.0277, 0.3417, 0.0118, 0.068, 0.001, UUUUU, 0.02, 0.279, 5.472, 28.096, 0.02, 0.279, 5.472, 28.096
 1, ['Close_norm'], SAX, co-integration, time_join, 0, 10, 1, XGBRegressor, Close_proc, Close_norm, 0.5118, 0.0157, 0.3971, 0.0513, 0.3, 0.117, U+-+U, 0.137, -0.091, -0.52, -5.772, 0.02, 0.171, 2.476, 11.162
 1, ['Close_norm'], None, co-integration, time_join, 0, 15, 1, XGBRegressor, Close_proc, Close_norm, 0.511, 0.0321, 0.3379, 0.0139, 0.068, 0.001, UUUUU, 0.022, 0.448, 5.588, 26.88, 0.022, 0.448, 5.588, 26.88
 1, ['Close_norm'], SAX, co-integration, time_join, 0, 15, 1, XGBRegressor, Close_proc, Close_norm, 0.4762, 0.0391, 0.3736, 0.0477, 0.314, 0.119, U+++U, 0.135, 0.075, 1.755, 4.188, 0.022, 0.314, 3.672, 15.534
 1, ['Close_proc'], None, co-integration, time_join, 0, 5, 1, XGBRegressor, Close_proc, Close_norm, 0.5253, 0.0218, 0.3443, 0.0092, 0.068, 0.001, UUUUU, 0.018, 0.618, 6.73, 38.572, 0.018, 0.618, 6.73, 38.572
 1, ['Close_proc'], SAX, co-integration, time_join, 0, 5, 1, XGBRegressor, Close_proc, Close_norm, 0.5145, 0.0343, 0.3904, 0.0265, 0.33, 0.102, ++++-, 0.149, 0.353, 5.437, 26.764, 0.018, 0.468, 6.083, 32.668
 1, ['Close_proc'], None, co-integration, time_join, 0, 10, 1, XGBRegressor, Close_proc, Close_norm, 0.514, 0.028, 0.3393, 0.0121, 0.069, 0.001, UUUUU, 0.02, 0.192, 5.209, 26.248, 0.02, 0.192, 5.209, 26.248
 1, ['Close_proc'], SAX, co-integration, time_join, 0, 10, 1, XGBRegressor, Close_proc, Close_norm, 0.5181, 0.0439, 0.4216, 0.0594, 0.322, 0.12, ++-+-, 0.207, -0.096, -1.092, -12.624, 0.02, 0.085, 2.059, 6.812
 1, ['Close_proc'], None, co-integration, time_join, 0, 15, 1, XGBRegressor, Close_proc, Close_norm, 0.5134, 0.0346, 0.3389, 0.0148, 0.069, 0.001, UUUUU, 0.022, 0.362, 5.474, 27.15, 0.022, 0.362, 5.474, 27.15
 1, ['Close_proc'], SAX, co-integration, time_join, 0, 15, 1, XGBRegressor, Close_proc, Close_norm, 0.5181, 0.0599, 0.4295, 0.0692, 0.327, 0.122, -+++-, 0.235, -0.035, 3.576, 14.366, 0.022, 0.086, 4.525, 20.758
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, co-integration, time_join, 0, 5, 1, XGBRegressor, Close_proc, Close_norm, 0.5253, 0.0218, 0.3443, 0.0092, 0.068, 0.001, UUUUU, 0.018, 0.618, 6.73, 38.572, 0.018, 0.618, 6.73, 38.572
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, co-integration, time_join, 0, 5, 1, XGBRegressor, Close_proc, Close_norm, 0.5253, 0.0218, 0.3443, 0.0092, 0.068, 0.001, UUUUU, 0.018, 0.618, 6.73, 38.572, 0.018, 0.618, 6.73, 38.572
