No. of features, selected_features, transformer, sim_func, fix_len_func, k stock, window_len, next_t, model, target_col, sim_col, mean_accuracy, std_accuracy, mean_f1, std_f1, mean_rmse, std_rmse, folds_result, mean_orders_count_per_hours, mean_sharpe_ratio, mean_profit_%, mean_profit, mean_L_orders_count_per_hours, mean_L_sharpe_ratio, mean_L_profit_%, mean_L_profit
1, ['Close_norm'], None, co-integration, time_join, 0, 5, 1, GradientBoostingRegressor, Close_norm, Close_norm, 0.5232, 0.0727, 0.5073, 0.0643, 0.633, 0.562, +--++, 0.257, 0.574, 0.338, 11.016, 0.018, 1.156, 3.71, 26.27
 1, ['Close_norm'], SAX, co-integration, time_join, 0, 5, 1, GradientBoostingRegressor, Close_norm, Close_norm, 0.4734, 0.0546, 0.4198, 0.077, 0.819, 0.577, D---+, 0.167, -0.418, -7.203, -35.292, 0.018, -0.047, -0.06, 3.116
 1, ['Close_norm'], None, co-integration, time_join, 0, 10, 1, GradientBoostingRegressor, Close_norm, Close_norm, 0.5038, 0.0599, 0.4857, 0.0549, 0.687, 0.613, +---+, 0.258, -0.036, -2.597, -4.668, 0.02, 0.578, 1.437, 11.714
 1, ['Close_norm'], SAX, co-integration, time_join, 0, 10, 1, GradientBoostingRegressor, Close_norm, Close_norm, 0.5195, 0.0446, 0.4779, 0.092, 0.865, 0.654, D---+, 0.223, -0.207, -3.023, -5.404, 0.02, 0.489, 1.224, 11.346
 1, ['Close_norm'], None, co-integration, time_join, 0, 15, 1, GradientBoostingRegressor, Close_norm, Close_norm, 0.515, 0.0317, 0.4811, 0.0372, 0.717, 0.653, ++--+, 0.212, 0.4, -2.555, -6.368, 0.022, 0.913, 1.517, 10.256
 1, ['Close_norm'], SAX, co-integration, time_join, 0, 15, 1, GradientBoostingRegressor, Close_norm, Close_norm, 0.5195, 0.0534, 0.476, 0.095, 0.944, 0.702, D+--+, 0.16, -0.18, -3.774, -11.488, 0.022, 0.24, 0.907, 7.696
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, co-integration, time_join, 0, 5, 1, GradientBoostingRegressor, Close_norm, Close_norm, 0.4965, 0.0332, 0.4382, 0.067, 0.826, 0.639, ++--D, 0.178, 0.018, -2.651, -15.288, 0.018, 0.599, 2.039, 11.642
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, co-integration, time_join, 0, 5, 1, GradientBoostingRegressor, Close_norm, Close_norm, 0.5256, 0.0533, 0.446, 0.1011, 1.174, 0.709, D+-+D, 0.142, 0.043, 3.173, 27.428, 0.018, 0.499, 4.952, 33.0
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], SAX, co-integration, time_join, 0, 5, 1, GradientBoostingRegressor, Close_norm, Close_norm, 0.5038, 0.0465, 0.439, 0.1024, 1.032, 0.658, D--+D, 0.2, -0.023, -0.048, 2.076, 0.018, 0.531, 3.341, 20.324
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, co-integration, time_join, 0, 10, 1, GradientBoostingRegressor, Close_norm, Close_norm, 0.506, 0.0528, 0.4556, 0.0751, 0.843, 0.673, ++--D, 0.244, 0.421, -2.583, -11.112, 0.02, 0.87, 1.313, 7.568
